sample,breed,BioProject,BioSample,sex
PK-13,Pekin duck,PRJNA450892,SAMN08952635,male
PK-14,Pekin duck,PRJNA450892,SAMN08952636,male
PK-2,Pekin duck,PRJNA450892,SAMN08952637,female
PK-3,Pekin duck,PRJNA450892,SAMN08952638,female
PK-4,Pekin duck,PRJNA450892,SAMN08952639,female
PK-5,Pekin duck,PRJNA450892,SAMN08952640,female
PK-6,Pekin duck,PRJNA450892,SAMN08952641,female
yz-1a,Pekin duck,PRJNA450892,SAMN08952642,female
yz-1b,Pekin duck,PRJNA450892,SAMN08952643,male
yz-2a,Pekin duck,PRJNA450892,SAMN08952644,female
yz-2b,Pekin duck,PRJNA450892,SAMN08952645,male
yz-3a,Pekin duck,PRJNA450892,SAMN08952646,female
yz-3b,Pekin duck,PRJNA450892,SAMN08952647,male
yz-4a,Pekin duck,PRJNA450892,SAMN08952648,female
yz-4b,Pekin duck,PRJNA450892,SAMN08952649,male
GY1,Gaoyou duck,PRJNA450892,SAMN08952587,male
GY2,Gaoyou duck,PRJNA450892,SAMN08952588,female
GY-ci3,Gaoyou duck,PRJNA450892,SAMN08952589,female
GA1,Ji'an red duck,PRJNA450892,SAMN08952584,male
GA2,Ji'an red duck,PRJNA450892,SAMN08952585,female
GA-ci2,Ji'an red duck,PRJNA450892,SAMN08952586,female
JD1,Jinding duck,PRJNA450892,SAMN08952590,male
JD2,Jinding duck,PRJNA450892,SAMN08952591,female
JD-ci2,Jinding duck,PRJNA450892,SAMN08952592,female
LC1,Liancheng white duck,PRJNA450892,SAMN08952593,male
LC2,Liancheng white duck,PRJNA450892,SAMN08952594,female
LC-ci2,Liancheng white duck,PRJNA450892,SAMN08952595,female
LS1,Longsheng jade-green duck,PRJNA450892,SAMN08952596,male
LS2,Longsheng jade-green duck,PRJNA450892,SAMN08952597,female
LS-ci2,Longsheng jade-green duck,PRJNA450892,SAMN08952598,female
MW1,Mawang duck,PRJNA450892,SAMN08952599,male
MW2,Mawang duck,PRJNA450892,SAMN08952600,female
MW-ci2,Mawang duck,PRJNA450892,SAMN08952601,female
PT1,Putian black duck,PRJNA450892,SAMN08952602,male
PT2,Putian black duck,PRJNA450892,SAMN08952603,female
