BioProject,BioSample,Organism,sex,Submitter_Id,Country,Continent,Locality,lat_lon,Population,refGenome,refSpecies
PRJNA354496,SAMN06046583,Symphodus_melops,missing,SM113,Norway,Europe,Norway,63.46 N 7.69 E,Western Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046591,Symphodus_melops,missing,ST43,Norway,Europe,Norway,58.96 N 5.73 E,Western Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046572,Symphodus_melops,missing,GF49,Sweden,Europe,Sweden,58.34 N 11.56 E,Southern Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046575,Symphodus_melops,missing,NH63,Norway,Europe,Norway,60.37 N 6.14 E,Western Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046595,Symphodus_melops,missing,ST47,Norway,Europe,Norway,58.96 N 5.73 E,Western Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046570,Symphodus_melops,missing,GF28,Sweden,Europe,Sweden,58.34 N 11.56 E,Southern Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046563,Symphodus_melops,missing,GF01,Sweden,Europe,Sweden,58.34 N 11.56 E,Southern Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046588,Symphodus_melops,missing,SM118,Norway,Europe,Norway,63.46 N 7.69 E,Western Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046546,Symphodus_melops,missing,AR67,Norway,Europe,Norway,58.46 N 8.77 E,Southern Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046544,Symphodus_melops,missing,AR65,Norway,Europe,Norway,58.46 N 8.77 E,Southern Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046564,Symphodus_melops,missing,GF02,Sweden,Europe,Sweden,58.34 N 11.56 E,Southern Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046552,Symphodus_melops,missing,ARD23,United Kingdom,Europe,United Kingdom: Scotland,56.76 N 5.88 W,Scotland,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046558,Symphodus_melops,missing,EG24,Norway,Europe,Norway,58.45 N 5.99 E,Southern Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046542,Symphodus_melops,missing,AR63,Norway,Europe,Norway,58.46 N 8.77 E,Southern Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046578,Symphodus_melops,missing,NH67,Norway,Europe,Norway,60.37 N 6.14 E,Western Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046580,Symphodus_melops,missing,NH69,Norway,Europe,Norway,60.37 N 6.14 E,Western Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046567,Symphodus_melops,missing,GF05,Sweden,Europe,Sweden,58.34 N 11.56 E,Southern Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046540,Symphodus_melops,missing,AR61,Norway,Europe,Norway,58.46 N 8.77 E,Southern Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046545,Symphodus_melops,missing,AR66,Norway,Europe,Norway,58.46 N 8.77 E,Southern Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046556,Symphodus_melops,missing,EG22,Norway,Europe,Norway,58.45 N 5.99 E,Southern Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046541,Symphodus_melops,missing,AR62,Norway,Europe,Norway,58.46 N 8.77 E,Southern Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046579,Symphodus_melops,missing,NH68,Norway,Europe,Norway,60.37 N 6.14 E,Western Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046543,Symphodus_melops,missing,AR64,Norway,Europe,Norway,58.46 N 8.77 E,Southern Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046577,Symphodus_melops,missing,NH65,Norway,Europe,Norway,60.37 N 6.14 E,Western Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046581,Symphodus_melops,missing,SM111,Norway,Europe,Norway,63.46 N 7.69 E,Western Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046596,Symphodus_melops,missing,ST48,Norway,Europe,Norway,58.96 N 5.73 E,Western Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046594,Symphodus_melops,missing,ST46,Norway,Europe,Norway,58.96 N 5.73 E,Western Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046562,Symphodus_melops,missing,EG28,Norway,Europe,Norway,58.45 N 5.99 E,Southern Norway,GCA_002819105.1,Symphodus_melops
