BioProject,BioSample,Organism,sex,Submitter_Id,Location,State,Country,refGenome
PRJNA612146,SAMN14363413,Hippocampus_trimaculatus,missing,Htl_19,Phuket Island,NA,Thailand,GCF_001891065.1
PRJNA612146,SAMN14363410,Hippocampus_trimaculatus,missing,Htl_15,Lingshui,Hainan Province,China,GCF_001891065.1
PRJNA612146,SAMN14363407,Hippocampus_trimaculatus,missing,Htl_12,Lingshui,Hainan Province,China,GCF_001891065.1
PRJNA612146,SAMN14363406,Hippocampus_trimaculatus,missing,Htl_11,Lingshui,Hainan Province,China,GCF_001891065.1
PRJNA612146,SAMN14363403,Hippocampus_trimaculatus,missing,Htl_8,Lingshui,Hainan Province,China,GCF_001891065.1
PRJNA612146,SAMN14363401,Hippocampus_trimaculatus,missing,Htl_6,Lingshui,Hainan Province,China,GCF_001891065.1
PRJNA612146,SAMN14363397,Hippocampus_trimaculatus,missing,Htl_2,Dongshan,Fujian Province,China,GCF_001891065.1
PRJNA612146,SAMN14363415,Hippocampus_trimaculatus,missing,Htl_24,Phuket Island,NA,Thailand,GCF_001891065.1
PRJNA612146,SAMN14363414,Hippocampus_trimaculatus,missing,Htl_20,Phuket Island,NA,Thailand,GCF_001891065.1
PRJNA612146,SAMN14363412,Hippocampus_trimaculatus,missing,Htl_18,Phuket Island,NA,Thailand,GCF_001891065.1
PRJNA612146,SAMN14363411,Hippocampus_trimaculatus,missing,Htl_17,Lingshui,Hainan Province,China,GCF_001891065.1
PRJNA612146,SAMN14363409,Hippocampus_trimaculatus,missing,Htl_14,Lingshui,Hainan Province,China,GCF_001891065.1
PRJNA612146,SAMN14363408,Hippocampus_trimaculatus,missing,Htl_13,Lingshui,Hainan Province,China,GCF_001891065.1
PRJNA612146,SAMN14363405,Hippocampus_trimaculatus,missing,Htl_10,Lingshui,Hainan Province,China,GCF_001891065.1
PRJNA612146,SAMN14363404,Hippocampus_trimaculatus,missing,Htl_9,Lingshui,Hainan Province,China,GCF_001891065.1
PRJNA612146,SAMN14363402,Hippocampus_trimaculatus,missing,Htl_7,Lingshui,Hainan Province,China,GCF_001891065.1
PRJNA612146,SAMN14363400,Hippocampus_trimaculatus,missing,Htl_5,Dongshan,Fujian Province,China,GCF_001891065.1
PRJNA612146,SAMN14363399,Hippocampus_trimaculatus,missing,Htl_4,Dongshan,Fujian Province,China,GCF_001891065.1
PRJNA612146,SAMN14363398,Hippocampus_trimaculatus,missing,Htl_3,Dongshan,Fujian Province,China,GCF_001891065.1
PRJNA612146,SAMN14363396,Hippocampus_trimaculatus,missing,Htl_1,Dongshan,Fujian Province,China,GCF_001891065.1
