BioProject,BioSample,Organism,sex,Population,Collection_date,Submitter_Id,refGenome
PRJNA485198,SAMN09786093,Haplochromis_burtoni,female,Chitili Creek,2015-12,MNG7,GCF_000239415.1
PRJNA485198,SAMN09786092,Haplochromis_burtoni,female,Chitili Creek,2015-12,MNG6,GCF_000239415.1
PRJNA485198,SAMN09786085,Haplochromis_burtoni,female,Chitili Lake,2015-12,LKG5,GCF_000239415.1
PRJNA485198,SAMN09786086,Haplochromis_burtoni,male,Chitili Creek,2015-12,MNF3,GCF_000239415.1
PRJNA485198,SAMN09786089,Haplochromis_burtoni,male,Chitili Creek,2015-12,MNG2,GCF_000239415.1
PRJNA485198,SAMN09786088,Haplochromis_burtoni,male,Chitili Creek,2015-12,MNF7,GCF_000239415.1
PRJNA485198,SAMN09786091,Haplochromis_burtoni,female,Chitili Creek,2015-12,MNG5,GCF_000239415.1
PRJNA485198,SAMN09786090,Haplochromis_burtoni,male,Chitili Creek,2015-12,MNG3,GCF_000239415.1
PRJNA485198,SAMN09786153,Haplochromis_burtoni,female,Lufubu River,2015-11,MFF4,GCF_000239415.1
PRJNA485198,SAMN09786152,Haplochromis_burtoni,male,Lufubu River,2015-11,MFF3,GCF_000239415.1
PRJNA485198,SAMN09786081,Haplochromis_burtoni,male,Chitili Lake,2015-12,LKG1,GCF_000239415.1
PRJNA485198,SAMN09786150,Haplochromis_burtoni,male,Lufubu River,2015-11,MFE9,GCF_000239415.1
PRJNA485198,SAMN09786149,Haplochromis_burtoni,female,Lufubu River,2015-11,MFE8,GCF_000239415.1
PRJNA485198,SAMN09786148,Haplochromis_burtoni,female,Lufubu River,2015-11,MFE6,GCF_000239415.1
PRJNA485198,SAMN09786145,Haplochromis_burtoni,female,Lufubu Lake,2015-11,MFE1,GCF_000239415.1
PRJNA485198,SAMN09786144,Haplochromis_burtoni,female,Lufubu Lake,2015-11,MFD9,GCF_000239415.1
PRJNA485198,SAMN09786202,Haplochromis_burtoni,female,Rusizi Lake,2015-01,KZB9,GCF_000239415.1
PRJNA485198,SAMN09786196,Haplochromis_burtoni,female,Rusizi Lake,2015-01,KZA9,GCF_000239415.1
PRJNA485198,SAMN09786197,Haplochromis_burtoni,female,Rusizi Lake,2015-01,KZB2,GCF_000239415.1
PRJNA485198,SAMN09786194,Haplochromis_burtoni,male,Rusizi Lake,2015-01,KZA3,GCF_000239415.1
PRJNA485198,SAMN09786195,Haplochromis_burtoni,male,Rusizi Lake,2015-01,KZA5,GCF_000239415.1
PRJNA485198,SAMN09786200,Haplochromis_burtoni,female,Rusizi Lake,2015-01,KZB6,GCF_000239415.1
