BioProject,BioSample,Organism,sex,Isolate,Ecotype,Collection_date,lat_lon,Country,Continent,Locality,refGenome,refSpecies
PRJNA668259,SAMN16492481,Anguilla_rostrata,missing,ACA35,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492477,Anguilla_rostrata,missing,ACA31,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492467,Anguilla_rostrata,missing,ACA22,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492465,Anguilla_rostrata,missing,ACA20,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492457,Anguilla_rostrata,missing,ACA13,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492470,Anguilla_rostrata,missing,ACA25,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492498,Anguilla_rostrata,missing,ACA5,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492493,Anguilla_rostrata,missing,ACA46,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492480,Anguilla_rostrata,missing,ACA34,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492466,Anguilla_rostrata,missing,ACA21,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492461,Anguilla_rostrata,missing,ACA17,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492499,Anguilla_rostrata,missing,ACA6,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492496,Anguilla_rostrata,missing,ACA49,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492488,Anguilla_rostrata,missing,ACA41,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492478,Anguilla_rostrata,missing,ACA32,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492462,Anguilla_rostrata,missing,ACA18,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
