BioProject,BioSample,Organism,sex,Submitter_Id,Location,State,Country,refGenome
PRJNA612146,SAMN14363341,Hippocampus_mohnikei,missing,Hmh_25,Xiamen,NA,China,GCF_001891065.1
PRJNA612146,SAMN14363339,Hippocampus_mohnikei,missing,Hmh_23,Xiamen,NA,China,GCF_001891065.1
PRJNA612146,SAMN14363338,Hippocampus_mohnikei,missing,Hmh_22,Xiamen,NA,China,GCF_001891065.1
PRJNA612146,SAMN14363337,Hippocampus_mohnikei,missing,Hmh_19,Xiamen,NA,China,GCF_001891065.1
PRJNA612146,SAMN14363335,Hippocampus_mohnikei,missing,Hmh_15,Qingdao,NA,China,GCF_001891065.1
PRJNA612146,SAMN14363334,Hippocampus_mohnikei,missing,Hmh_14,Qingdao,NA,China,GCF_001891065.1
PRJNA612146,SAMN14363332,Hippocampus_mohnikei,missing,Hmh_12,Qingdao,NA,China,GCF_001891065.1
PRJNA612146,SAMN14363330,Hippocampus_mohnikei,missing,Hmh_10,Laizhou,NA,China,GCF_001891065.1
PRJNA612146,SAMN14363327,Hippocampus_mohnikei,missing,Hmh_5,Laizhou,NA,China,GCF_001891065.1
PRJNA612146,SAMN14363326,Hippocampus_mohnikei,missing,Hmh_3,Laizhou,NA,China,GCF_001891065.1
PRJNA612146,SAMN14363343,Hippocampus_mohnikei,missing,Hmh_30,Xiamen,NA,China,GCF_001891065.1
PRJNA612146,SAMN14363342,Hippocampus_mohnikei,missing,Hmh_29,Xiamen,NA,China,GCF_001891065.1
PRJNA612146,SAMN14363336,Hippocampus_mohnikei,missing,Hmh_17,Qingdao,NA,China,GCF_001891065.1
PRJNA612146,SAMN14363333,Hippocampus_mohnikei,missing,Hmh_13,Qingdao,NA,China,GCF_001891065.1
PRJNA612146,SAMN14363331,Hippocampus_mohnikei,missing,Hmh_11,Qingdao,NA,China,GCF_001891065.1
PRJNA612146,SAMN14363329,Hippocampus_mohnikei,missing,Hmh_8,Laizhou,NA,China,GCF_001891065.1
PRJNA612146,SAMN14363328,Hippocampus_mohnikei,missing,Hmh_7,Laizhou,NA,China,GCF_001891065.1
PRJNA612146,SAMN14363325,Hippocampus_mohnikei,missing,Hmh_1,Laizhou,NA,China,GCF_001891065.1
PRJNA612146,SAMN14363340,Hippocampus_mohnikei,missing,Hmh_24,Xiamen,NA,China,GCF_001891065.1
