BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN08465474,L6449-1_BO15-133_S16,GCF_003259725.1,SRR6670236,Athene_cunicularia,PRJNA431202
SAMN08465476,L6451-1_BO15-135_S18,GCF_003259725.1,SRR6670238,Athene_cunicularia,PRJNA431202
SAMN08465477,L6452-1_BO15-136_S19,GCF_003259725.1,SRR6670239,Athene_cunicularia,PRJNA431202
SAMN08465479,L6454-1_BO15-138_S16,GCF_003259725.1,SRR6670241,Athene_cunicularia,PRJNA431202
SAMN08465481,L6456-1_BO15-140_S2,GCF_003259725.1,SRR6670243,Athene_cunicularia,PRJNA431202
SAMN08465584,L6494-1_BO15-178_S17,GCF_003259725.1,SRR6670245,Athene_cunicularia,PRJNA431202
SAMN08465583,L6495-1_BO15-179_S18,GCF_003259725.1,SRR6670246,Athene_cunicularia,PRJNA431202
SAMN08465585,L6488-1_BO15-172_S9,GCF_003259725.1,SRR6670248,Athene_cunicularia,PRJNA431202
SAMN08465587,L6492-1_BO15-176_S14,GCF_003259725.1,SRR6670250,Athene_cunicularia,PRJNA431202
SAMN08465589,L6491-1_BO15-175_S13,GCF_003259725.1,SRR6670252,Athene_cunicularia,PRJNA431202
SAMN08465591,L6461-1_BO15-145_S7,GCF_003259725.1,SRR6670254,Athene_cunicularia,PRJNA431202
SAMN08465555,L5724-1_BO15-042_ACTGAT_L002,GCF_003259725.1,SRR6670255,Athene_cunicularia,PRJNA431202
SAMN08465556,L6386-1_BO15-043_S1,GCF_003259725.1,SRR6670256,Athene_cunicularia,PRJNA431202
SAMN08465558,L5727-1_BO15-046_CGATGT_L003,GCF_003259725.1,SRR6670258,Athene_cunicularia,PRJNA431202
SAMN08465491,L6430-1_BO15-113_S18,GCF_003259725.1,SRR6670125,Athene_cunicularia,PRJNA431202
SAMN08465488,L6427-1_BO15-110_S23,GCF_003259725.1,SRR6670126,Athene_cunicularia,PRJNA431202
SAMN08465490,L6429-1_BO15-112_S17,GCF_003259725.1,SRR6670128,Athene_cunicularia,PRJNA431202
SAMN08465484,L6423-1_BO15-106_S14,GCF_003259725.1,SRR6670130,Athene_cunicularia,PRJNA431202
SAMN08465552,L6397-1_BO15-080_S12,GCF_003259725.1,SRR6670134,Athene_cunicularia,PRJNA431202
SAMN08465502,L6421-1_BO15-104_S12,GCF_003259725.1,SRR6670137,Athene_cunicularia,PRJNA431202
SAMN08465498,L6436-1_BO15-119_S1,GCF_003259725.1,SRR6670141,Athene_cunicularia,PRJNA431202
SAMN08465496,L6434-1_BO15-117_S3,GCF_003259725.1,SRR6670143,Athene_cunicularia,PRJNA431202
SAMN08465512,L6405-1_BO15-088_S20,GCF_003259725.1,SRR6670146,Athene_cunicularia,PRJNA431202
SAMN08465511,L6403-1_BO15-086_S18,GCF_003259725.1,SRR6670147,Athene_cunicularia,PRJNA431202
SAMN08465505,L6400-1_BO15-083_S15,GCF_003259725.1,SRR6670149,Athene_cunicularia,PRJNA431202
SAMN08465509,L6402-1_BO15-085_S17,GCF_003259725.1,SRR6670153,Athene_cunicularia,PRJNA431202
SAMN08465507,L6399-1_BO15-082_S14,GCF_003259725.1,SRR6670155,Athene_cunicularia,PRJNA431202
SAMN08465520,L6416-1_BO15-099_S7,GCF_003259725.1,SRR6670159,Athene_cunicularia,PRJNA431202
SAMN08465514,L6406-1_BO15-089_S21,GCF_003259725.1,SRR6670161,Athene_cunicularia,PRJNA431202
SAMN08465515,L6407-1_BO15-090_S22,GCF_003259725.1,SRR6670162,Athene_cunicularia,PRJNA431202
SAMN08465521,L6412-1_BO15-095_S3,GCF_003259725.1,SRR6670164,Athene_cunicularia,PRJNA431202
SAMN08465523,L5738-1_BO15-057_AGTCAA_L007,GCF_003259725.1,SRR6670167,Athene_cunicularia,PRJNA431202
SAMN08465525,L5744-1_BO15-064_S1,GCF_003259725.1,SRR6670169,Athene_cunicularia,PRJNA431202
SAMN08465529,L6387-1_BO15-060_S2,GCF_003259725.1,SRR6670173,Athene_cunicularia,PRJNA431202
