BioProject,BioSample,Organism,sex,Submitter_Id,Ecotype,Site,Site_Type,Year,refGenome,refSpecies
PRJNA431202,SAMN08465547,Athene_cunicularia,male,BO15-068,C3_urban_2012,C3,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465545,Athene_cunicularia,male,BO15-077,C3_urban_2012,C3,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465543,Athene_cunicularia,female,BO15-053,C3_urban_2012,C3,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465467,Athene_cunicularia,female,BO15-127,A_rural_2014,A,rural,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465469,Athene_cunicularia,male,BO15-128,A_rural_2014,A,rural,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465463,Athene_cunicularia,male,BO15-121,A_rural_2014,A,rural,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465465,Athene_cunicularia,female,BO15-125,A_rural_2014,A,rural,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465471,Athene_cunicularia,female,BO15-130,A_rural_2014,A,rural,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465553,Athene_cunicularia,female,BO15-079,C3_urban_2012,C3,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465473,Athene_cunicularia,female,BO15-132,A_rural_2014,A,rural,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465474,Athene_cunicularia,male,BO15-133,A_rural_2014,A,rural,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465476,Athene_cunicularia,male,BO15-135,A_rural_2014,A,rural,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465477,Athene_cunicularia,male,BO15-136,A_rural_2014,A,rural,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465479,Athene_cunicularia,male,BO15-138,A_rural_2014,A,rural,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465481,Athene_cunicularia,male,BO15-140,A_rural_2014,A,rural,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465584,Athene_cunicularia,female,BO15-178,C1_rural_2012,C1,rural,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465583,Athene_cunicularia,female,BO15-179,C1_rural_2012,C1,rural,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465585,Athene_cunicularia,male,BO15-172,C1_rural_2012,C1,rural,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465587,Athene_cunicularia,female,BO15-176,C1_rural_2012,C1,rural,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465589,Athene_cunicularia,female,BO15-175,C1_rural_2012,C1,rural,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465591,Athene_cunicularia,female,BO15-145,C1_rural_2013,C1,rural,2013,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465555,Athene_cunicularia,male,BO15-042,C3_urban_2012,C3,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465556,Athene_cunicularia,female,BO15-043,C3_urban_2012,C3,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465558,Athene_cunicularia,male,BO15-046,C3_urban_2012,C3,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465491,Athene_cunicularia,female,BO15-113,A_urban_2014,A,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465488,Athene_cunicularia,male,BO15-110,A_urban_2014,A,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465490,Athene_cunicularia,male,BO15-112,A_urban_2014,A,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465484,Athene_cunicularia,female,BO15-106,A_urban_2014,A,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465552,Athene_cunicularia,male,BO15-080,C3_urban_2012,C3,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465502,Athene_cunicularia,male,BO15-104,A_urban_2014,A,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465498,Athene_cunicularia,female,BO15-119,A_urban_2014,A,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465496,Athene_cunicularia,female,BO15-117,A_urban_2014,A,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465512,Athene_cunicularia,male,BO15-088,B_urban_2013,B,urban,2013,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465511,Athene_cunicularia,male,BO15-086,B_urban_2013,B,urban,2013,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465505,Athene_cunicularia,female,BO15-083,B_urban_2013,B,urban,2013,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465509,Athene_cunicularia,female,BO15-085,B_urban_2013,B,urban,2013,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465507,Athene_cunicularia,male,BO15-082,B_urban_2013,B,urban,2013,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465520,Athene_cunicularia,male,BO15-099,B_urban_2014,B,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465514,Athene_cunicularia,male,BO15-089,B_urban_2013,B,urban,2013,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465515,Athene_cunicularia,female,BO15-090,B_urban_2013,B,urban,2013,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465521,Athene_cunicularia,female,BO15-095,B_urban_2014,B,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465523,Athene_cunicularia,female,BO15-057,C1_urban_2012,C1,urban,2012,GCF_003259725.1,Athene_cunicularia
