BioSample,SampleName1,SampleName2,BioProject,Organism,sex,Submitter_Id,refGenome
SAMEA1877400,Massoko littoral,Malawi catchment,PRJEB1254,Astatotilapia_spp,missing,Massoko_Yellow_1-sc-2012-12-14T14:26:14Z-1512683,GCF_900246225.1
SAMEA1877402,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_Yellow_1-sc-2012-12-14T14:26:42Z-1512706,GCF_900246225.1
SAMEA1877407,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_Yellow_4-sc-2012-12-14T14:26:28Z-1512694,GCF_900246225.1
SAMEA1877442,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_Yellow_3-sc-2012-12-14T14:26:22Z-1512689,GCF_900246225.1
SAMEA1877447,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_Yellow_2-sc-2012-12-14T14:26:15Z-1512684,GCF_900246225.1
SAMEA1877507,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_Yellow_2-sc-2012-12-14T14:26:43Z-1512707,GCF_900246225.1
SAMEA2661297,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__1-sc-2016814,GCF_900246225.1
SAMEA2661298,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__2-sc-2016815,GCF_900246225.1
SAMEA2661299,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__3-sc-2016816,GCF_900246225.1
SAMEA2661300,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__4-sc-2016817,GCF_900246225.1
SAMEA2661301,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__5-sc-2016818,GCF_900246225.1
SAMEA2661303,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__7-sc-2016820,GCF_900246225.1
SAMEA2661304,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__8-sc-2016821,GCF_900246225.1
SAMEA2661306,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__10-sc-2016823,GCF_900246225.1
SAMEA2661307,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__11-sc-2016824,GCF_900246225.1
SAMEA2661308,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__12-sc-2016825,GCF_900246225.1
SAMEA2661309,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__13-sc-2016826,GCF_900246225.1
SAMEA2661310,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__14-sc-2016827,GCF_900246225.1
SAMEA2661313,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__17-sc-2016830,GCF_900246225.1
SAMEA2661316,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__20-sc-2016833,GCF_900246225.1
SAMEA2661318,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__22-sc-2016835,GCF_900246225.1
SAMEA2661319,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__23-sc-2016836,GCF_900246225.1
SAMEA2661320,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__24-sc-2016837,GCF_900246225.1
SAMEA2661321,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__25-sc-2016838,GCF_900246225.1
SAMEA2661322,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__26-sc-2016839,GCF_900246225.1
SAMEA2661324,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__28-sc-2016841,GCF_900246225.1
SAMEA2661325,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__29-sc-2016842,GCF_900246225.1
SAMEA2661326,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__30-sc-2016843,GCF_900246225.1
SAMEA2661327,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__31-sc-2016844,GCF_900246225.1
SAMEA2661328,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__32-sc-2016845,GCF_900246225.1
SAMEA2661330,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__34-sc-2016847,GCF_900246225.1
SAMEA2661331,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__35-sc-2016848,GCF_900246225.1
SAMEA2661371,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__1-sc-2016888,GCF_900246225.1
SAMEA2661373,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__3-sc-2016890,GCF_900246225.1
SAMEA2661374,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__4-sc-2016891,GCF_900246225.1
SAMEA2661375,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__5-sc-2016892,GCF_900246225.1
SAMEA2661376,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__6-sc-2016893,GCF_900246225.1
SAMEA2661377,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__7-sc-2016894,GCF_900246225.1
SAMEA2661378,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__8-sc-2016895,GCF_900246225.1
SAMEA2661379,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__9-sc-2016896,GCF_900246225.1
