BioProject,BioSample,Organism,sex,Strain,refGenome
PRJNA522329,SAMN10928543,Takifugu_bimaculatus,unknown,B04,GCA_002305835.1
PRJNA522329,SAMN10928542,Takifugu_bimaculatus,unknown,B03,GCA_002305835.1
PRJNA522329,SAMN10928541,Takifugu_bimaculatus,unknown,B02,GCA_002305835.1
PRJNA522329,SAMN10928540,Takifugu_bimaculatus,unknown,B01,GCA_002305835.1
PRJNA522329,SAMN10928547,Takifugu_bimaculatus,unknown,B09,GCA_002305835.1
PRJNA522329,SAMN10928546,Takifugu_bimaculatus,unknown,B08,GCA_002305835.1
PRJNA522329,SAMN10928544,Takifugu_bimaculatus,unknown,B05,GCA_002305835.1
PRJNA522329,SAMN10928545,Takifugu_bimaculatus,unknown,B07,GCA_002305835.1
