BioProject,BioSample,Organism,sex,population,Submitter_Id,refGenome,refSpecies
PRJNA629649,SAMN14785115,Larimichthys_crocea,unknown,Dayu,DY_01,GCF_000972845.2,Larimichthys_crocea
PRJNA629649,SAMN14785127,Larimichthys_crocea,unknown,Fuding,FD_15,GCF_000972845.2,Larimichthys_crocea
PRJNA629649,SAMN14785158,Larimichthys_crocea,unknown,Xiamen,XM_17,GCF_000972845.2,Larimichthys_crocea
PRJNA629649,SAMN14785147,Larimichthys_crocea,unknown,Xiamen,XM_02,GCF_000972845.2,Larimichthys_crocea
PRJNA629649,SAMN14785167,Larimichthys_crocea,unknown,Zhoushan,ZS_07,GCF_000972845.2,Larimichthys_crocea
PRJNA629649,SAMN14785126,Larimichthys_crocea,unknown,Fuding,FD_08,GCF_000972845.2,Larimichthys_crocea
PRJNA629649,SAMN14785170,Larimichthys_crocea,unknown,Zhoushan,ZS_10,GCF_000972845.2,Larimichthys_crocea
PRJNA629649,SAMN14785161,Larimichthys_crocea,unknown,Xiamen,XM_22,GCF_000972845.2,Larimichthys_crocea
PRJNA629649,SAMN14785191,Larimichthys_crocea,unknown,Zhanjiang,ZW_21,GCF_000972845.2,Larimichthys_crocea
PRJNA629649,SAMN14785169,Larimichthys_crocea,unknown,Zhoushan,ZS_09,GCF_000972845.2,Larimichthys_crocea
PRJNA629649,SAMN14785174,Larimichthys_crocea,unknown,Zhoushan,ZS_14,GCF_000972845.2,Larimichthys_crocea
PRJNA629649,SAMN14785186,Larimichthys_crocea,unknown,Zhanjiang,ZW_08,GCF_000972845.2,Larimichthys_crocea
PRJNA629649,SAMN14785145,Larimichthys_crocea,unknown,Fufa,FF_10,GCF_000972845.2,Larimichthys_crocea
PRJNA629649,SAMN14785141,Larimichthys_crocea,unknown,Fufa,FF_06,GCF_000972845.2,Larimichthys_crocea
PRJNA629649,SAMN14785120,Larimichthys_crocea,unknown,Fuding,FD_01,GCF_000972845.2,Larimichthys_crocea
PRJNA629649,SAMN14785123,Larimichthys_crocea,unknown,Fuding,FD_05,GCF_000972845.2,Larimichthys_crocea
PRJNA629649,SAMN14785130,Larimichthys_crocea,unknown,Fuding,FD_23,GCF_000972845.2,Larimichthys_crocea
