Sample_name,Species,Lake,Sampling_Year,BioProject,BioSample,Organism,sex
Apo_cl3_d_ben_19364,Amphilophus chancho,CL Apoyo,2015,PRJEB38173,SAMEA6815698,Amphilophus_citrinellus,missing
Apo_cl3_d_ben_19365,Amphilophus spp. (hybrid),CL Apoyo,2015,PRJEB38173,SAMEA6815699,Amphilophus_citrinellus,missing
Apo_cl4_d_ben_03960,Amphilophus globosus,CL Apoyo,2003,PRJEB38173,SAMEA6815700,Amphilophus_citrinellus,missing
Apo_cl4_d_ben_07691,Amphilophus globosus,CL Apoyo,2014,PRJEB38173,SAMEA6815701,Amphilophus_citrinellus,missing
Apo_cl4_d_ben_07692,Amphilophus globosus,CL Apoyo,2014,PRJEB38173,SAMEA6815702,Amphilophus_citrinellus,missing
Apo_cl4_d_ben_07693,Amphilophus globosus,CL Apoyo,2014,PRJEB38173,SAMEA6815703,Amphilophus_citrinellus,missing
Apo_cl4_d_ben_07701,Amphilophus globosus,CL Apoyo,2014,PRJEB38173,SAMEA6815704,Amphilophus_citrinellus,missing
Apo_cl4_d_ben_12443,Amphilophus globosus,CL Apoyo,2010,PRJEB38173,SAMEA6815705,Amphilophus_citrinellus,missing
Apo_cl4_d_ben_12553,Amphilophus globosus,CL Apoyo,2010,PRJEB38173,SAMEA6815706,Amphilophus_citrinellus,missing
Apo_cl4_d_ben_12554,Amphilophus globosus,CL Apoyo,2010,PRJEB38173,SAMEA6815707,Amphilophus_citrinellus,missing
Apo_cl4_d_ben_12556,Amphilophus globosus,CL Apoyo,2010,PRJEB38173,SAMEA6815708,Amphilophus_citrinellus,missing
Apo_cl4_d_ben_13504,Amphilophus globosus,CL Apoyo,2010,PRJEB38173,SAMEA6815709,Amphilophus_citrinellus,missing
Apo_cl4_d_ben_13686,Amphilophus globosus,CL Apoyo,2010,PRJEB38173,SAMEA6815710,Amphilophus_citrinellus,missing
Apo_cl4_d_ben_13715,Amphilophus spp. (hybrid),CL Apoyo,2010,PRJEB38173,SAMEA6815711,Amphilophus_citrinellus,missing
Apo_cl4_d_ben_18037,Amphilophus globosus,CL Apoyo,2014,PRJEB38173,SAMEA6815712,Amphilophus_citrinellus,missing
Apo_cl4_d_ben_18442,Amphilophus globosus,CL Apoyo,2014,PRJEB38173,SAMEA6815713,Amphilophus_citrinellus,missing
Apo_cl4_d_ben_18443,Amphilophus globosus,CL Apoyo,2014,PRJEB38173,SAMEA6815714,Amphilophus_citrinellus,missing
Apo_cl4_d_ben_18444,Amphilophus globosus,CL Apoyo,2014,PRJEB38173,SAMEA6815715,Amphilophus_citrinellus,missing
Apo_cl5_d_ben_02419,Amphilophus flaveolus,CL Apoyo,2013,PRJEB38173,SAMEA6815716,Amphilophus_citrinellus,missing
Apo_cl5_d_ben_02426,Amphilophus flaveolus,CL Apoyo,2013,PRJEB38173,SAMEA6815717,Amphilophus_citrinellus,missing
Apo_cl5_d_ben_03120,Amphilophus flaveolus,CL Apoyo,2003,PRJEB38173,SAMEA6815718,Amphilophus_citrinellus,missing
Apo_cl5_d_ben_03972,Amphilophus flaveolus,CL Apoyo,2003,PRJEB38173,SAMEA6815719,Amphilophus_citrinellus,missing
Apo_cl5_d_ben_03975,Amphilophus flaveolus,CL Apoyo,2003,PRJEB38173,SAMEA6815720,Amphilophus_citrinellus,missing
Apo_cl5_d_ben_07689,Amphilophus flaveolus,CL Apoyo,2014,PRJEB38173,SAMEA6815721,Amphilophus_citrinellus,missing
Apo_cl5_d_ben_12413,Amphilophus flaveolus,CL Apoyo,2010,PRJEB38173,SAMEA6815722,Amphilophus_citrinellus,missing
Apo_cl5_d_ben_12437,Amphilophus flaveolus,CL Apoyo,2010,PRJEB38173,SAMEA6815723,Amphilophus_citrinellus,missing
Apo_cl5_d_ben_12440,Amphilophus flaveolus,CL Apoyo,2010,PRJEB38173,SAMEA6815724,Amphilophus_citrinellus,missing
Apo_cl5_d_ben_12454,Amphilophus flaveolus,CL Apoyo,2010,PRJEB38173,SAMEA6815725,Amphilophus_citrinellus,missing
Apo_cl5_d_ben_12478,Amphilophus flaveolus,CL Apoyo,2010,PRJEB38173,SAMEA6815726,Amphilophus_citrinellus,missing
Apo_cl5_d_ben_12479,Amphilophus flaveolus,CL Apoyo,2010,PRJEB38173,SAMEA6815727,Amphilophus_citrinellus,missing
Apo_cl5_d_ben_12482,Amphilophus flaveolus,CL Apoyo,2010,PRJEB38173,SAMEA6815728,Amphilophus_citrinellus,missing
Apo_cl5_d_ben_13245,Amphilophus flaveolus,CL Apoyo,2010,PRJEB38173,SAMEA6815729,Amphilophus_citrinellus,missing
