BioProject,BioSample,Isolate,Ecotype,Collection_date,lat_lon,Country,Continent,Locality
PRJNA668259,SAMN16492417,AAF21,AAF,NA,47.498587 N 2.384849 W,France,Europe,France:Arzal
PRJNA668259,SAMN16492899,SMS9,SMS,2002,58.588932 N 16.18397 E,Sweden,Europe,Sweden:Motala strom
PRJNA668259,SAMN16492889,SMS46,SMS,2002,58.588932 N 16.18397 E,Sweden,Europe,Sweden:Motala strom
PRJNA668259,SAMN16492524,AES3,AES,2002,51.993503 N 2.174012 W,United Kingdom,Europe,United Kingdom: Severn river
PRJNA668259,SAMN16492447,AAF4,AAF,NA,47.498587 N 2.384849 W,France,Europe,France:Arzal
PRJNA668259,SAMN16492860,SMS18,SMS,2002,58.588932 N 16.18397 E,Sweden,Europe,Sweden:Motala strom
PRJNA668259,SAMN16492844,ATU66,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492841,ATU63,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492833,ATU56,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492822,ATU46,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492521,AES28,AES,2002,51.993503 N 2.174012 W,United Kingdom,Europe,United Kingdom: Severn river
PRJNA668259,SAMN16492819,ATU43,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492654,AMAR35,AMAR,NA,34.274454 N 6.566088 W,Morocco,Africa,Morocco:Oued Sebou
PRJNA668259,SAMN16492708,APM40,APM,1995,37.721472 N 8.782361 W,Portugal,Europe,Portugal:Mira river
PRJNA668259,SAMN16492702,APM35,APM,1995,37.721472 N 8.782361 W,Portugal,Europe,Portugal:Mira river
PRJNA668259,SAMN16492700,APM33,APM,1995,37.721472 N 8.782361 W,Portugal,Europe,Portugal:Mira river
PRJNA668259,SAMN16492677,APM10,APM,1995,37.721472 N 8.782361 W,Portugal,Europe,Portugal:Mira river
PRJNA668259,SAMN16492675,AMAR8,AMAR,NA,34.274454 N 6.566088 W,Morocco,Africa,Morocco:Oued Sebou
PRJNA668259,SAMN16492661,AMAR41,AMAR,NA,34.274454 N 6.566088 W,Morocco,Africa,Morocco:Oued Sebou
PRJNA668259,SAMN16492640,AMAR22,AMAR,NA,34.274454 N 6.566088 W,Morocco,Africa,Morocco:Oued Sebou
PRJNA668259,SAMN16492617,ALI47,ALI,NA,55.5425 N 21.1219 E,Lithuania,Europe,Lithuania:Curonian Lagoon
PRJNA668259,SAMN16492613,ALI43,ALI,NA,55.5425 N 21.1219 E,Lithuania,Europe,Lithuania:Curonian Lagoon
PRJNA668259,SAMN16492602,ALI33,ALI,NA,55.5425 N 21.1219 E,Lithuania,Europe,Lithuania:Curonian Lagoon
PRJNA668259,SAMN16492650,AMAR31,AMAR,NA,34.274454 N 6.566088 W,Morocco,Africa,Morocco:Oued Sebou
PRJNA668259,SAMN16492609,ALI3,ALI,NA,55.5425 N 21.1219 E,Lithuania,Europe,Lithuania:Curonian Lagoon
PRJNA668259,SAMN16492593,ALI24,ALI,NA,55.5425 N 21.1219 E,Lithuania,Europe,Lithuania:Curonian Lagoon
PRJNA668259,SAMN16492592,ALI23,ALI,NA,55.5425 N 21.1219 E,Lithuania,Europe,Lithuania:Curonian Lagoon
PRJNA668259,SAMN16492588,ALI19,ALI,NA,55.5425 N 21.1219 E,Lithuania,Europe,Lithuania:Curonian Lagoon
PRJNA668259,SAMN16492581,ALI12,ALI,NA,55.5425 N 21.1219 E,Lithuania,Europe,Lithuania:Curonian Lagoon
PRJNA668259,SAMN16492579,ALI10,ALI,NA,55.5425 N 21.1219 E,Lithuania,Europe,Lithuania:Curonian Lagoon
PRJNA668259,SAMN16492574,AI146,AI,2002,54.504526 N 8.230453 W,Ireland,Europe,Ireland:River Erne
