BioProject,BioSample,Organism,sex,Submitter_Id,Continent,Country,Locality,refGenome
PRJNA477377,SAMN09469404,Pungitius_tymensis,female,P.tym_Mon_9,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469424,Pungitius_tymensis,male,P.tym_Mon_24,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469413,Pungitius_tymensis,male,P.tym_Mon_3,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469425,Pungitius_tymensis,male,P.tym_Mon_25,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469401,Pungitius_tymensis,female,P.tym_Mon_5,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469414,Pungitius_tymensis,male,P.tym_Mon_8,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469409,Pungitius_tymensis,female,P.tym_Mon_22,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469402,Pungitius_tymensis,female,P.tym_Mon_6,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469418,Pungitius_tymensis,male,P.tym_Mon_14,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469417,Pungitius_tymensis,male,P.tym_Mon_13,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469415,Pungitius_tymensis,male,P.tym_Mon_10,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469411,Pungitius_tymensis,male,P.tym_Mon_1,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469403,Pungitius_tymensis,female,P.tym_Mon_7,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469406,Pungitius_tymensis,female,P.tym_Mon_15,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469419,Pungitius_tymensis,male,P.tym_Mon_16,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469416,Pungitius_tymensis,male,P.tym_Mon_12,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469423,Pungitius_tymensis,male,P.tym_Mon_23,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469405,Pungitius_tymensis,female,P.tym_Mon_11,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469421,Pungitius_tymensis,male,P.tym_Mon_20,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469422,Pungitius_tymensis,male,P.tym_Mon_21,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469408,Pungitius_tymensis,female,P.tym_Mon_19,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469412,Pungitius_tymensis,male,P.tym_Mon_2,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469407,Pungitius_tymensis,female,P.tym_Mon_17,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469420,Pungitius_tymensis,male,P.tym_Mon_18,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469400,Pungitius_tymensis,female,P.tym_Mon_4,Asia,Japan,Monshizu_pond,GCF_902500615.1
PRJNA477377,SAMN09469410,Pungitius_tymensis,female,P.tym_Mon_26,Asia,Japan,Monshizu_pond,GCF_902500615.1
