BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN14363208,130,GCF_001891065.1,SRR12601911,Hippocampus_fuscus,PRJNA612146
SAMN14363206,128,GCF_001891065.1,SRR12601913,Hippocampus_fuscus,PRJNA612146
SAMN14363203,125,GCF_001891065.1,SRR12601916,Hippocampus_fuscus,PRJNA612146
SAMN14363201,123,GCF_001891065.1,SRR12601918,Hippocampus_fuscus,PRJNA612146
SAMN14363199,121,GCF_001891065.1,SRR12601920,Hippocampus_fuscus,PRJNA612146
SAMN14363198,120,GCF_001891065.1,SRR12601922,Hippocampus_fuscus,PRJNA612146
SAMN14363196,118,GCF_001891065.1,SRR12601924,Hippocampus_fuscus,PRJNA612146
SAMN14363194,116,GCF_001891065.1,SRR12601926,Hippocampus_fuscus,PRJNA612146
SAMN14363192,114,GCF_001891065.1,SRR12601928,Hippocampus_fuscus,PRJNA612146
SAMN14363190,112,GCF_001891065.1,SRR12601930,Hippocampus_fuscus,PRJNA612146
SAMN14363205,127,GCF_001891065.1,SRR12601914,Hippocampus_fuscus,PRJNA612146
SAMN14363204,126,GCF_001891065.1,SRR12601915,Hippocampus_fuscus,PRJNA612146
SAMN14363202,124,GCF_001891065.1,SRR12601917,Hippocampus_fuscus,PRJNA612146
SAMN14363200,122,GCF_001891065.1,SRR12601919,Hippocampus_fuscus,PRJNA612146
SAMN14363197,119,GCF_001891065.1,SRR12601923,Hippocampus_fuscus,PRJNA612146
SAMN14363195,117,GCF_001891065.1,SRR12601925,Hippocampus_fuscus,PRJNA612146
SAMN14363193,115,GCF_001891065.1,SRR12601927,Hippocampus_fuscus,PRJNA612146
SAMN14363191,113,GCF_001891065.1,SRR12601929,Hippocampus_fuscus,PRJNA612146
SAMN14363207,129,GCF_001891065.1,SRR12601912,Hippocampus_fuscus,PRJNA612146
