BioProject,BioSample,Organism,sex,Country,Continent,Submitter_Id,Population,Sample,Locality,Organism.x,Organism.y,refGenome
PRJEB7359,SAMEA3167980,Ficedula_hypoleuca,male,Czech Republic,Europe,CZP_312350,CZP,312350,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3167982,Ficedula_hypoleuca,female,Czech Republic,Europe,CZP_312466,CZP,312466,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3167983,Ficedula_hypoleuca,male,Czech Republic,Europe,CZP_312467,CZP,312467,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3167984,Ficedula_hypoleuca,female,Czech Republic,Europe,CZP_312470,CZP,312470,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3167985,Ficedula_hypoleuca,female,Czech Republic,Europe,CZP_312472,CZP,312472,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3167986,Ficedula_hypoleuca,male,Czech Republic,Europe,CZP_312480,CZP,312480,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3167987,Ficedula_hypoleuca,male,Czech Republic,Europe,CZP_312490,CZP,312490,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3167988,Ficedula_hypoleuca,female,Czech Republic,Europe,CZP_312496,CZP,312496,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3167989,Ficedula_hypoleuca,female,Czech Republic,Europe,CZP_522953,CZP,522953,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3167990,Ficedula_hypoleuca,male,Czech Republic,Europe,CZP_522954,CZP,522954,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3167992,Ficedula_hypoleuca,male,Czech Republic,Europe,CZP_522956,CZP,522956,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3167993,Ficedula_hypoleuca,female,Czech Republic,Europe,CZP_522957,CZP,522957,Unknown,NA,NA,GCF_000247815.1
