BioProject,BioSample,Organism,sex,Submitter_Id,Lake,Sampling_Year,refGenome
PRJEB38173,SAMEA6815794,Amphilophus_tolteca,missing,AsM_tol_d_mid_02394,CL As. Managua,2013,GCA_013435755.1
PRJEB38173,SAMEA6815795,Amphilophus_tolteca,missing,AsM_tol_d_mid_02395,CL As. Managua,2013,GCA_013435755.1
PRJEB38173,SAMEA6815796,Amphilophus_tolteca,missing,AsM_tol_d_mid_02396,CL As. Managua,2013,GCA_013435755.1
PRJEB38173,SAMEA6815797,Amphilophus_tolteca,missing,AsM_tol_d_mid_02397,CL As. Managua,2013,GCA_013435755.1
PRJEB38173,SAMEA6815798,Amphilophus_tolteca,missing,AsM_tol_d_mid_02398,CL As. Managua,2013,GCA_013435755.1
PRJEB38173,SAMEA6815799,Amphilophus_tolteca,missing,AsM_tol_d_mid_02410,CL As. Managua,2013,GCA_013435755.1
PRJEB38173,SAMEA6815800,Amphilophus_tolteca,missing,AsM_tol_d_mid_02411,CL As. Managua,2013,GCA_013435755.1
PRJEB38173,SAMEA6815801,Amphilophus_tolteca,missing,AsM_tol_d_mid_02590,CL As. Managua,2013,GCA_013435755.1
PRJEB38173,SAMEA6815802,Amphilophus_tolteca,missing,AsM_tol_d_sho_02375,CL As. Managua,2013,GCA_013435755.1
PRJEB38173,SAMEA6815803,Amphilophus_tolteca,missing,AsM_tol_d_sho_02383,CL As. Managua,2013,GCA_013435755.1
PRJEB38173,SAMEA6815804,Amphilophus_tolteca,missing,AsM_tol_d_sho_02388,CL As. Managua,2013,GCA_013435755.1
PRJEB38173,SAMEA6815805,Amphilophus_tolteca,missing,AsM_tol_d_sho_02389,CL As. Managua,2013,GCA_013435755.1
PRJEB38173,SAMEA6815806,Amphilophus_tolteca,missing,AsM_tol_d_sho_02391,CL As. Managua,2013,GCA_013435755.1
PRJEB38173,SAMEA6815807,Amphilophus_tolteca,missing,AsM_tol_d_sho_02392,CL As. Managua,2013,GCA_013435755.1
PRJEB38173,SAMEA6815808,Amphilophus_tolteca,missing,AsM_tol_d_sho_02591,CL As. Managua,2013,GCA_013435755.1
PRJEB38173,SAMEA6815809,Amphilophus_tolteca,missing,AsM_tol_g_mid_02366,CL As. Managua,2013,GCA_013435755.1
PRJEB38173,SAMEA6815810,Amphilophus_tolteca,missing,AsM_tol_g_sho_02368,CL As. Managua,2013,GCA_013435755.1
PRJEB38173,SAMEA6815811,Amphilophus_tolteca,missing,AsM_tol_g_sho_02369,CL As. Managua,2013,GCA_013435755.1
PRJEB38173,SAMEA6815812,Amphilophus_tolteca,missing,AsM_tol_g_sho_02370,CL As. Managua,2013,GCA_013435755.1
PRJEB38173,SAMEA6815813,Amphilophus_tolteca,missing,AsM_tol_g_sho_02371,CL As. Managua,2013,GCA_013435755.1
