BioProject,BioSample,Organism,sex,Population,Collection_date,Submitter_Id,refGenome
PRJNA485198,SAMN09786233,Astatotilapia_stappersii,male,Rusizi River,2015-01,KBE1,GCF_000239415.1
PRJNA485198,SAMN09786232,Astatotilapia_stappersii,male,Rusizi River,2015-01,KBD7,GCF_000239415.1
PRJNA485198,SAMN09786231,Astatotilapia_stappersii,male,Rusizi River,2015-01,KBD3,GCF_000239415.1
PRJNA485198,SAMN09786240,Astatotilapia_stappersii,female,Rusizi River,2015-01,KBH5,GCF_000239415.1
PRJNA485198,SAMN09786241,Astatotilapia_stappersii,female,Rusizi River,2015-01,KBH6,GCF_000239415.1
PRJNA485198,SAMN09786239,Astatotilapia_stappersii,female,Rusizi River,2015-01,KBH4,GCF_000239415.1
PRJNA485198,SAMN09786236,Astatotilapia_stappersii,female,Rusizi River,2015-01,KBG5,GCF_000239415.1
PRJNA485198,SAMN09786237,Astatotilapia_stappersii,male,Rusizi River,2015-01,KBG8,GCF_000239415.1
PRJNA485198,SAMN09786234,Astatotilapia_stappersii,male,Rusizi River,2015-01,KBE7,GCF_000239415.1
PRJNA485198,SAMN09786235,Astatotilapia_stappersii,female,Rusizi River,2015-01,KBE9,GCF_000239415.1
PRJNA485198,SAMN09786242,Astatotilapia_stappersii,male,Rusizi Lake,2015-01,KZD7,GCF_000239415.1
PRJNA485198,SAMN09786243,Astatotilapia_stappersii,male,Rusizi Lake,2015-01,KZD8,GCF_000239415.1
PRJNA485198,SAMN09786248,Astatotilapia_stappersii,female,Rusizi Lake,2015-01,KZE8,GCF_000239415.1
PRJNA485198,SAMN09786251,Astatotilapia_stappersii,male,Rusizi Lake,2015-01,KZF3,GCF_000239415.1
PRJNA485198,SAMN09786250,Astatotilapia_stappersii,female,Rusizi Lake,2015-01,KZF2,GCF_000239415.1
PRJNA485198,SAMN09786245,Astatotilapia_stappersii,male,Rusizi Lake,2015-01,KZE3,GCF_000239415.1
PRJNA485198,SAMN09786247,Astatotilapia_stappersii,female,Rusizi Lake,2015-01,KZE7,GCF_000239415.1
PRJNA485198,SAMN09786246,Astatotilapia_stappersii,male,Rusizi Lake,2015-01,KZE5,GCF_000239415.1
PRJNA485198,SAMN09786253,Astatotilapia_stappersii,missing,Rusizi Lake,2015-01,KZF6,GCF_000239415.1
PRJNA485198,SAMN09786252,Astatotilapia_stappersii,male,Rusizi Lake,2015-01,KZF4,GCF_000239415.1
PRJNA485198,SAMN09786249,Astatotilapia_stappersii,female,Rusizi Lake,2015-01,KZE9,GCF_000239415.1
PRJNA485198,SAMN09786238,Astatotilapia_stappersii,male,Rusizi River,2015-01,KBH1,GCF_000239415.1
PRJNA485198,SAMN09786244,Astatotilapia_stappersii,female,Rusizi Lake,2015-01,KZE2,GCF_000239415.1
PRJNA485198,SAMN09786230,Astatotilapia_stappersii,female,Rusizi River,2015-01,KBA6,GCF_000239415.1
