BioProject,BioSample,Organism,sex,Submitter_Id,Location,State,Country,refGenome
PRJNA612146,SAMN14363324,Hippocampus_kuda,missing,Hku_20,Ho Chi Minh City,NA,Vietnum,GCF_001891065.1
PRJNA612146,SAMN14363322,Hippocampus_kuda,missing,Hku_18,Ho Chi Minh City,NA,Vietnum,GCF_001891065.1
PRJNA612146,SAMN14363321,Hippocampus_kuda,missing,Hku_17,Ho Chi Minh City,NA,Vietnum,GCF_001891065.1
PRJNA612146,SAMN14363319,Hippocampus_kuda,missing,Hku_15,Ho Chi Minh City,NA,Vietnum,GCF_001891065.1
PRJNA612146,SAMN14363317,Hippocampus_kuda,missing,Hku_13,Ho Chi Minh City,NA,Vietnum,GCF_001891065.1
PRJNA612146,SAMN14363314,Hippocampus_kuda,missing,Hku_9,Ho Chi Minh City,NA,Vietnum,GCF_001891065.1
PRJNA612146,SAMN14363311,Hippocampus_kuda,missing,Hku_6,Phuket Island,NA,Thailand,GCF_001891065.1
PRJNA612146,SAMN14363308,Hippocampus_kuda,missing,Hku_2,Phuket Island,NA,Thailand,GCF_001891065.1
PRJNA612146,SAMN14363323,Hippocampus_kuda,missing,Hku_19,Ho Chi Minh City,NA,Vietnum,GCF_001891065.1
PRJNA612146,SAMN14363320,Hippocampus_kuda,missing,Hku_16,Ho Chi Minh City,NA,Vietnum,GCF_001891065.1
PRJNA612146,SAMN14363318,Hippocampus_kuda,missing,Hku_14,Ho Chi Minh City,NA,Vietnum,GCF_001891065.1
PRJNA612146,SAMN14363316,Hippocampus_kuda,missing,Hku_11,Ho Chi Minh City,NA,Vietnum,GCF_001891065.1
PRJNA612146,SAMN14363315,Hippocampus_kuda,missing,Hku_10,Ho Chi Minh City,NA,Vietnum,GCF_001891065.1
PRJNA612146,SAMN14363313,Hippocampus_kuda,missing,Hku_8,Ho Chi Minh City,NA,Vietnum,GCF_001891065.1
PRJNA612146,SAMN14363312,Hippocampus_kuda,missing,Hku_7,Phuket Island,NA,Thailand,GCF_001891065.1
PRJNA612146,SAMN14363310,Hippocampus_kuda,missing,Hku_4,Phuket Island,NA,Thailand,GCF_001891065.1
PRJNA612146,SAMN14363309,Hippocampus_kuda,missing,Hku_3,Phuket Island,NA,Thailand,GCF_001891065.1
PRJNA612146,SAMN14363307,Hippocampus_kuda,missing,Hku_1,Phuket Island,NA,Thailand,GCF_001891065.1
