BioProject,BioSample,Organism,sex,Submitter_Id,Population,Subpopulation,refGenome,refSpecies
PRJNA628166,SAMN14732700,Dicentrarchus_labrax,male,SEM10,Mediterranean,SE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732699,Dicentrarchus_labrax,male,SEM09,Mediterranean,SE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732698,Dicentrarchus_labrax,male,SEM06,Mediterranean,SE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732697,Dicentrarchus_labrax,male,SEM05,Mediterranean,SE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732696,Dicentrarchus_labrax,male,SEM03,Mediterranean,SE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732695,Dicentrarchus_labrax,male,SEM02,Mediterranean,SE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732693,Dicentrarchus_labrax,male,NEM30,Mediterranean,NE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732657,Dicentrarchus_labrax,male,AT205899,Atlantic,Atlantic,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732692,Dicentrarchus_labrax,male,NEM16,Mediterranean,NE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732691,Dicentrarchus_labrax,male,NEM14,Mediterranean,NE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732690,Dicentrarchus_labrax,male,NEM10,Mediterranean,NE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732689,Dicentrarchus_labrax,male,NEM09,Mediterranean,NE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732688,Dicentrarchus_labrax,male,NEM08,Mediterranean,NE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732687,Dicentrarchus_labrax,male,NEM07,Mediterranean,NE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732686,Dicentrarchus_labrax,male,NEM05,Mediterranean,NE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732685,Dicentrarchus_labrax,male,NEM04,Mediterranean,NE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732684,Dicentrarchus_labrax,male,NEM02,Mediterranean,NE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732683,Dicentrarchus_labrax,female,F251175,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732656,Dicentrarchus_labrax,male,AT205638,Atlantic,Atlantic,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732681,Dicentrarchus_labrax,female,F204510,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732679,Dicentrarchus_labrax,female,F197773,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732678,Dicentrarchus_labrax,female,F188042,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732677,Dicentrarchus_labrax,female,F187464,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732676,Dicentrarchus_labrax,female,F184968,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732675,Dicentrarchus_labrax,female,F184881,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732674,Dicentrarchus_labrax,male,F1_831536,F1 hybrid,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732673,Dicentrarchus_labrax,male,F1_831423,F1 hybrid,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732655,Dicentrarchus_labrax,male,AT205057,Atlantic,Atlantic,GCA_000689215.1,Dicentrarchus_labrax
