BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	geo_loc_name_country	geo_loc_name_country_continent	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	geographic_location_(country_and/or_sea)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	AssemblyName	Description	ENA_CHECKLIST	use_species
PRJEB7359	ERR700473	WGS	211	36100118350	SAMEA3175127	17811975967	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX644808	Illumina HiSeq 2000	FSP08-018_450	PAIRED	unspecified	GENOMIC	Ficedula_speculigera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3175127	ERP007074	female	Morocco	Africa	ERS628304	2014-12-12	2018-11-16	Morocco	Uppsala University	Uppsala University	2014-12-12T17:01:49Z	2014-12-12T13:05:50Z	public	ERS628304	FSP08-018	FSP08-018	GCF_000247815.1	Provided by the Natural History Museum in Oslo	ERC000011	1
PRJEB7359	ERR700474	WGS	215	22779157650	SAMEA3175128	11278868582	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX644809	Illumina HiSeq 2000	FSP08-019_450	PAIRED	unspecified	GENOMIC	Ficedula_speculigera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3175128	ERP007074	male	Morocco	Africa	ERS628305	2014-12-12	2018-11-16	Morocco	Uppsala University	Uppsala University	2014-12-12T17:01:49Z	2014-12-12T13:05:50Z	public	ERS628305	FSP08-019	FSP08-019	GCF_000247815.1	Provided by the Natural History Museum in Oslo	ERC000011	1
PRJEB7359	ERR700475	WGS	210	32159065150	SAMEA3175129	15952481987	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX644810	Illumina HiSeq 2000	FSP08-020_450	PAIRED	unspecified	GENOMIC	Ficedula_speculigera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3175129	ERP007074	male	Morocco	Africa	ERS628306	2014-12-12	2018-11-16	Morocco	Uppsala University	Uppsala University	2014-12-12T17:01:50Z	2014-12-12T13:05:50Z	public	ERS628306	FSP08-020	FSP08-020	GCF_000247815.1	Provided by the Natural History Museum in Oslo	ERC000011	1
PRJEB7359	ERR700476	WGS	214	24158662850	SAMEA3175130	12166875236	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX644811	Illumina HiSeq 2000	FSP08-021_450	PAIRED	unspecified	GENOMIC	Ficedula_speculigera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3175130	ERP007074	male	Morocco	Africa	ERS628307	2014-12-12	2018-11-16	Morocco	Uppsala University	Uppsala University	2014-12-12T17:01:49Z	2014-12-12T13:05:50Z	public	ERS628307	FSP08-021	FSP08-021	GCF_000247815.1	Provided by the Natural History Museum in Oslo	ERC000011	1
PRJEB7359	ERR700477	WGS	220	23957658250	SAMEA3175131	11653800194	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX644812	Illumina HiSeq 2000	FSP08-022_450	PAIRED	unspecified	GENOMIC	Ficedula_speculigera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3175131	ERP007074	male	Morocco	Africa	ERS628308	2014-12-12	2018-11-16	Morocco	Uppsala University	Uppsala University	2014-12-12T17:01:49Z	2014-12-12T13:05:50Z	public	ERS628308	FSP08-022	FSP08-022	GCF_000247815.1	Provided by the Natural History Museum in Oslo	ERC000011	1
PRJEB7359	ERR700478	WGS	214	33386792800	SAMEA3175132	16025788176	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX644813	Illumina HiSeq 2000	FSP08-023_450	PAIRED	unspecified	GENOMIC	Ficedula_speculigera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3175132	ERP007074	male	Morocco	Africa	ERS628309	2014-12-12	2018-11-16	Morocco	Uppsala University	Uppsala University	2014-12-12T17:01:50Z	2014-12-12T13:05:50Z	public	ERS628309	FSP08-023	FSP08-023	GCF_000247815.1	Provided by the Natural History Museum in Oslo	ERC000011	1
PRJEB7359	ERR700479	WGS	208	35960109600	SAMEA3175133	17480554838	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX644814	Illumina HiSeq 2000	FSP08-024_450	PAIRED	unspecified	GENOMIC	Ficedula_speculigera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3175133	ERP007074	female	Morocco	Africa	ERS628310	2014-12-12	2018-11-16	Morocco	Uppsala University	Uppsala University	2014-12-12T17:01:50Z	2014-12-12T13:05:50Z	public	ERS628310	FSP08-024	FSP08-024	GCF_000247815.1	Provided by the Natural History Museum in Oslo	ERC000011	1
PRJEB7359	ERR700480	WGS	212	31407579950	SAMEA3175134	15576348981	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX644815	Illumina HiSeq 2000	FSP08-025_450	PAIRED	unspecified	GENOMIC	Ficedula_speculigera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3175134	ERP007074	male	Morocco	Africa	ERS628311	2014-12-12	2018-11-16	Morocco	Uppsala University	Uppsala University	2014-12-12T17:01:50Z	2014-12-12T13:05:50Z	public	ERS628311	FSP08-025	FSP08-025	GCF_000247815.1	Provided by the Natural History Museum in Oslo	ERC000011	1
PRJEB7359	ERR700481	WGS	216	25591522100	SAMEA3175135	12714663796	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX644816	Illumina HiSeq 2000	FSP08-026_450	PAIRED	unspecified	GENOMIC	Ficedula_speculigera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3175135	ERP007074	male	Morocco	Africa	ERS628312	2014-12-12	2018-11-16	Morocco	Uppsala University	Uppsala University	2014-12-12T17:01:49Z	2014-12-12T13:05:50Z	public	ERS628312	FSP08-026	FSP08-026	GCF_000247815.1	Provided by the Natural History Museum in Oslo	ERC000011	1
PRJEB7359	ERR700467	WGS	214	22994171500	SAMEA3175121	11528827937	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX644802	Illumina HiSeq 2000	FSP08-010_450	PAIRED	unspecified	GENOMIC	Ficedula_speculigera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3175121	ERP007074	male	Morocco	Africa	ERS628298	2014-12-12	2018-11-16	Morocco	Uppsala University	Uppsala University	2014-12-12T17:01:50Z	2014-12-12T13:05:50Z	public	ERS628298	FSP08-010	FSP08-010	GCF_000247815.1	Provided by the Natural History Museum in Oslo	ERC000011	1
