Organism	BioProject.popgen	n.x	directory	fastq2vcf	fastq2vcf_version (scripts or snakemake)	vcf2mk	vcf2mk_version (scripts or snakemake)	n.y	ref_genome	qc_info	publication	bioproject
Calidris pygmaea	PRJNA419629	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carassius auratus	PRJDB8110	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chaenogobius annularis	PRJDB7125	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chloebia gouldiae	PRJNA515277	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clupea harengus	PRJEB25669	12	Charengus	n	scripts	n	n/a	21	Charengus	NA	http://www.pnas.org/content/114/17/E3452.full	PRJNA338612
Clupea harengus	PRJEB32358	13	Charengus	n	scripts	n	n/a	21	Charengus	NA	http://www.pnas.org/content/114/17/E3452.full	PRJNA338612
Clupea harengus	PRJNA356817	26	Charengus	n	scripts	n	n/a	21	Charengus	NA	http://www.pnas.org/content/114/17/E3452.full	PRJNA338612
Clupea harengus	PRJNA642736	51	Charengus	n	scripts	n	n/a	21	Charengus	NA	http://www.pnas.org/content/114/17/E3452.full	PRJNA338612
Coilia nasus	PRJNA422339	96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Columba livia	PRJNA167554	51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Columba livia	PRJNA513877	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Columba livia	PRJNA532675	95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Corvus cornix cornix	PRJNA192205	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coryphaenoides rupestris	PRJNA430094	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coturnix japonica	PRJNA339911	83	Cjaponica	y	scripts	y	scripts	10	Cjaponica	NA	https://academic.oup.com/gigascience/article/7/5/giy049/4995262	PRJNA339911
Coturnix japonica	PRJNA339911	83	Cjaponica_Ggal	y	scripts	n	n/a	10	Gallus gallus	NA	https://academic.oup.com/gigascience/article/7/5/giy049/4995262	PRJNA339911
Cyprinodon variegatus	PRJNA690558	58	Cvariegatus_Fhet	y	scripts	n	n/a	1	Fheteroclitus	NA	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-017-3810-7	PRJNA89149
Cyprinus carpio	PRJNA202478	33	Ccarpio	y	scripts	y	scripts	1	Ccarpio	NA	NA	PRJNA510861
Cyprinus carpio	PRJNA510861	53	Ccarpio	y	scripts	y	scripts	1	Ccarpio	NA	NA	PRJNA510861
Cyprinus carpio	PRJNA684676	36	Ccarpio	y	scripts	y	scripts	1	Ccarpio	NA	NA	PRJNA510861
Cyprinus carpio	PRJNA684797	26	Ccarpio	y	scripts	y	scripts	1	Ccarpio	NA	NA	PRJNA510861
Dicentrarchus labrax	PRJEB40423	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dicentrarchus labrax	PRJNA472842	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dicentrarchus labrax	PRJNA628166	59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eopsaltria australis	PRJNA476023	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Etheostoma cragini	PRJNA611833	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Falco peregrinus	PRJNA686418	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ficedula albicollis	PRJEB11502	86	Falbicollis	y	scripts	y	scripts	12	Falbicollis	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4617962/	PRJEB7359
Ficedula albicollis	PRJEB12616	11	Falbicollis	y	scripts	y	scripts	12	Falbicollis	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4617962/	PRJEB7359
Ficedula albicollis	PRJEB7359	79	Falbicollis	y	scripts	y	scripts	12	Falbicollis	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4617962/	PRJEB7359
Fundulus heteroclitus	PRJNA323589	76	Fheteroclitus	y	scripts	n	n/a	95	Fheteroclitus	NA	http://science.sciencemag.org/content/354/6317/1305.full	PRJNA323589
Gadus morhua	PRJEB12803	104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gadus morhua	PRJEB15516	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gadus morhua	PRJEB20524	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gadus morhua	PRJEB29231	180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gadus morhua	PRJNA301002	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gasterosteus aculeatus	PRJDB7611	32	Gaculeatus	y	scripts	n	n/a	20	Gaculeatus	NA	https://www.ncbi.nlm.nih.gov/pubmed/27569902	PRJEB15181
Gasterosteus aculeatus	PRJEB15181	15	Gaculeatus	y	scripts	n	n/a	20	Gaculeatus	NA	https://www.ncbi.nlm.nih.gov/pubmed/27569902	PRJEB15181
Gasterosteus aculeatus	PRJEB37366	13	Gaculeatus	y	scripts	n	n/a	20	Gaculeatus	NA	https://www.ncbi.nlm.nih.gov/pubmed/27569902	PRJEB15181
Gasterosteus aculeatus	PRJEB5198	66	Gaculeatus	y	scripts	n	n/a	20	Gaculeatus	NA	https://www.ncbi.nlm.nih.gov/pubmed/27569902	PRJEB15181
Gasterosteus aculeatus	PRJNA247503	206	Gaculeatus	y	scripts	n	n/a	20	Gaculeatus	NA	https://www.ncbi.nlm.nih.gov/pubmed/27569902	PRJEB15181
Gasterosteus aculeatus	PRJNA374462	58	Gaculeatus	y	scripts	n	n/a	20	Gaculeatus	NA	https://www.ncbi.nlm.nih.gov/pubmed/27569902	PRJEB15181
Gasterosteus aculeatus	PRJNA437980	13	Gaculeatus	y	scripts	n	n/a	20	Gaculeatus	NA	https://www.ncbi.nlm.nih.gov/pubmed/27569902	PRJEB15181
Gasterosteus aculeatus	PRJNA485717	15	Gaculeatus	y	scripts	n	n/a	20	Gaculeatus	NA	https://www.ncbi.nlm.nih.gov/pubmed/27569902	PRJEB15181
Gasterosteus aculeatus	PRJNA530695	23	Gaculeatus	y	scripts	n	n/a	20	Gaculeatus	NA	https://www.ncbi.nlm.nih.gov/pubmed/27569902	PRJEB15181
Gasterosteus aculeatus	PRJNA681039	94	Gaculeatus	y	scripts	n	n/a	20	Gaculeatus	NA	https://www.ncbi.nlm.nih.gov/pubmed/27569902	PRJEB15181
Gasterosteus aculeatus	PRJNA693136	16	Gaculeatus	y	scripts	n	n/a	20	Gaculeatus	NA	https://www.ncbi.nlm.nih.gov/pubmed/27569902	PRJEB15181
Gasterosteus nipponicus	PRJNA437980	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Haplochromis burtoni	PRJNA485198	132	Hburtoni	n	scripts	n	n/a	1	Oniloticus	NA	https://www.ncbi.nlm.nih.gov/pubmed/25186727	PRJNA60363
Hippocampus comes	PRJNA612146	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hippocampus kuda	PRJNA612146	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hypoplectrus puella	PRJEB27858	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kryptolebias marmoratus	PRJNA385014	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Larimichthys crocea	PRJNA553026	118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Larimichthys crocea	PRJNA629649	82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Larimichthys crocea	NA	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lateolabrax maculatus	PRJNA701455	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lates calcarifer	PRJNA311498	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mastacembelus armatus	PRJNA608290	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
