Organism	BioProject	Pub
Gadus morhua	PRJEB14672	https://www.biorxiv.org/content/early/2015/12/20/034926
Gadus morhua	PRJEB14672	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4976360/#S1
Gadus ogac	PRJNA301002	https://www.biorxiv.org/content/early/2015/12/20/034926
Gallus varius	PRJDB4092	https://www.ncbi.nlm.nih.gov/pubmed/27142387
Gambusia affinis	SRR5601729	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5982815/
Gasterosteus aculeatus	PRJEB15181	https://www.ncbi.nlm.nih.gov/pubmed/27569902
Gasterosteus wheatlandi	PRJDB2374	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3953013/
Haplochromis burtoni	PRJNA485198	https://www.ncbi.nlm.nih.gov/pubmed/25186727
Haplochromis burtoni	PRJNA60363	https://www.ncbi.nlm.nih.gov/pubmed/25186727
Hippocampus comes	PRJNA612146	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7889852/
Hippocampus kuda	PRJNA612146	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7889852/
Hypoplectrus puella	PRJEB27858	https://www.nature.com/articles/s41559-019-0814-5
Larimichthys crocea	PRJNA629649	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7645154/
Leuciscus waleckii	PRJNA298374	https://academic.oup.com/mbe/article/34/1/145/2655148
Maylandia zebra	PRJEB15289	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6443041/
Nipponia nippon	PRJNA481495	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0557-1
Nipponia nippon	PRJNA508426	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0557-1
Nipponia nippon	PRJNA308878	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0557-1
Oreochromis niloticus	PRJDB1657	https://www.ncbi.nlm.nih.gov/pubmed/25186727
Oreochromis niloticus	PRJNA59571	https://www.ncbi.nlm.nih.gov/pubmed/25186727
Oryzias latipes	PRJEB2759	https://www.ncbi.nlm.nih.gov/pubmed/24408034
Oryzias melastigma	PRJNA401159	https://www.ncbi.nlm.nih.gov/pubmed/29451363
Parus major	PRJNA274877	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4585896/
Parus major	PRJNA274877	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4737754/
Parus major	PRJNA304164	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4585896/
Parus major	PRJNA304164	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4737754/
Passer domesticus	PRJEB27649	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6111181/
Passer domesticus	PRJNA255814	http://advances.sciencemag.org/content/3/6/e1602996.full
Passer domesticus	PRJNA255814	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6111181/
Passer hispaniolensis	PRJNA255814	http://advances.sciencemag.org/content/3/6/e1602996.full
Passer italiae	PRJNA255814	http://advances.sciencemag.org/content/3/6/e1602996.full
Passer italiae	PRJNA255814	https://www-nature-com.ezp-prod1.hul.harvard.edu/articles/s41559-017-0437-7
Passer italiae	PRJEB22939	http://advances.sciencemag.org/content/3/6/e1602996.full
Passer italiae	PRJEB22939	https://www-nature-com.ezp-prod1.hul.harvard.edu/articles/s41559-017-0437-7
Passer montanus	PRJNA634228	http://advances.sciencemag.org/content/3/6/e1602996.full
Passer montanus	PRJNA255814	http://advances.sciencemag.org/content/3/6/e1602996.full
Pelecanus crispus	PRJNA212901	https://www.ncbi.nlm.nih.gov/pubmed/25504712
Phylloscopus collybita	PRJEB21643	https://www.ncbi.nlm.nih.gov/pubmed/29054864
Phylloscopus tristis	PRJEB21643	https://www.ncbi.nlm.nih.gov/pubmed/29054864
Phylloscopus trochilus	PRJNA319295	https://onlinelibrary.wiley.com/doi/abs/10.1002/evl3.15
Pimephales promelas	PRJNA227290	https://www.ncbi.nlm.nih.gov/pubmed/26513338
Plectropomus leopardus	PRJNA622646	https://onlinelibrary.wiley.com/doi/abs/10.1111/1755-0998.13207
Podarcis muralis	PRJNA515813	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6431182/
Poecilia formosa	PRJNA89109	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5866774/
Poecilia latipinna	PRJNA196862	https://www.nature.com/articles/s41559-018-0473-y
Poecilia reticulata	PRJEB10680	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7643365/
Poecilia reticulata	PRJEB22221	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6452659/
Poecilia reticulata	PRJEB36450	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7643365/
Poecilia reticulata	PRJEB39998	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7826173/
Poecilia reticulata	PRJNA353986	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5290318/
Poecilia reticulata	PRJNA238429	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5199103/
Poephila acuticauda	PRJEB10586	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4864528/
Pungitius pungitius	PRJNA477377	https://academic.oup.com/mbe/article/36/1/28/5112968
Pungitius pungitius	PRJDB2321	https://www.ncbi.nlm.nih.gov/pubmed/25818858
Setophaga coronata coronata	PRJNA325157	https://www.ncbi.nlm.nih.gov/pubmed/27546575
Strix occidentalis	PRJNA338167	https://www.ncbi.nlm.nih.gov/pubmed/28992302
Sylvia atricapilla	PRJNA616371	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7173969/
Symphodus melops	PRJNA354496	https://onlinelibrary.wiley.com/doi/full/10.1111/mec.15310
Taeniopygia bichenovii	PRJEB10586	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4864528/
Taeniopygia guttata	PRJEB10586	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4864528/
Takifugu bimaculatus	PRJNA522329	https://dx.doi.org/10.21203/rs.2.16620/v1
Takifugu rubripes	PRJNA522329	https://dx.doi.org/10.21203/rs.2.16620/v1
Thunnus albacares	PRJEB14402	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5408087/
Tyto alba	PRJNA212909	https://www.ncbi.nlm.nih.gov/pubmed/25504712
Vermivora chrysoptera	PRJNA325126	https://www.ncbi.nlm.nih.gov/pubmed/27546575
Vermivora cyanoptera	PRJNA325126	https://www.ncbi.nlm.nih.gov/pubmed/27546575
