BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	ENA_CHECKLIST	use_species
PRJEB1254	ERR702309	WGS	250	6227755250	SAMEA2661263	2233539321	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646572	Illumina HiSeq 2000	11649605	PAIRED	RANDOM	GENOMIC	Fossorochromis_rostratus	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661263	ERP002088	missing	ERS510477	2014-12-16	2018-11-16	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:36:51Z	public	ERS510477	Fossorochromis rostratus	Fossorochromis_rostratus_2-sc-2016573	ERC000011	0
PRJEB1254	ERR715476	WGS	250	5478223000	SAMEA2661264	1875679777	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX659398	Illumina HiSeq 2000	11649617	PAIRED	RANDOM	GENOMIC	Fossorochromis_rostratus	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661264	ERP002088	missing	ERS510478	2015-01-08	2018-11-16	SC	Wellcome Sanger Institute	2015-01-08T09:40:48Z	2018-03-09T11:31:21Z	public	ERS510478	Fossorochromis rostratus	Fossorochromis_rostratus_3-sc-2016574	ERC000011	0
PRJEB1254	ERR715512	WGS	250	16434598000	SAMEA2661261	5602816032	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX659434	Illumina HiSeq 2000	11649574	PAIRED	RANDOM	GENOMIC	Fossorochromis_rostratus	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661261	ERP002088	missing	ERS510475	2015-01-08	2018-11-16	SC	Wellcome Sanger Institute	2015-01-08T09:40:48Z	2018-03-09T11:31:21Z	public	ERS510475	Fossorochromis rostratus	Fossorochromis_rostratus_1-sc-2016571	ERC000011	0
PRJEB1254	ERR715516	WGS	250	15712597750	SAMEA2661268	5808926920	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX659438	Illumina HiSeq 2000	11649622	PAIRED	RANDOM	GENOMIC	Fossorochromis_rostratus	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661268	ERP002088	missing	ERS510482	2015-01-08	2018-11-16	SC	Wellcome Sanger Institute	2015-01-08T09:40:48Z	2018-03-09T11:22:59Z	public	ERS510482	Fossorochromis rostratus	Fossorochromis_rostratus_4-sc-2016578	ERC000011	0
