BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	AGE	Ecotype	birth_location	use_species
PRJNA616371	SRR11451729	WGS	288	29763891741	SAMN14488565	14122293070	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029425	NextSeq 500	GW09_library	PAIRED	RANDOM	GENOMIC	Sylvia_borin	ILLUMINA	2020-04-01T00:00:00Z	GW09	SRP254615	Model organism or animal	male	blood	GW09	after hatch year	Sylvia borin	Spain	0
PRJNA616371	SRR11451730	WGS	290	29634684413	SAMN14488564	14067613502	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029424	NextSeq 500	GW07_library	PAIRED	RANDOM	GENOMIC	Sylvia_borin	ILLUMINA	2020-04-01T00:00:00Z	GW07	SRP254615	Model organism or animal	male	blood	GW07	after hatch year	Sylvia borin	Spain	0
PRJNA616371	SRR11451731	WGS	292	35670945550	SAMN14488563	16828357667	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029423	NextSeq 500	GW04_library	PAIRED	RANDOM	GENOMIC	Sylvia_borin	ILLUMINA	2020-04-01T00:00:00Z	GW04	SRP254615	Model organism or animal	male	blood	GW04	after hatch year	Sylvia borin	Spain	0
PRJNA616371	SRR11451732	WGS	295	37880296610	SAMN14488562	17885054230	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029422	NextSeq 500	GW03_library	PAIRED	RANDOM	GENOMIC	Sylvia_borin	ILLUMINA	2020-04-01T00:00:00Z	GW03	SRP254615	Model organism or animal	male	blood	GW03	after hatch year	Sylvia borin	Spain	0
PRJNA616371	SRR11451733	WGS	295	37207311640	SAMN14488561	17631837450	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029421	NextSeq 500	GW01_library	PAIRED	RANDOM	GENOMIC	Sylvia_borin	ILLUMINA	2020-04-01T00:00:00Z	GW01	SRP254615	Model organism or animal	male	blood	GW01	after hatch year	Sylvia borin	Spain	0
