BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Ecotype	Strain	Breed	Cultivar	common	Treatment	use_species
PRJNA325126	SRR4017498	WGS	302	6175916610	SAMN05223527	2573206698	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011300	NextSeq 500	706	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera_x_cyanoptera_(Brewster's_warbler)	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23574_HGMNWBGXX_706_GGCTAC_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	706_R1	0
PRJNA325126	SRR4017499	WGS	302	5944591254	SAMN05223522	2396287573	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011301	NextSeq 500	713	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera_x_cyanoptera_(Brewster's_warbler)	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23575_HGMNWBGXX_713_CTTGTA_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	713_R1	0
PRJNA325126	SRR4017498	WGS	302	6175916610	SAMN05223527	2573206698	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011300	NextSeq 500	706	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera_x_cyanoptera_(Brewster's_warbler)	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23574_HGMNWBGXX_706_GGCTAC_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	706_R1	NA	0
PRJNA325126	SRR4017499	WGS	302	5944591254	SAMN05223522	2396287573	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011301	NextSeq 500	713	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera_x_cyanoptera_(Brewster's_warbler)	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23575_HGMNWBGXX_713_CTTGTA_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	713_R1	NA	0
