sample,breed,BioProject,BioSample,Organism,sex,Continent,Country,Locality,refGenome,refSpecies
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:49,Mallard,PRJNA450892,SAMN08952561,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:51,Mallard,PRJNA450892,SAMN08952562,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:52,Mallard,PRJNA450892,SAMN08952563,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:53,Mallard,PRJNA450892,SAMN08952564,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:58,Mallard,PRJNA450892,SAMN08952565,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:59,Mallard,PRJNA450892,SAMN08952566,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:6,Mallard,PRJNA450892,SAMN08952544,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:64,Mallard,PRJNA450892,SAMN08952567,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:65,Mallard,PRJNA450892,SAMN08952568,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:7,Mallard,PRJNA450892,SAMN08952545,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:70,Mallard,PRJNA450892,SAMN08952569,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:71,Mallard,PRJNA450892,SAMN08952570,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:76,Mallard,PRJNA450892,SAMN08952571,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:78,Mallard,PRJNA450892,SAMN08952572,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:80,Mallard,PRJNA450892,SAMN08952573,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:82,Mallard,PRJNA450892,SAMN08952574,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:83,Mallard,PRJNA450892,SAMN08952575,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:84,Mallard,PRJNA450892,SAMN08952576,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:9,Mallard,PRJNA450892,SAMN08952546,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:90,Mallard,PRJNA450892,SAMN08952577,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:95,Mallard,PRJNA450892,SAMN08952578,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:96,Mallard,PRJNA450892,SAMN08952579,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:B,Mallard,PRJNA450892,SAMN08952581,Anas_platyrhynchos,male,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:C,Mallard,PRJNA450892,SAMN08952582,Anas_platyrhynchos,male,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:D,Mallard,PRJNA450892,SAMN08952583,Anas_platyrhynchos,male,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos
