BioProject,BioSample,Organism,sex,Submitter_ID,Continent,Country,Locality,refGenome,refSpecies
PRJNA616371,SAMN14488541,Sylvia_atricapilla,male,9380,Europe,Poland,Bialowieza,GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488539,Sylvia_atricapilla,male,9357,Europe,Poland,Bialowieza,GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488538,Sylvia_atricapilla,male,8201,Europe,Austria,Kefermarkt,GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488537,Sylvia_atricapilla,male,UCM052,Europe,Belgium,Meaurain,GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488536,Sylvia_atricapilla,male,UCM063,Europe,Belgium,Angre,GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488535,Sylvia_atricapilla,male,UCM061,Europe,Belgium,Tete Noire (Foret de Mormal),GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488534,Sylvia_atricapilla,male,UCM060,Europe,Belgium,Foret de Mormal,GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488533,Sylvia_atricapilla,male,UCM059,Europe,Belgium,Foret de Mormal,GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488532,Sylvia_atricapilla,male,UCM057,Europe,Belgium,Foret de Mormal,GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488531,Sylvia_atricapilla,male,UCM056,Europe,Belgium,Foret de Mormal,GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488459,Sylvia_atricapilla,male,N968352,Africa,Canary Islands / La Palma,La Caldereta,GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488530,Sylvia_atricapilla,male,UCM053,Europe,Belgium,St. Waast,GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488529,Sylvia_atricapilla,male,UCM051,Europe,Belgium,Meaurain,GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488528,Sylvia_atricapilla,male,UCM018,Europe,Germany,"Radolfzell, Baden-WÌ_rttemberg",GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488527,Sylvia_atricapilla,male,UCM017,Europe,Germany,"Radolfzell, Baden-WÌ_rttemberg",GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488526,Sylvia_atricapilla,male,UCM016,Europe,Germany,"Radolfzell, Baden-WÌ_rttemberg",GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488525,Sylvia_atricapilla,male,UCM014,Europe,Germany,"Radolfzell, Baden-WÌ_rttemberg",GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488524,Sylvia_atricapilla,male,UCM012,Europe,Germany,"Radolfzell, Baden-WÌ_rttemberg",GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488523,Sylvia_atricapilla,male,9123,Europe,Germany,Freiburg; Mooswald,GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488522,Sylvia_atricapilla,male,9179,Europe,Germany,Freiburg; Mooswald,GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488458,Sylvia_atricapilla,male,N968342,Africa,Canary Islands / La Palma,San JosÌ©,GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488520,Sylvia_atricapilla,male,9167,Europe,Germany,Freiburg; Mooswald,GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488519,Sylvia_atricapilla,male,9073,Europe,Germany,Freiburg; Mooswald,GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488518,Sylvia_atricapilla,male,9138,Europe,Germany,Freiburg; Mooswald,GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488517,Sylvia_atricapilla,male,9176,Europe,Germany,Freiburg; Mooswald,GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488516,Sylvia_atricapilla,male,9130,Europe,Germany,Freiburg; Mooswald,GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488515,Sylvia_atricapilla,male,9106,Europe,Germany,Freiburg; Mooswald,GCA_009819655.1,Sylvia_atricapilla
PRJNA616371,SAMN14488514,Sylvia_atricapilla,male,9194,Europe,Germany,Freiburg; Mooswald,GCA_009819655.1,Sylvia_atricapilla
