BioProject,BioSample,Organism,sex,Submitter_Id,Continent,Country,Locality,refGenome,refSpecies
PRJDB2321,SAMD00010024,Pungitius_pungitius,missing,DRS012041,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469364,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_2,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469374,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_19,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469358,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_25,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469357,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_24,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469356,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_23,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469376,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_22,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469359,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_26,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469373,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_18,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469354,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_17,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469371,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_10,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469363,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_1,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469349,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_12,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469372,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_11,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469351,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_14,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469350,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_13,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469352,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_15,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469353,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_16,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469369,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_8,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469370,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_9,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469365,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_3,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469362,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_30,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469361,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_28,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469377,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_29,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469367,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_6,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469368,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_7,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469366,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_4,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469348,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_5,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469375,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_20,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469355,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_21,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469360,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_27,Asia,Japan,Biwase_tide_pool,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469396,Pungitius_sinensis,male,2017_Yuza_Psin_18,Asia,Japan,Yuza_Hatsume_River,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469395,Pungitius_sinensis,male,2016_Yuza_Psin_17,Asia,Japan,Yuza_Hatsume_River,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469380,Pungitius_sinensis,female,2016_Yuza_Psin_10,Asia,Japan,Yuza_Hatsume_River,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469387,Pungitius_sinensis,male,2016_Yuza_Psin_1,Asia,Japan,Yuza_Hatsume_River,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469382,Pungitius_sinensis,female,2016_Yuza_Psin_12,Asia,Japan,Yuza_Hatsume_River,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469381,Pungitius_sinensis,female,2016_Yuza_Psin_11,Asia,Japan,Yuza_Hatsume_River,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469384,Pungitius_sinensis,female,2016_Yuza_Psin_14,Asia,Japan,Yuza_Hatsume_River,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469383,Pungitius_sinensis,female,2016_Yuza_Psin_13,Asia,Japan,Yuza_Hatsume_River,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469394,Pungitius_sinensis,male,2016_Yuza_Psin_16,Asia,Japan,Yuza_Hatsume_River,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469385,Pungitius_sinensis,female,2016_Yuza_Psin_15,Asia,Japan,Yuza_Hatsume_River,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469393,Pungitius_sinensis,male,2016_Yuza_Psin_9,Asia,Japan,Yuza_Hatsume_River,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469392,Pungitius_sinensis,male,2016_Yuza_Psin_8,Asia,Japan,Yuza_Hatsume_River,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469390,Pungitius_sinensis,male,2016_Yuza_Psin_6,Asia,Japan,Yuza_Hatsume_River,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469391,Pungitius_sinensis,male,2016_Yuza_Psin_7,Asia,Japan,Yuza_Hatsume_River,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469386,Pungitius_sinensis,female,2017_Yuza_Psin_19,Asia,Japan,Yuza_Hatsume_River,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469388,Pungitius_sinensis,male,2016_Yuza_Psin_2,Asia,Japan,Yuza_Hatsume_River,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469397,Pungitius_sinensis,male,2017_Yuza_Psin_20,Asia,Japan,Yuza_Hatsume_River,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469398,Pungitius_sinensis,male,2017_Yuza_Psin_21,Asia,Japan,Yuza_Hatsume_River,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469399,Pungitius_sinensis,male,2017_Yuza_Psin_22,Asia,Japan,Yuza_Hatsume_River,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469378,Pungitius_sinensis,female,2016_Yuza_Psin_3,Asia,Japan,Yuza_Hatsume_River,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469379,Pungitius_sinensis,female,2016_Yuza_Psin_4,Asia,Japan,Yuza_Hatsume_River,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469389,Pungitius_sinensis,male,2016_Yuza_Psin_5,Asia,Japan,Yuza_Hatsume_River,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469404,Pungitius_tymensis,female,P.tym_Mon_9,Asia,Japan,Monshizu_pond,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469424,Pungitius_tymensis,male,P.tym_Mon_24,Asia,Japan,Monshizu_pond,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469413,Pungitius_tymensis,male,P.tym_Mon_3,Asia,Japan,Monshizu_pond,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469425,Pungitius_tymensis,male,P.tym_Mon_25,Asia,Japan,Monshizu_pond,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469401,Pungitius_tymensis,female,P.tym_Mon_5,Asia,Japan,Monshizu_pond,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469414,Pungitius_tymensis,male,P.tym_Mon_8,Asia,Japan,Monshizu_pond,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469409,Pungitius_tymensis,female,P.tym_Mon_22,Asia,Japan,Monshizu_pond,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469402,Pungitius_tymensis,female,P.tym_Mon_6,Asia,Japan,Monshizu_pond,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469418,Pungitius_tymensis,male,P.tym_Mon_14,Asia,Japan,Monshizu_pond,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469417,Pungitius_tymensis,male,P.tym_Mon_13,Asia,Japan,Monshizu_pond,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469415,Pungitius_tymensis,male,P.tym_Mon_10,Asia,Japan,Monshizu_pond,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469411,Pungitius_tymensis,male,P.tym_Mon_1,Asia,Japan,Monshizu_pond,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469403,Pungitius_tymensis,female,P.tym_Mon_7,Asia,Japan,Monshizu_pond,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469406,Pungitius_tymensis,female,P.tym_Mon_15,Asia,Japan,Monshizu_pond,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469419,Pungitius_tymensis,male,P.tym_Mon_16,Asia,Japan,Monshizu_pond,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469416,Pungitius_tymensis,male,P.tym_Mon_12,Asia,Japan,Monshizu_pond,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469423,Pungitius_tymensis,male,P.tym_Mon_23,Asia,Japan,Monshizu_pond,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469405,Pungitius_tymensis,female,P.tym_Mon_11,Asia,Japan,Monshizu_pond,GCF_902500615.1,Pungitius_pungitius
PRJNA477377,SAMN09469421,Pungitius_tymensis,male,P.tym_Mon_20,Asia,Japan,Monshizu_pond,GCF_902500615.1,Pungitius_pungitius
