Organism,BioProject,BioSample,sex,Submitter_Id,Locality,refGenome,refSpecies
Clupea_harengus,PRJNA338612,SAMN05589090,missing,BoBA,Bonavista Bay,GCF_900700415.1,Clupea_harengus
Clupea_harengus,PRJNA338612,SAMN05589089,missing,NS3,North Sea,GCF_900700415.1,Clupea_harengus
Clupea_harengus,PRJNA338612,SAMN05589088,missing,NS2,North Sea,GCF_900700415.1,Clupea_harengus
Clupea_harengus,PRJNA338612,SAMN05589085,missing,BAH2,Bothnian Sea (Gävle),GCF_900700415.1,Clupea_harengus
Clupea_harengus,PRJNA338612,SAMN05589084,missing,BAH1,Bothnian Sea (Gävle),GCF_900700415.1,Clupea_harengus
Clupea_harengus,PRJNA338612,SAMN05589083,missing,BF3,Southern Baltic Sea (Fehmarn),GCF_900700415.1,Clupea_harengus
Clupea_harengus,PRJNA338612,SAMN05589082,missing,BF2,Southern Baltic Sea (Fehmarn),GCF_900700415.1,Clupea_harengus
Clupea_harengus,PRJNA338612,SAMN05589081,missing,BF1,Southern Baltic Sea (Fehmarn),GCF_900700415.1,Clupea_harengus
Clupea_harengus,PRJNA338612,SAMN05589091,missing,BoBB,Bonavista Bay,GCF_900700415.1,Clupea_harengus
Clupea_harengus,PRJNA338612,SAMN05589087,missing,NS1,North Sea,GCF_900700415.1,Clupea_harengus
Clupea_harengus,PRJNA338612,SAMN05589092,missing,FBA,Fortune Bay,GCF_900700415.1,Clupea_harengus
Clupea_harengus,PRJNA338612,SAMN05589086,missing,BAH3,Bothnian Sea (Gävle),GCF_900700415.1,Clupea_harengus
Clupea_harengus,PRJNA338612,SAMN05589095,missing,GeBB,German Banks,GCF_900700415.1,Clupea_harengus
Clupea_harengus,PRJNA338612,SAMN05589097,missing,InBB,Inner Baie Des Chaleurs,GCF_900700415.1,Clupea_harengus
Clupea_harengus,PRJNA356817,SAMN06127787,male,ABPM,Sweden:Hästskär,GCF_900700415.1,Clupea_harengus
Clupea_harengus,PRJNA356817,SAMN06127779,male,AAPM,Norway:Bergen,GCF_900700415.1,Clupea_harengus
Clupea_harengus,PRJNA356817,SAMN06127780,female,AAPF,Norway:Bergen,GCF_900700415.1,Clupea_harengus
Clupea_harengus,PRJNA356817,SAMN06127788,female,ABPF,Sweden:Hästskär,GCF_900700415.1,Clupea_harengus
Clupea_pallasii,PRJNA642736,SAMN15398036,unknown,Pacific30_Vancouver_Pacific_rg1,Canada:Vancouver,GCF_900700415.1,Clupea_harengus
