BioProject,BioSample,Organism,sex,Submitter_ID,Locality,Country,Continent,refGenome,refSpecies
PRJNA522329,SAMN10928580,Takifugu_obscurus,unknown,OO17,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928581,Takifugu_obscurus,unknown,OO18,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928579,Takifugu_obscurus,unknown,OO16,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928578,Takifugu_obscurus,unknown,OO15,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928573,Takifugu_obscurus,unknown,OO08,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928572,Takifugu_obscurus,unknown,OO07,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928571,Takifugu_obscurus,unknown,OO06,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928577,Takifugu_obscurus,unknown,OO14,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928576,Takifugu_obscurus,unknown,OO12,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928575,Takifugu_obscurus,unknown,OO10,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928574,Takifugu_obscurus,unknown,OO09,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928590,Takifugu_obscurus,unknown,OO27,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928628,Takifugu_rubripes,unknown,R31,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928622,Takifugu_rubripes,unknown,R24,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928623,Takifugu_rubripes,unknown,R25,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928620,Takifugu_rubripes,unknown,R22,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928621,Takifugu_rubripes,unknown,R23,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928627,Takifugu_rubripes,unknown,R29,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928625,Takifugu_rubripes,unknown,R27,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928617,Takifugu_rubripes,unknown,R19,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928616,Takifugu_rubripes,unknown,R18,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928615,Takifugu_rubripes,unknown,R17,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928613,Takifugu_rubripes,unknown,R15,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928612,Takifugu_rubripes,unknown,R14,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928611,Takifugu_rubripes,unknown,R13,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928610,Takifugu_rubripes,unknown,R12,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928619,Takifugu_rubripes,unknown,R21,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928618,Takifugu_rubripes,unknown,R20,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928601,Takifugu_rubripes,unknown,R01,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
