BioProject,BioSample,Organism,sex,Submitter_Id,Location,State,Country,refGenome,refSpecies
PRJNA612146,SAMN14363200,Hippocampus_fuscus,missing,Hfc_47,Durban,NA,South Africa,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363197,Hippocampus_fuscus,missing,Hfc_38,Durban,NA,South Africa,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363195,Hippocampus_fuscus,missing,Hfc_35,Durban,NA,South Africa,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363193,Hippocampus_fuscus,missing,Hfc_15,Durban,NA,South Africa,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363191,Hippocampus_fuscus,missing,Hfc_3,Durban,NA,South Africa,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363207,Hippocampus_fuscus,missing,Hfc_S4,Durban,NA,South Africa,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363212,Hippocampus_hippocampus,missing,Hhc_4,Las Palmas,NA,Spain,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363210,Hippocampus_hippocampus,missing,Hhc_2,Las Palmas,NA,Spain,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363223,Hippocampus_hippocampus,missing,Hhc_19,Tunis,NA,Tunisia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363222,Hippocampus_hippocampus,missing,Hhc_18,Tunis,NA,Tunisia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363217,Hippocampus_hippocampus,missing,Hhc_11,Tunis,NA,Tunisia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363215,Hippocampus_hippocampus,missing,Hhc_7,Las Palmas,NA,Spain,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363214,Hippocampus_hippocampus,missing,Hhc_6,Las Palmas,NA,Spain,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363211,Hippocampus_hippocampus,missing,Hhc_3,Las Palmas,NA,Spain,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363221,Hippocampus_hippocampus,missing,Hhc_16,Tunis,NA,Tunisia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363219,Hippocampus_hippocampus,missing,Hhc_13,Tunis,NA,Tunisia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363216,Hippocampus_hippocampus,missing,Hhc_8,Las Palmas,NA,Spain,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363213,Hippocampus_hippocampus,missing,Hhc_5,Las Palmas,NA,Spain,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363220,Hippocampus_hippocampus,missing,Hhc_15,Tunis,NA,Tunisia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363224,Hippocampus_hippocampus,missing,Hhc_20,Tunis,NA,Tunisia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363209,Hippocampus_hippocampus,missing,Hhc_1,Las Palmas,NA,Spain,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363218,Hippocampus_hippocampus,missing,Hhc_12,Tunis,NA,Tunisia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363244,Hippocampus_histrix,missing,Hht_20,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363242,Hippocampus_histrix,missing,Hht_18,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363240,Hippocampus_histrix,missing,Hht_16,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363237,Hippocampus_histrix,missing,Hht_13,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363235,Hippocampus_histrix,missing,Hht_11,Nha Trang,NA,Vietnum,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363233,Hippocampus_histrix,missing,Hht_9,Nha Trang,NA,Vietnum,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363232,Hippocampus_histrix,missing,Hht_8,Nha Trang,NA,Vietnum,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363230,Hippocampus_histrix,missing,Hht_6,Nha Trang,NA,Vietnum,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363229,Hippocampus_histrix,missing,Hht_5,Nha Trang,NA,Vietnum,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363228,Hippocampus_histrix,missing,Hht_4,Nha Trang,NA,Vietnum,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363226,Hippocampus_histrix,missing,Hht_2,Nha Trang,NA,Vietnum,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363225,Hippocampus_histrix,missing,Hht_1,Nha Trang,NA,Vietnum,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363246,Hippocampus_histrix,missing,Hht_22,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363245,Hippocampus_histrix,missing,Hht_21,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363243,Hippocampus_histrix,missing,Hht_19,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363241,Hippocampus_histrix,missing,Hht_17,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363239,Hippocampus_histrix,missing,Hht_15,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363236,Hippocampus_histrix,missing,Hht_12,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363234,Hippocampus_histrix,missing,Hht_10,Nha Trang,NA,Vietnum,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363231,Hippocampus_histrix,missing,Hht_7,Nha Trang,NA,Vietnum,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363227,Hippocampus_histrix,missing,Hht_3,Nha Trang,NA,Vietnum,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363238,Hippocampus_histrix,missing,Hht_14,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363266,Hippocampus_ingens,missing,Hig_S2,Lima,NA,Peru,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363264,Hippocampus_ingens,missing,Hig_22,Lima,NA,Peru,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363261,Hippocampus_ingens,missing,Hig_18,Lima,NA,Peru,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363259,Hippocampus_ingens,missing,Hig_16,Lima,NA,Peru,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363258,Hippocampus_ingens,missing,Hig_14,Lima,NA,Peru,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363256,Hippocampus_ingens,missing,Hig_12,Puerto Vallarta, Jalisco,Mexico,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363250,Hippocampus_ingens,missing,Hig_5,Puerto Vallarta, Jalisco,Mexico,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363247,Hippocampus_ingens,missing,Hig_1,Puerto Vallarta, Jalisco,Mexico,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363265,Hippocampus_ingens,missing,Hig_S1,Lima,NA,Peru,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363263,Hippocampus_ingens,missing,Hig_20,Lima,NA,Peru,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363262,Hippocampus_ingens,missing,Hig_19,Lima,NA,Peru,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363260,Hippocampus_ingens,missing,Hig_17,Lima,NA,Peru,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363257,Hippocampus_ingens,missing,Hig_13,Lima,NA,Peru,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363253,Hippocampus_ingens,missing,Hig_8,Puerto Vallarta, Jalisco,Mexico,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363251,Hippocampus_ingens,missing,Hig_6,Puerto Vallarta, Jalisco,Mexico,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363249,Hippocampus_ingens,missing,Hig_4,Puerto Vallarta, Jalisco,Mexico,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363248,Hippocampus_ingens,missing,Hig_3,Puerto Vallarta, Jalisco,Mexico,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363255,Hippocampus_ingens,missing,Hig_11,Puerto Vallarta, Jalisco,Mexico,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363254,Hippocampus_ingens,missing,Hig_9,Puerto Vallarta, Jalisco,Mexico,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363252,Hippocampus_ingens,missing,Hig_7,Puerto Vallarta, Jalisco,Mexico,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363278,Hippocampus_jayakari,missing,Hjk_S23,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363276,Hippocampus_jayakari,missing,Hjk_S21,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363274,Hippocampus_jayakari,missing,Hjk_S19,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363271,Hippocampus_jayakari,missing,Hjk_S15,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363268,Hippocampus_jayakari,missing,Hjk_S11,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363277,Hippocampus_jayakari,missing,Hjk_S22,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363275,Hippocampus_jayakari,missing,Hjk_S20,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363273,Hippocampus_jayakari,missing,Hjk_S18,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363270,Hippocampus_jayakari,missing,Hjk_S13,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363269,Hippocampus_jayakari,missing,Hjk_S12,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363267,Hippocampus_jayakari,missing,Hjk_S10,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363286,Hippocampus_jayakari,missing,Hjk_S7,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363285,Hippocampus_jayakari,missing,Hjk_S4,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363284,Hippocampus_jayakari,missing,Hjk_S36,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363283,Hippocampus_jayakari,missing,Hjk_S32,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363282,Hippocampus_jayakari,missing,Hjk_S31,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363281,Hippocampus_jayakari,missing,Hjk_S3,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1,Hippocampus_comes
