BioProject,BioSample,Organism,sex,Country,Continent,Submitter_Id,Population,Sample,Locality,Organism.x,Organism.y,refGenome,refSpecies
PRJEB7359,SAMEA2785398,Ficedula_albicollis,female,Sweden,Europe,OC_HB10,OC,HB10,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA2785558,Ficedula_albicollis,male,Italy,Europe,I_D5-2,I,D5-2,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA2785559,Ficedula_albicollis,male,Italy,Europe,I_D6-2,I,D6-2,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA2785560,Ficedula_albicollis,male,Italy,Europe,I_DA-3,I,DA-3,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA2785561,Ficedula_albicollis,male,Italy,Europe,I_DB-1,I,DB-1,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA2785562,Ficedula_albicollis,male,Italy,Europe,I_E30-3,I,E30-3,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA2785563,Ficedula_albicollis,female,Italy,Europe,I_F1-1,I,F1-1,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA2785564,Ficedula_albicollis,female,Italy,Europe,I_F16-2,I,F16-2,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA2785565,Ficedula_albicollis,female,Italy,Europe,I_F9-1,I,F9-1,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA2785567,Ficedula_albicollis,female,Italy,Europe,I_GX,I,GX,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA2785568,Ficedula_albicollis,female,Italy,Europe,I_GY-2,I,GY-2,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA2785569,Ficedula_albicollis,female,Italy,Europe,I_LA,I,LA,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA2785570,Ficedula_albicollis,male,Italy,Europe,I_LC-2,I,LC-2,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA2785571,Ficedula_albicollis,male,Italy,Europe,I_LX-2,I,LX-2,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA2785572,Ficedula_albicollis,female,Italy,Europe,I_LY-1,I,LY-1,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA2785574,Ficedula_albicollis,male,Italy,Europe,I_S1,I,S1,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA2785575,Ficedula_albicollis,female,Italy,Europe,I_S2,I,S2,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA2785576,Ficedula_albicollis,female,Italy,Europe,I_S3,I,S3,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA2785577,Ficedula_albicollis,female,Italy,Europe,I_S4-19,I,S4-19,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166387,Ficedula_albicollis,male,Hungary,Europe,H_117,H,117,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166388,Ficedula_albicollis,female,Hungary,Europe,H_118,H,118,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166389,Ficedula_albicollis,female,Hungary,Europe,H_126,H,126,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166397,Ficedula_albicollis,male,Hungary,Europe,H_12,H,12,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166390,Ficedula_albicollis,female,Hungary,Europe,H_31,H,31,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166391,Ficedula_albicollis,female,Hungary,Europe,H_354,H,354,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166392,Ficedula_albicollis,male,Hungary,Europe,H_367,H,367,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166393,Ficedula_albicollis,female,Hungary,Europe,H_377,H,377,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166394,Ficedula_albicollis,male,Hungary,Europe,H_379,H,379,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166395,Ficedula_albicollis,female,Hungary,Europe,H_392,H,392,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166398,Ficedula_albicollis,female,Hungary,Europe,H_43,H,43,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166396,Ficedula_albicollis,male,Hungary,Europe,H_452,H,452,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166399,Ficedula_albicollis,male,Hungary,Europe,H_454,H,454,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166400,Ficedula_albicollis,female,Hungary,Europe,H_473,H,473,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166401,Ficedula_albicollis,female,Hungary,Europe,H_52,H,52,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
