Organism	BioProject.popgen	bioproject.orig	fastq2vcf	ref_genome	publication
Cyprinodon variegatus	PRJNA690558	PRJNA89149	y	Fheteroclitus	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-017-3810-7
Cyprinus carpio	PRJNA202478	PRJNA510861	y	Ccarpio	NA
Cyprinus carpio	PRJNA510861	PRJNA510861	y	Ccarpio	NA
Cyprinus carpio	PRJNA684676	PRJNA510861	y	Ccarpio	NA
Cyprinus carpio	PRJNA684797	PRJNA510861	y	Ccarpio	NA
Dicentrarchus labrax	PRJEB40423	NA	NA	NA	NA
Dicentrarchus labrax	PRJNA472842	NA	NA	NA	NA
Dicentrarchus labrax	PRJNA628166	NA	NA	NA	NA
Eopsaltria australis	PRJNA476023	NA	NA	NA	NA
Etheostoma cragini	PRJNA611833	NA	NA	NA	NA
Falco peregrinus	PRJNA686418	NA	NA	NA	NA
Ficedula albicollis	PRJEB11502	PRJEB7359	y	Falbicollis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4617962/
Ficedula albicollis	PRJEB12616	PRJEB7359	y	Falbicollis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4617962/
Ficedula albicollis	PRJEB7359	PRJEB7359	y	Falbicollis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4617962/
Fundulus heteroclitus	PRJNA323589	PRJNA323589	y	Fheteroclitus	http://science.sciencemag.org/content/354/6317/1305.full
Gadus morhua	PRJEB12803	NA	NA	NA	NA
Gadus morhua	PRJEB15516	NA	NA	NA	NA
Gadus morhua	PRJEB20524	NA	NA	NA	NA
Gadus morhua	PRJEB29231	NA	NA	NA	NA
Gadus morhua	PRJNA301002	NA	NA	NA	NA
Gasterosteus aculeatus	PRJDB7611	PRJEB15181	y	Gaculeatus	https://www.ncbi.nlm.nih.gov/pubmed/27569902
Gasterosteus aculeatus	PRJEB15181	PRJEB15181	y	Gaculeatus	https://www.ncbi.nlm.nih.gov/pubmed/27569902
Gasterosteus aculeatus	PRJEB37366	PRJEB15181	y	Gaculeatus	https://www.ncbi.nlm.nih.gov/pubmed/27569902
Gasterosteus aculeatus	PRJEB5198	PRJEB15181	y	Gaculeatus	https://www.ncbi.nlm.nih.gov/pubmed/27569902
Gasterosteus aculeatus	PRJNA247503	PRJEB15181	y	Gaculeatus	https://www.ncbi.nlm.nih.gov/pubmed/27569902
Gasterosteus aculeatus	PRJNA374462	PRJEB15181	y	Gaculeatus	https://www.ncbi.nlm.nih.gov/pubmed/27569902
Gasterosteus aculeatus	PRJNA437980	PRJEB15181	y	Gaculeatus	https://www.ncbi.nlm.nih.gov/pubmed/27569902
Gasterosteus aculeatus	PRJNA485717	PRJEB15181	y	Gaculeatus	https://www.ncbi.nlm.nih.gov/pubmed/27569902
Gasterosteus aculeatus	PRJNA530695	PRJEB15181	y	Gaculeatus	https://www.ncbi.nlm.nih.gov/pubmed/27569902
Gasterosteus aculeatus	PRJNA681039	PRJEB15181	y	Gaculeatus	https://www.ncbi.nlm.nih.gov/pubmed/27569902
Gasterosteus aculeatus	PRJNA693136	PRJEB15181	y	Gaculeatus	https://www.ncbi.nlm.nih.gov/pubmed/27569902
Gasterosteus nipponicus	PRJNA437980	NA	NA	NA	NA
Haplochromis burtoni	PRJNA485198	PRJNA60363	n	Oniloticus	https://www.ncbi.nlm.nih.gov/pubmed/25186727
Hippocampus comes	PRJNA612146	NA	NA	NA	NA
Hippocampus kuda	PRJNA612146	NA	NA	NA	NA
Hypoplectrus puella	PRJEB27858	NA	NA	NA	NA
Kryptolebias marmoratus	PRJNA385014	NA	NA	NA	NA
Larimichthys crocea	PRJNA553026	NA	NA	NA	NA
Larimichthys crocea	PRJNA629649	NA	NA	NA	NA
Larimichthys crocea	NA	NA	NA	NA	NA
Lateolabrax maculatus	PRJNA701455	NA	NA	NA	NA
Lates calcarifer	PRJNA311498	NA	NA	NA	NA
Mastacembelus armatus	PRJNA608290	NA	NA	NA	NA
Maylandia zebra	PRJEB15289	NA	NA	NA	NA
Maylandia zebra	PRJEB21343	NA	NA	NA	NA
Neolamprologus toae	PRJEB25984	NA	NA	NA	NA
Nibea albiflora	PRJNA431723	NA	NA	NA	NA
Nipponia nippon	PRJNA481495	PRJNA308878	y	Egarzetta	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0557-1
Nipponia nippon	PRJNA481495	PRJNA308878	y	Nnippon	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0557-1
Nipponia nippon	PRJNA508426	PRJNA308878	y	Egarzetta	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0557-1
