Sample	Total_Reads	Percent_mapped	Num_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	NumReadsPassingFilters
SAMEA2785380 	 232840371 	 99.14 	 11518526 	 82.11 	 0.9220009705847629 	 231505102
SAMEA2785381 	 256116203 	 98.70 	 50944807 	 90.88 	 0.8957824219352304 	 254460792
SAMEA2785382 	 245414485 	 98.73 	 14497327 	 81.39 	 0.921227680932461 	 243339952
SAMEA2785383 	 215706113 	 99.04 	 11909125 	 83.06 	 0.9192709742491154 	 214495642
SAMEA2785384 	 195577311 	 99.08 	 16562404 	 85.76 	 0.9142257439446171 	 194303716
SAMEA2785385 	 141227823 	 99.04 	 16654858 	 95.62 	 0.9490843904857716 	 140159940
SAMEA2785386 	 187856515 	 98.89 	 5186463 	 93.52 	 0.9460188853769308 	 187109734
SAMEA2785387 	 112565005 	 99.03 	 3113650 	 82.84 	 0.9473100610622677 	 111942262
SAMEA2785388 	 358732770 	 98.74 	 81460403 	 95.82 	 0.9561786284176498 	 356645080
SAMEA2785389 	 221618414 	 99.03 	 27810584 	 91.72 	 0.8779360146921698 	 220150250
SAMEA2785390 	 280319309 	 99.00 	 22551067 	 93.45 	 0.8986199542383076 	 278766108
SAMEA2785391 	 235601008 	 98.98 	 28122905 	 89.32 	 0.8733473687303117 	 233529862
SAMEA2785392 	 175036866 	 99.05 	 28798474 	 91.52 	 0.8538075093792924 	 173478010
SAMEA2785393 	 224782498 	 98.92 	 7340065 	 87.38 	 0.9424642170091289 	 223502458
SAMEA2785394 	 131390907 	 98.59 	 3984033 	 82.63 	 0.9498262293673604 	 130815034
SAMEA2785395 	 157984449 	 98.74 	 7953026 	 94.43 	 0.9480461470523774 	 157090454
SAMEA2785396 	 76597404 	 99.00 	 1469298 	 91.86 	 0.8815899010055536 	 76427802
SAMEA2785398 	 260558755 	 99.00 	 14716281 	 81.08 	 0.942802308826621 	 259422164
SAMEA2785558 	 141566794 	 99.15 	 2314539 	 89.94 	 0.8916727785627082 	 141166904
SAMEA2785559 	 142467276 	 99.21 	 4568673 	 90.16 	 0.8287012158425529 	 141967540
SAMEA2785560 	 82582306 	 99.12 	 1272162 	 95.86 	 0.8070893386079709 	 82306020
SAMEA2785561 	 96763095 	 99.11 	 1796910 	 89.22 	 0.7970670412632727 	 96401302
SAMEA2785562 	 238687741 	 98.96 	 8143442 	 86.74 	 0.9351103800567268 	 237687688
SAMEA2785563 	 238203789 	 98.81 	 5741900 	 84.20 	 0.8962810756017018 	 237278790
SAMEA2785564 	 177873128 	 98.80 	 4127603 	 86.29 	 0.9635341710789475 	 177192456
SAMEA2785565 	 166471268 	 98.72 	 4462583 	 84.10 	 0.955528594390721 	 165745388
SAMEA2785567 	 256924897 	 99.01 	 10357553 	 82.61 	 0.9258459769017447 	 256027534
SAMEA2785568 	 123234877 	 98.61 	 3695922 	 82.24 	 0.9617936294436956 	 122734864
SAMEA2785569 	 176845020 	 98.97 	 5100762 	 81.32 	 0.9251167635589267 	 176202196
SAMEA2785570 	 201247884 	 99.07 	 3235571 	 92.26 	 0.9519303020322116 	 200183586
SAMEA2785571 	 215834327 	 98.92 	 5004104 	 91.78 	 0.9612089337361484 	 214663252
SAMEA2785572 	 132454652 	 98.78 	 3347824 	 80.89 	 0.9134919198777672 	 131929640
SAMEA2785574 	 126697199 	 98.70 	 2703522 	 83.06 	 0.9662638155356176 	 126280504
SAMEA2785575 	 127465376 	 98.86 	 3709510 	 91.61 	 0.9662736771789283 	 127119612
SAMEA2785576 	 141255188 	 98.82 	 3569221 	 83.12 	 0.942345089655856 	 140706634
SAMEA2785577 	 176087952 	 98.84 	 6507634 	 88.89 	 0.958196180568913 	 175352538
SAMEA3166387 	 139420019 	 99.30 	 6150175 	 96.58 	 0.9062329429214516 	 138820572
SAMEA3166388 	 163330872 	 98.90 	 5320598 	 82.73 	 0.9405460578478632 	 162582310
SAMEA3166389 	 154224916 	 98.77 	 3137592 	 83.77 	 0.9469683006325981 	 153607836
SAMEA3166397 	 134118613 	 99.14 	 1682119 	 87.68 	 0.9268731192687947 	 133650082
SAMEA3166390 	 138295743 	 98.85 	 2519035 	 82.95 	 0.9538847420769757 	 137834840
SAMEA3166391 	 278022232 	 98.84 	 11306050 	 81.25 	 0.9445180375700161 	 276896268
SAMEA3166392 	 147249287 	 99.19 	 4036607 	 92.67 	 0.8873068333795051 	 146930812
SAMEA3166393 	 138933131 	 98.96 	 2666817 	 86.29 	 0.9452624509866454 	 138419110
SAMEA3166394 	 140306254 	 99.25 	 6899190 	 91.90 	 0.879283497967737 	 140029838
SAMEA3166395 	 285790194 	 99.04 	 10602152 	 84.91 	 0.9468129853370972 	 284673032
SAMEA3166398 	 157360297 	 98.81 	 2571793 	 83.02 	 0.9532957691325008 	 156834300
SAMEA3166396 	 161924320 	 99.41 	 27193210 	 97.18 	 0.906143444363284 	 161314552
SAMEA3166399 	 178357912 	 99.16 	 5236241 	 94.01 	 0.9487643992578909 	 177631686
SAMEA3166400 	 123290936 	 98.54 	 1859903 	 88.53 	 0.9584443103070663 	 122847388
SAMEA3166401 	 131670455 	 98.72 	 1578407 	 82.08 	 0.9324875898296837 	 131141196
SAMEA3166402 	 110791199 	 99.18 	 3438414 	 80.90 	 0.9390215496989108 	 110243716
SAMEA3166403 	 157990011 	 99.27 	 8501456 	 93.79 	 0.9455663363577256 	 157684210
SAMEA3166404 	 144405379 	 99.09 	 15741579 	 95.90 	 0.9569092443210571 	 143685098
SAMEA3166405 	 134226813 	 99.19 	 4140374 	 95.92 	 0.9450410990677046 	 133642420
SAMEA3166406 	 203876781 	 99.36 	 24400673 	 97.17 	 0.916355820124991 	 202958048
SAMEA3166413 	 198279365 	 99.13 	 7535154 	 95.30 	 0.9351019410121543 	 197024408
SAMEA3166414 	 193841684 	 99.12 	 3369942 	 91.52 	 0.9194171079170609 	 192394326
SAMEA3166417 	 157089163 	 98.95 	 2441407 	 85.94 	 0.9470589901709078 	 156455490
SAMEA3166418 	 200350056 	 98.76 	 10928983 	 86.96 	 0.933802712984944 	 199263384
SAMEA3166419 	 128558233 	 98.69 	 6465171 	 88.95 	 0.9178403030299294 	 128043462
SAMEA3166420 	 98752566 	 99.09 	 29636848 	 97.05 	 0.9655751333810654 	 98213438
SAMEA3166421 	 134445159 	 99.27 	 1707399 	 94.83 	 0.9235335737798307 	 133286266
SAMEA3166422 	 114991161 	 99.03 	 1196836 	 86.82 	 0.5573143510944036 	 114613220
SAMEA3166423 	 140381432 	 98.97 	 6097084 	 89.94 	 0.8965017921658657 	 139657250
SAMEA3166425 	 188798727 	 99.20 	 6945388 	 94.64 	 0.8655991298222389 	 188328626
SAMEA3166426 	 194465920 	 98.62 	 9900545 	 88.19 	 0.9427051014925348 	 193532180
SAMEA3166427 	 184363266 	 99.11 	 4394647 	 90.97 	 0.9177672375729455 	 183699646
SAMEA3166428 	 123292315 	 98.90 	 17590837 	 94.98 	 0.9152217395473998 	 122478786
SAMEA3166429 	 181889680 	 98.75 	 5624033 	 83.78 	 0.912491024044505 	 181248698
SAMEA3166430 	 124204671 	 99.30 	 2065540 	 93.88 	 0.897672863623177 	 123845828
SAMEA3166431 	 186905510 	 99.11 	 1914408 	 90.63 	 0.8544467691612491 	 186242672
SAMEA3166432 	 138088908 	 97.62 	 3832249 	 89.13 	 0.9083525689533931 	 137374748
SAMEA2785397 	 120536141 	 98.77 	 3996946 	 89.47 	 0.8755714426562874 	 120154170
SAMEA3166415 	 205888808 	 98.61 	 12061195 	 88.13 	 0.9452568756051392 	 204786554
SAMEA2785566 	 163800680 	 98.76 	 3998235 	 92.71 	 0.9514819095325946 	 163165096
SAMEA3166416 	 226768484 	 99.17 	 9585802 	 94.02 	 0.9531148091125659 	 226155080
SAMEA2785573 	 176973272 	 98.86 	 2451688 	 90.58 	 0.9444948039483103 	 176395374
SAMEA3166424 	 121885593 	 99.09 	 1216540 	 93.87 	 0.559758442420115 	 120997648
SAMEA3868732 	 501074979 	 98.88 	 45082034 	 93.23 	 0.951780931442629 	 499282774
SAMEA3868733 	 486145533 	 98.68 	 38732123 	 92.96 	 0.949934033060505 	 484540674
SAMEA3868735 	 486816887 	 98.91 	 40773361 	 93.85 	 0.9547619368728053 	 485360166
SAMEA3868736 	 485127613 	 98.61 	 53393155 	 93.44 	 0.9456224515149929 	 483655242
SAMEA3638001 	 145117465 	 98.91 	 3040330 	 90.14 	 0.9542406719225079 	 144368724
SAMEA3638017 	 216735784 	 99.07 	 2938836 	 89.34 	 0.9572170392657599 	 215709616
SAMEA3637999 	 238595772 	 99.08 	 3030831 	 88.46 	 0.9595589199057011 	 237415728
SAMEA3638002 	 208139637 	 99.08 	 1854811 	 85.10 	 0.9248742878972194 	 207150056
SAMEA3638013 	 184473290 	 99.18 	 1695186 	 88.11 	 0.9371838764005408 	 183511718
SAMEA3638012 	 210558558 	 99.09 	 14011756 	 84.57 	 0.9464256150476549 	 209444918
SAMEA3638019 	 255761974 	 99.09 	 16946797 	 90.06 	 0.9632071572274085 	 254525588
SAMEA3638011 	 287100544 	 99.21 	 112133348 	 92.80 	 0.9454049754390923 	 285730780
SAMEA3638020 	 240440833 	 98.98 	 5081098 	 89.28 	 0.9382075171363926 	 238682002
SAMEA3638000 	 279326560 	 99.13 	 3366039 	 91.66 	 0.9498844153418616 	 278221586
SAMEA3638009 	 292076692 	 99.14 	 17309218 	 91.20 	 0.9458382319634357 	 290842922
SAMEA3638008 	 212854017 	 98.83 	 3497353 	 79.74 	 0.8874484954956823 	 208850922
SAMEA3638005 	 237919538 	 99.15 	 14563596 	 81.38 	 0.941856107765053 	 236803546
SAMEA3637987 	 186785372 	 99.13 	 2052330 	 84.29 	 0.9601572043780053 	 185887610
SAMEA3637998 	 186882445 	 99.10 	 3497497 	 88.73 	 0.9572081954169364 	 185474922
SAMEA3638021 	 197952952 	 99.10 	 2742722 	 89.87 	 0.9619785488109633 	 196993138
SAMEA3637990 	 210147607 	 99.07 	 16377042 	 85.48 	 0.9532263176803791 	 209073416
SAMEA3638016 	 200904847 	 99.09 	 2190530 	 87.24 	 0.9589015801510404 	 200079964
