Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMN05930541 	 11691285 	 98.69 	 0.01074851908921902 	 90.08 	 0.9406265374013135 	 11563566
SAMN05930542 	 197743 	 98.08 	 0.00934546355623208 	 90.47 	 0.9502394296426525 	 195660
SAMN05930543 	 6540394 	 98.68 	 0.007359801259679463 	 90.37 	 0.9526421373553856 	 6468724
SAMN05930544 	 1418579 	 98.62 	 0.009369939918749678 	 90.55 	 0.9564559999454644 	 1403054
SAMN05930545 	 16037527 	 98.7 	 0.011200791743016239 	 90.79 	 0.9624314143110022 	 15866242
SAMN05930546 	 14410131 	 98.68 	 0.009835719050715083 	 90.94 	 0.965804394190841 	 14253546
SAMN05930547 	 7271060 	 98.69 	 0.006380912824264963 	 90.17 	 0.9513039190451462 	 7192202
SAMN05930548 	 14125521 	 98.68 	 0.00930974510603892 	 90.4 	 0.9495386723414783 	 13970534
SAMN05930549 	 3320862 	 98.64 	 0.008901002209667249 	 90.35 	 0.9266983105808021 	 3283066
SAMN05930637 	 76495721 	 95.34 	 0.04879870339414148 	 88.22 	 0.9287619728447651 	 75613670
SAMN05930638 	 62408412 	 96.87 	 0.028083746146272716 	 89.46 	 0.9489673837440351 	 61722896
SAMN05930551 	 11775068 	 98.68 	 0.008635364143969275 	 90.34 	 0.954184878356564 	 11644586
SAMN05930550 	 9686970 	 98.72 	 0.00784497113132383 	 90.38 	 0.9575326573461239 	 9580796
SAMN05930606 	 135380968 	 96.19 	 0.0450883686989149 	 88.74 	 0.9435865340847805 	 133827676
SAMN05930605 	 114432247 	 97.79 	 0.04471653868686158 	 90.28 	 0.9305815618084411 	 113198504
SAMN05930604 	 106311137 	 97.01 	 0.041475062015374736 	 89.91 	 0.9506260834515297 	 105110958
SAMN05930603 	 58048547 	 95.55 	 0.036203765789348696 	 88.06 	 0.9249790422106572 	 57402416
SAMN05930602 	 91883889 	 95.96 	 0.041988742988447084 	 88.17 	 0.9379899986606215 	 90859176
SAMN05930601 	 106680528 	 96.29 	 0.03801258838913883 	 88.6 	 0.9228642934727836 	 105490624
SAMN05930599 	 98709036 	 96.74 	 0.05649322722592489 	 89.95 	 0.8971783075272546 	 97596612
SAMN05930366 	 145952286 	 97.19 	 0.0244802263665812 	 89.53 	 0.9524423148994164 	 144387510
SAMN05930365 	 114046214 	 97.5 	 0.03589007347495113 	 89.72 	 0.9148148708446322 	 112839690
SAMN05930364 	 79489790 	 95.61 	 0.03720806156362974 	 89.78 	 0.957831749571018 	 78608018
SAMN05930363 	 132554254 	 98.1 	 0.02410930546219965 	 89.72 	 0.9375655847644874 	 131144932
SAMN05930370 	 128810189 	 95.23 	 0.029676021979907194 	 88.18 	 0.9592851082460231 	 127432748
SAMN05930369 	 73119801 	 95.44 	 0.043041774689731443 	 89.87 	 0.9613461481686255 	 72353774
SAMN05930368 	 133276326 	 96.44 	 0.026871629099379585 	 89.17 	 0.9549533838251629 	 131802370
SAMN05930367 	 97373921 	 95.91 	 0.02664738128394768 	 88.04 	 0.9425704027141124 	 96343516
SAMN05930639 	 75302076 	 95.73 	 0.03461009494612074 	 87.76 	 0.9436838657364579 	 74477620
SAMN05930640 	 53325402 	 94.52 	 0.03400716979123758 	 87.24 	 0.9364185752420681 	 52740746
SAMN05930641 	 80939173 	 95.58 	 0.03412103061641117 	 87.78 	 0.9395724017471352 	 79989228
SAMN05930362 	 78280623 	 94.97 	 0.03140786194305071 	 88.01 	 0.9420749392404589 	 77455084
SAMN05930361 	 120408136 	 96.94 	 0.04424357171345963 	 90.07 	 0.945622991759437 	 119045112
SAMN05930645 	 53610423 	 94.53 	 0.031148812237500906 	 87.77 	 0.9479777978950717 	 53039026
SAMN05930646 	 42784303 	 98.54 	 0.03190878205962593 	 91.62 	 0.9543008788151909 	 42282356
SAMN05930442 	 8272775 	 98.65 	 0.008434291999963737 	 90.36 	 0.955696567853418 	 8179266
SAMN05930441 	 9578239 	 98.68 	 0.010115533763565516 	 90.52 	 0.9458080905415297 	 9471710
SAMN05930446 	 12637809 	 98.71 	 0.010395472822860356 	 90.74 	 0.9551086747527868 	 12498044
SAMN05930445 	 11531187 	 98.68 	 0.010254278245596053 	 90.21 	 0.9521130617666778 	 11403620
SAMN05930444 	 11053166 	 98.69 	 0.008927577854164138 	 90.45 	 0.9509982788924857 	 10932758
SAMN05930443 	 12211201 	 98.69 	 0.00945836531558198 	 90.45 	 0.9529262082495872 	 12069062
SAMN05930450 	 14364126 	 98.66 	 0.00794973533370565 	 90.27 	 0.9350019971060058 	 14209216
SAMN05930448 	 7250694 	 98.69 	 0.008841636400598343 	 90.62 	 0.9594573041826112 	 7170792
SAMN05930447 	 11251296 	 98.69 	 0.009208450297636823 	 90.65 	 0.9591597666232967 	 11125720
SAMN05930644 	 47629573 	 91.6 	 0.04028377495637007 	 85.37 	 0.9506091643657052 	 47148416
SAMN05930381 	 57843086 	 95.15 	 0.06735800714367142 	 89.7 	 0.9623447118018527 	 57229158
SAMN05930384 	 51379156 	 93.15 	 0.04997816624313564 	 87.02 	 0.9345498934492159 	 50795110
SAMN05930383 	 64924407 	 94.91 	 0.04339032314919719 	 87.93 	 0.8986504730330267 	 64254722
SAMN05930386 	 46406038 	 94.41 	 0.050190537705459795 	 88.42 	 0.9356262701089412 	 45890558
SAMN05930385 	 44282825 	 91.94 	 0.052873162450679245 	 86.22 	 0.920486476392123 	 43829468
SAMN05930388 	 88373428 	 95.13 	 0.03439232887967184 	 88.43 	 0.958089278885459 	 87412358
SAMN05930387 	 136909204 	 96.41 	 0.04846694602066345 	 89.45 	 0.9407116158001325 	 135393844
SAMN05930390 	 36328637 	 95.64 	 0.044369597461088345 	 89.94 	 0.9281300784247648 	 35891670
SAMN05930607 	 88195483 	 97.12 	 0.04910134683428175 	 90.52 	 0.9191591538201375 	 87227086
SAMN05930608 	 76487339 	 95.58 	 0.025310607288874305 	 88.13 	 0.9372553455746506 	 75678696
SAMN05930611 	 85698391 	 95.66 	 0.04555320064293856 	 88.49 	 0.8917750952413179 	 84622424
SAMN05930612 	 81376223 	 96.0 	 0.03154001138637265 	 88.08 	 0.9400329985532194 	 80515932
SAMN05930609 	 93206647 	 95.68 	 0.028983866354510102 	 87.79 	 0.9414534035462307 	 92214378
SAMN05930610 	 123534606 	 96.73 	 0.051626262522746054 	 89.18 	 0.9445089656689915 	 122181370
SAMN05930615 	 121286287 	 97.71 	 0.06747399234012333 	 89.89 	 0.9271009466868837 	 119849460
SAMN05930616 	 78055605 	 96.38 	 0.04104365086914642 	 88.7 	 0.9200468062455727 	 77124230
SAMN05930613 	 131320517 	 96.82 	 0.0454982445736183 	 89.07 	 0.9507001317495519 	 129724286
SAMN05930614 	 106251883 	 96.44 	 0.04138097957285143 	 89.86 	 0.9497077284121475 	 105056724
SAMN05930357 	 85970583 	 97.22 	 0.05430604093960838 	 90.74 	 0.9606114264119149 	 84990046
SAMN05930358 	 138063752 	 96.95 	 0.046789319473224227 	 89.75 	 0.9418130465750847 	 136537670
