Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMEA1904323 	 132362672 	 98.48 	 0.007122159032872954 	 95.57 	 0.32433239728978946 	 43337016
SAMEA1904326 	 149171516 	 98.63 	 0.011548846899162706 	 95.8 	 0.3257800795509135 	 49001348
SAMEA1904327 	 136479223 	 97.93 	 0.00824408269088695 	 95.14 	 0.3243335321066748 	 44690496
SAMEA1904328 	 127093628 	 98.39 	 0.007829172993629547 	 95.34 	 0.324098247951648 	 41587650
SAMEA1920090 	 436349591 	 98.58 	 0.04321755626442194 	 95.06 	 0.10894224040672676 	 47764764
SAMEA1920092 	 456907010 	 98.44 	 0.042422338847460446 	 94.89 	 0.10892528179165614 	 49977176
SAMEA2661381 	 109462834 	 98.86 	 0.0077363427298072695 	 96.28 	 0.9081382539358148 	 108683260
SAMEA2661382 	 115685552 	 98.89 	 0.009860998026789032 	 96.22 	 0.918023759754612 	 114743182
SAMEA2661383 	 133383670 	 98.88 	 0.01053297603822117 	 96.29 	 0.9323208706303406 	 132252078
SAMEA2661384 	 145463570 	 98.81 	 0.010735375187065738 	 96.2 	 0.9291714986080106 	 144289022
SAMEA2661385 	 128292576 	 98.8 	 0.007696127326962396 	 96.19 	 0.9219559878420861 	 127403420
SAMEA2661386 	 144900543 	 97.56 	 0.010215282630100289 	 94.76 	 0.9222638216876281 	 143600096
SAMEA2661387 	 136802566 	 98.69 	 0.008434395886989429 	 95.77 	 0.920617713447003 	 135655410
SAMEA2661389 	 152349623 	 98.99 	 0.009886194467314173 	 96.49 	 0.9167477056189579 	 151200092
SAMEA2661390 	 144321587 	 98.54 	 0.00783115002747302 	 95.97 	 0.9079672244249714 	 143274742
SAMEA2661391 	 159418673 	 98.96 	 0.011450753952769385 	 96.59 	 0.9215290286826818 	 158071146
SAMEA1920091 	 422960854 	 98.55 	 0.04209444404044068 	 94.79 	 0.10952148962461658 	 46545958
SAMEA2661388 	 133675448 	 98.24 	 0.009673002928705352 	 95.21 	 0.921863745454764 	 132489992
SAMEA3388875 	 100137314 	 98.7 	 0.009843183930417786 	 94.89 	 0.975842949076516 	 99457080
SAMEA3388876 	 110488586 	 98.7 	 0.010143518354013508 	 94.82 	 0.970611717263681 	 109781576
SAMEA3388877 	 111857326 	 98.75 	 0.010563241964142787 	 95.03 	 0.9760380964894884 	 111125900
SAMEA2661291 	 110677898 	 98.92 	 0.008181823257973331 	 96.36 	 0.9268731368421272 	 109861600
SAMEA2661293 	 101961346 	 98.89 	 0.007754428820506155 	 96.28 	 0.9188957920055858 	 101215414
SAMEA2661295 	 115903752 	 98.96 	 0.008501260597672455 	 96.51 	 0.9165360659697627 	 115013200
SAMEA1904833 	 49474707 	 97.67 	 0.0891154747010427 	 87.15 	 0.9908419319212296 	 49241600
SAMEA3388878 	 105536919 	 98.68 	 0.010100910753326047 	 95.19 	 0.9711752593580616 	 104868128
