Sample	Total_Reads	Percent_mapped	Num_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	NumReadsPassingFilters
SAMN22420193 	 20909797 	 97.09 	 1583763 	 93.46 	 0.9712773959632884 	 20783790
SAMN22420175 	 18044820 	 95.65 	 1342603 	 92.08 	 0.9755570904146839 	 17938056
SAMN22420192 	 16784427 	 97.10 	 1273487 	 93.30 	 0.9760192980132388 	 16682848
SAMN22420191 	 21024885 	 95.64 	 1587144 	 92.01 	 0.9734732202408141 	 20894820
SAMN22420190 	 13773133 	 97.13 	 902897 	 92.60 	 0.9676294030777896 	 13689088
SAMN22420189 	 18549953 	 97.10 	 1445334 	 93.52 	 0.9739215312938032 	 18434788
SAMN22420188 	 14772247 	 97.08 	 972482 	 92.81 	 0.9661722191838391 	 14676956
SAMN22420187 	 17943399 	 97.13 	 1254183 	 93.30 	 0.9649516608218678 	 17832546
SAMN22420186 	 16163339 	 95.74 	 1107209 	 91.20 	 0.9726937781250998 	 16071438
SAMN22420185 	 23792087 	 95.99 	 1967464 	 92.63 	 0.9661669926511701 	 23645542
SAMN22420184 	 16602751 	 97.14 	 1184680 	 92.74 	 0.9776377102986155 	 16508844
SAMN22420183 	 17003873 	 97.11 	 1235338 	 92.67 	 0.9766855059732776 	 16906682
SAMN22420174 	 18765980 	 96.95 	 1330756 	 93.57 	 0.9715981871059096 	 18647200
SAMN22420173 	 16068376 	 95.63 	 1078574 	 91.48 	 0.9758625556366791 	 15972284
SAMN22420180 	 15379624 	 95.71 	 1015698 	 92.42 	 0.9755076405917498 	 15289898
SAMN22420229 	 14040600 	 97.11 	 917111 	 92.82 	 0.9752620867308833 	 13958936
