Sample	Total_Reads	Percent_mapped	Num_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	NumReadsPassingFilters
SAMEA3649954 	 62261900 	 98.24 	 7584257 	 92.28 	 0.9392916855675747 	 61183548
SAMEA3649955 	 146361478 	 98.32 	 14008612 	 92.57 	 0.94799884568941 	 143846808
SAMEA3649956 	 84905259 	 98.30 	 11217469 	 92.22 	 0.9339321312112694 	 83441548
SAMEA3649957 	 137321256 	 98.28 	 17948413 	 92.24 	 0.9448515932620549 	 134988842
SAMEA3649959 	 62651768 	 98.31 	 7065704 	 92.50 	 0.9209311769688742 	 61601534
SAMEA3649960 	 89732410 	 98.26 	 8361971 	 92.47 	 0.9282651155592969 	 88189016
SAMEA3649961 	 93845491 	 98.23 	 8269539 	 92.72 	 0.9441752529152684 	 92271600
SAMEA3649962 	 57592175 	 98.26 	 5559989 	 92.33 	 0.9253073176958447 	 56599322
SAMEA3649963 	 66133342 	 98.24 	 5793757 	 92.36 	 0.9343169136900117 	 65006426
SAMEA3649964 	 116189855 	 98.24 	 11865219 	 92.39 	 0.9339345796460934 	 114188888
SAMEA3649965 	 41148130 	 98.24 	 3302213 	 92.40 	 0.9320410999100527 	 40447316
SAMEA3649967 	 78482395 	 97.71 	 1900859 	 91.84 	 0.8933335008767712 	 77917586
SAMEA3649968 	 125119619 	 98.17 	 9015820 	 91.73 	 0.8745042681945776 	 123403564
SAMEA3649969 	 98188764 	 98.05 	 11346310 	 91.80 	 0.9468688310343222 	 96486110
SAMEA3649970 	 74592006 	 97.89 	 1904423 	 92.04 	 0.8867829736621394 	 74053336
SAMEA3649971 	 67088379 	 97.89 	 1726173 	 91.62 	 0.8829204807199876 	 66602386
SAMEA3649972 	 80113099 	 98.16 	 8320321 	 92.32 	 0.9460223448905837 	 78775152
SAMEA3649973 	 70487838 	 98.26 	 7863695 	 92.15 	 0.9347167037078031 	 69282320
SAMEA3644434 	 58609097 	 97.89 	 1853270 	 91.83 	 0.8375316930795572 	 58192094
SAMEA3644446 	 61935755 	 97.91 	 1808519 	 92.06 	 0.8898869793990777 	 61494312
SAMEA3649958 	 53240349 	 97.91 	 1380113 	 91.63 	 0.8292860531854904 	 52851596
SAMEA3539950 	 62270825 	 97.91 	 1481027 	 93.00 	 0.8872957540748166 	 61923510
SAMEA3649966 	 95565519 	 98.21 	 9828545 	 92.39 	 0.9332885144661759 	 93936482
SAMEA3638083 	 60062260 	 98.05 	 5887468 	 92.11 	 0.9488367162618733 	 59058550
SAMEA3539957 	 56762419 	 97.99 	 1001252 	 93.04 	 0.8905758624549046 	 56463500
SAMEA104219275 	 357162088 	 97.91 	 61978330 	 90.64 	 0.8769431388714491 	 351920044
SAMEA104219276 	 337442662 	 97.78 	 85927268 	 90.78 	 0.9039173634059583 	 332213386
SAMEA104219277 	 304788235 	 97.77 	 79364545 	 90.76 	 0.9104170287567188 	 300212040
SAMEA104219278 	 421663026 	 97.84 	 81530966 	 90.86 	 0.9425691537411586 	 414892542
SAMEA104219279 	 404947435 	 97.69 	 68703399 	 90.27 	 0.9440273337393728 	 398257204
SAMEA104219280 	 361968562 	 97.81 	 72721932 	 90.77 	 0.9181175938806403 	 356266902
SAMEA104219281 	 384423073 	 97.83 	 79287177 	 91.02 	 0.9192961455656439 	 378412588
SAMEA104219282 	 354600097 	 97.74 	 80603190 	 90.73 	 0.881389040338661 	 349368256
SAMEA104219283 	 374869172 	 97.83 	 87826310 	 90.81 	 0.9086590365718875 	 368888280
SAMEA104219284 	 284281089 	 97.79 	 71675383 	 90.93 	 0.9092621804967035 	 280019198
SAMEA104219285 	 403081856 	 97.96 	 101840235 	 91.27 	 0.8993719700314492 	 397284624
SAMEA104219286 	 376899292 	 97.90 	 67520021 	 90.93 	 0.932489672829623 	 371178402
SAMEA104219287 	 354219511 	 97.77 	 56362292 	 90.69 	 0.9237236945230426 	 348938946
SAMEA104219288 	 319353172 	 97.85 	 67337045 	 91.00 	 0.9263012596093986 	 314351474
SAMEA104219289 	 366679613 	 97.95 	 71364543 	 91.40 	 0.9168678762978051 	 361335888
SAMEA104219290 	 453665119 	 97.92 	 95708205 	 91.23 	 0.9390231953525847 	 446735468
SAMEA6504475 	 111022783 	 99.39 	 2614631 	 95.08 	 0.9427720077607125 	 107495298
SAMEA6504476 	 100016633 	 99.28 	 2065807 	 95.03 	 0.9407442154348097 	 96961590
SAMEA6504477 	 117029495 	 99.39 	 2541029 	 95.28 	 0.9328178346723716 	 113576672
SAMEA6504478 	 63765809 	 99.39 	 1199079 	 95.40 	 0.9328863152139221 	 61940584
SAMEA6504479 	 137435241 	 99.37 	 3175854 	 94.30 	 0.9374756409279883 	 132308984
SAMEA6504480 	 130084362 	 99.34 	 3219115 	 94.59 	 0.9303097934209862 	 125363018
SAMEA6504482 	 97771272 	 99.21 	 2178591 	 94.33 	 0.9451924827075401 	 94022888
SAMEA6504483 	 150528055 	 99.44 	 3858629 	 95.34 	 0.9359356523146347 	 145164696
SAMEA6504484 	 129616515 	 99.35 	 3173806 	 94.96 	 0.9347255995304691 	 124930836
SAMEA6504485 	 52735974 	 99.29 	 977614 	 94.40 	 0.9377221315843972 	 50876118
SAMEA6504481 	 127120736 	 99.27 	 3037874 	 94.79 	 0.9319278365430452 	 122633452
SAMEA6504486 	 61483432 	 99.38 	 1378856 	 94.59 	 0.9446604003507278 	 59216638
SAMEA7230561 	 330382941 	 94.68 	 106370060 	 80.98 	 0.913203916782187 	 303683464
SAMEA7230498 	 327538375 	 95.20 	 96972897 	 82.43 	 0.9060241131561477 	 302797738
SAMEA7230534 	 318800661 	 93.75 	 78492468 	 81.14 	 0.9120053917153598 	 294961362
SAMEA7230449 	 401347214 	 94.94 	 115727386 	 81.01 	 0.8965984838234042 	 366681916
SAMEA7230458 	 465665872 	 95.89 	 137198444 	 82.17 	 0.9130715031055159 	 425646738
SAMEA7230495 	 396426348 	 95.79 	 111997506 	 82.06 	 0.9158283519929293 	 364047688
SAMEA7230529 	 351395592 	 94.41 	 97512346 	 80.76 	 0.9022047930433935 	 321359012
SAMEA7230476 	 387245539 	 96.29 	 113212336 	 83.06 	 0.915378150594119 	 353223576
SAMEA7230478 	 394712819 	 95.92 	 118807418 	 82.54 	 0.9110873046564405 	 360070216
SAMEA7230508 	 354987281 	 96.05 	 102783302 	 81.98 	 0.8997663500167894 	 323910518
SAMEA7230552 	 440633635 	 95.32 	 133627921 	 80.72 	 0.884329930027047 	 399423736
SAMEA7230451 	 436149704 	 92.36 	 146647678 	 79.68 	 0.9412062511148277 	 401625792
SAMEA7230452 	 446409941 	 95.44 	 155697771 	 81.71 	 0.92918047132514 	 408120900
SAMEA7230481 	 358101070 	 96.17 	 124494295 	 83.00 	 0.9417184104849342 	 328284038
SAMEA7230494 	 402508678 	 95.56 	 139783661 	 81.48 	 0.9237240759170228 	 367125608
SAMEA7230510 	 491691835 	 96.17 	 177800762 	 83.07 	 0.9413631315320534 	 450660762
SAMEA7230512 	 386494089 	 95.81 	 133630415 	 82.37 	 0.9375627045218798 	 354779094
SAMEA7230550 	 393563960 	 94.94 	 140042660 	 81.17 	 0.9149965831351704 	 358477548
SAMEA7230553 	 502047803 	 93.83 	 188658897 	 80.58 	 0.9298317380715773 	 459544590
SAMEA7230450 	 391808927 	 93.77 	 153169624 	 80.95 	 0.9485083087291019 	 361766060
SAMEA7230457 	 292984157 	 96.09 	 104553050 	 83.22 	 0.939309499798419 	 270980958
SAMEA7230461 	 305029299 	 94.28 	 108706664 	 81.32 	 0.9326227719349508 	 282177334
SAMEA7230454 	 264061109 	 95.90 	 96705286 	 82.87 	 0.9373211897116157 	 244536068
SAMEA7230469 	 333681453 	 96.30 	 123237510 	 83.49 	 0.9333400148871609 	 308954964
SAMEA7230470 	 340791105 	 96.32 	 127906691 	 82.94 	 0.9302189164723961 	 314150766
SAMEA7230471 	 286402288 	 95.36 	 95518560 	 82.62 	 0.9368322142393206 	 263849170
SAMEA7230474 	 382029713 	 94.17 	 145614187 	 81.35 	 0.9412431577737441 	 352133600
SAMEA7230475 	 314662199 	 91.89 	 110477465 	 79.20 	 0.9466644026557769 	 290978038
SAMEA7230477 	 378271837 	 95.40 	 131357783 	 82.62 	 0.9451489019275549 	 348824300
SAMEA7230479 	 357673029 	 93.46 	 127331545 	 79.83 	 0.9201614085819316 	 326445420
SAMEA7230472 	 398856380 	 94.37 	 142672044 	 81.67 	 0.9300704234549254 	 367472052
SAMEA7230473 	 350269542 	 94.71 	 128814243 	 81.13 	 0.9326215097532581 	 321253840
SAMEA7230509 	 354988521 	 94.44 	 137720075 	 81.44 	 0.9174607314041998 	 328166318
SAMEA7230513 	 370394400 	 92.80 	 147576007 	 79.73 	 0.9101830501119207 	 342355710
SAMEA7230490 	 383773180 	 95.49 	 141786159 	 82.96 	 0.9491674655418161 	 353646870
SAMEA7230491 	 268540003 	 95.81 	 94448618 	 83.03 	 0.9431816758551106 	 247905468
SAMEA7230489 	 390254622 	 96.13 	 141238251 	 83.25 	 0.9386208834599593 	 359834196
SAMEA7230496 	 305041902 	 95.66 	 96392271 	 82.41 	 0.9185193624251416 	 281778162
SAMEA7230497 	 164351702 	 96.68 	 48036135 	 84.53 	 0.9529734935284087 	 151810370
SAMEA7230500 	 341679698 	 95.62 	 127904223 	 82.06 	 0.9265714057399679 	 314646556
SAMEA7230492 	 338651473 	 95.29 	 127580425 	 82.37 	 0.9369584648507981 	 312003138
SAMEA7230516 	 324666840 	 94.96 	 127300387 	 81.79 	 0.9295462992426051 	 300637718
SAMEA7230517 	 326337466 	 96.77 	 124824541 	 83.43 	 0.9458078708659381 	 300081650
SAMEA7230518 	 351536372 	 96.44 	 134908019 	 83.54 	 0.9390336670334402 	 325420320
SAMEA7230514 	 349077431 	 96.12 	 138297818 	 82.99 	 0.9431261995358698 	 320583540
SAMEA7230515 	 377489936 	 96.18 	 144257777 	 83.40 	 0.9439824321977514 	 349960064
SAMEA7230530 	 347112289 	 93.45 	 117627937 	 80.62 	 0.921956858229756 	 321113672
SAMEA7230537 	 315125099 	 86.35 	 111610235 	 74.76 	 0.9013751166010374 	 296046138
SAMEA7230531 	 238391731 	 94.59 	 72612058 	 81.60 	 0.932042084426616 	 220540484
SAMEA7230548 	 382788268 	 94.38 	 126631853 	 81.37 	 0.9036505638191634 	 353980014
SAMEA7230549 	 303106119 	 95.35 	 95174495 	 81.61 	 0.9047017675157502 	 278055192
SAMEA7230555 	 390998771 	 89.45 	 140808623 	 76.97 	 0.8876371075755671 	 363672862
SAMEA7230560 	 400232989 	 90.97 	 139643029 	 77.33 	 0.8745653357147894 	 367341586
SAMEA7230535 	 286823429 	 88.58 	 103738244 	 76.24 	 0.9067377126914684 	 267611968
SAMEA7230536 	 347483605 	 83.32 	 132005832 	 71.97 	 0.9082341027266495 	 325717960
SAMEA7230539 	 320784557 	 87.37 	 121674662 	 75.53 	 0.9177963138914603 	 300025304
SAMEA7230532 	 391385451 	 87.85 	 152805522 	 75.66 	 0.904968299923579 	 366904096
SAMEA7230459 	 448028868 	 89.82 	 148265874 	 77.85 	 0.8575807975597972 	 416777750
SAMEA7230460 	 233272117 	 93.49 	 54533031 	 79.99 	 0.8886907082992921 	 214552284
SAMEA7230453 	 244673017 	 93.72 	 56398718 	 81.04 	 0.8986522299192012 	 226777304
SAMEA7230455 	 343349756 	 95.01 	 86281349 	 82.04 	 0.8906405399038405 	 316749972
SAMEA7230456 	 374747431 	 94.36 	 87647786 	 81.50 	 0.893967291619387 	 346742886
SAMEA7230480 	 305843122 	 94.66 	 76529342 	 82.50 	 0.8950391406330378 	 283080706
SAMEA7230519 	 321582597 	 96.20 	 68460042 	 83.47 	 0.915432038294507 	 297459886
SAMEA7230511 	 303020347 	 96.12 	 63345317 	 83.22 	 0.9084592013823433 	 280710690
SAMEA7230499 	 324052024 	 95.31 	 95819399 	 82.59 	 0.9066653711984878 	 298967798
