Organism	BioProject	BioSample	Run
Bambusicola_thoracicus	PRJNA396570	SAMN07428836	SRR6466369
Bambusicola_thoracicus	PRJNA396570	SAMN07428836	SRR6466370
Bambusicola_thoracicus	PRJNA396570	SAMN07428836	SRR6466371
Bambusicola_thoracicus	PRJNA396570	SAMN07428836	SRR6466372
Gallus_varius	PRJNA396570	SAMN14374552	SRR11303958
Gallus_varius	PRJNA396570	SAMN14374552	SRR11303959
Gallus_lafayetii	PRJNA396570	SAMN14374550	SRR11303960
Gallus_lafayetii	PRJNA396570	SAMN14374550	SRR11303961
Gallus_varius	PRJNA396570	SAMN14374552	SRR11303962
Gallus_varius	PRJNA396570	SAMN14374552	SRR11303963
Gallus_sonneratii	PRJNA396570	SAMN14374551	SRR11303964
Gallus_sonneratii	PRJNA396570	SAMN14374551	SRR11303965
Gallus_sonneratii	PRJNA396570	SAMN14374551	SRR11303966
Gallus_sonneratii	PRJNA396570	SAMN14374551	SRR11303967
Gallus_lafayetii	PRJNA396570	SAMN14374550	SRR11303968
Gallus_lafayetii	PRJNA396570	SAMN14374550	SRR11303969
