BioSample,SampleName1,SampleName2,BioProject,Organism,sex,Submitter_Id,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
SAMEA2661363,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__31-sc-2016880,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2347341,0.0471437,23559713,6.71935,0.0279824,-0.0534829,-0.00166704,0.00124431,6.42054e-4,6.20964e-4,0.0149038,-2.40918e-4,-8.38627e-5,4.92614e-4,cluster_3,outgroup,NA
SAMEA2661355,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__23-sc-2016872,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2349928,0.0471956,23560168,6.85223,0.0279322,-0.0539698,-0.00101028,0.00156882,1.99983e-4,-1.66224e-4,0.0144539,-4.79564e-4,1.88454e-4,4.66059e-4,cluster_3,outgroup,NA
SAMEA2661304,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__8-sc-2016821,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2350035,0.0471978,23559874,7.36619,0.0276545,-0.0475434,-0.00111233,2.57335e-4,4.73427e-4,7.64726e-4,-7.56964e-4,2.07846e-4,-1.88222e-5,3.40275e-4,cluster_3,outgroup,NA
SAMEA2661371,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__1-sc-2016888,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2351770,0.0472326,23559530,6.51005,0.0279287,-0.0515584,-3.12655e-4,0.00107545,-7.28991e-5,7.2039e-5,0.00747481,-3.91414e-4,-7.36661e-6,5.30355e-4,cluster_3,outgroup,NA
SAMEA2661374,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__4-sc-2016891,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2358746,0.0473727,23559118,6.91106,0.0280299,-0.0543422,-0.00168926,5.20286e-4,9.92765e-4,0.00169184,0.0135728,3.79905e-5,1.16236e-4,3.51877e-4,cluster_3,outgroup,NA
SAMEA2661376,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__6-sc-2016893,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2365500,0.0475084,23559495,5.64429,0.0278441,-0.0510474,-0.00130299,0.00216856,1.14139e-4,3.04769e-5,0.00897069,1.39377e-4,-4.14436e-4,2.25736e-4,cluster_3,outgroup,NA
SAMEA2661398,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__17-sc-2016927,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2367788,0.0475543,23560136,6.10307,0.027947,-0.0546877,-0.00140362,0.00108957,3.86954e-4,0.00100595,0.0127259,-1.54342e-4,6.7788e-5,3.42773e-4,cluster_3,outgroup,NA
SAMEA2661373,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__3-sc-2016890,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2377304,0.0477455,23558689,6.51044,0.0277888,-0.0507239,-1.86759e-4,0.00127413,1.69398e-4,-1.99905e-4,0.00739245,-2.24443e-4,-2.30779e-4,4.40571e-4,cluster_3,outgroup,NA
SAMEA2661399,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__18-sc-2016928,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2378799,0.0477755,23559210,5.8302,0.0280004,-0.053782,-0.0010982,0.00193148,2.26967e-4,1.30997e-4,0.0124516,-9.22836e-5,5.72883e-4,9.69741e-4,cluster_3,outgroup,NA
SAMEA2661362,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__30-sc-2016879,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2383714,0.0478742,23559423,6.78564,0.0280361,-0.0546599,-0.00133071,0.00156345,4.03733e-4,-1.19143e-5,0.0166838,-5.78925e-4,-4.41247e-4,4.7025e-4,cluster_3,outgroup,NA
SAMEA2661347,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__15-sc-2016864,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2386881,0.0479378,23559864,6.41589,0.0279064,-0.0535373,-0.00188691,3.70611e-4,6.73643e-4,9.45842e-4,0.0155928,-6.98885e-5,7.12893e-5,5.48788e-4,cluster_3,outgroup,NA
SAMEA2661341,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__9-sc-2016858,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2394985,0.0481006,23559508,6.37744,0.0280238,-0.0551081,-0.00214853,0.00156433,2.5584e-4,1.33353e-4,0.0178533,-7.32791e-4,1.66406e-4,6.64165e-4,cluster_3,outgroup,NA
SAMEA2661354,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__22-sc-2016871,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2397168,0.0481444,23559686,6.7807,0.0280012,-0.0546856,-0.00210327,0.00133634,6.09712e-4,3.89002e-4,0.0165581,-4.37636e-4,5.27591e-4,2.12154e-4,cluster_3,outgroup,NA
SAMEA2661297,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__1-sc-2016814,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2400104,0.0482034,23559692,6.44488,0.0277537,-0.0504183,-7.65886e-4,0.00136474,7.01439e-4,7.68867e-4,0.00564195,1.36576e-4,-2.09862e-5,-3.84048e-4,cluster_3,outgroup,NA
SAMEA2661339,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__7-sc-2016856,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2402250,0.0482465,23559597,6.23854,0.0279664,-0.0535975,-0.00217125,8.3907e-4,5.56725e-4,5.68754e-4,0.0158045,-2.55349e-4,4.80833e-4,-1.06503e-4,cluster_3,outgroup,NA
SAMEA2661349,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__17-sc-2016866,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2402463,0.0482507,23559071,6.41706,0.0279156,-0.0548227,-0.00202813,0.00118982,2.92594e-4,1.985e-4,0.0153612,-1.22619e-4,4.64352e-4,-1.80979e-4,cluster_3,outgroup,NA
SAMEA2661365,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__33-sc-2016882,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2408791,0.0483778,23559304,6.5643,0.0280275,-0.0549115,-0.00159166,9.02593e-4,2.45645e-4,3.24092e-4,0.0146546,-3.82338e-4,-5.50815e-5,6.14871e-4,cluster_3,outgroup,NA
SAMEA2661351,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__19-sc-2016868,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2423620,0.0486757,23559586,6.42368,0.0278869,-0.0521401,-0.00104352,0.00207917,5.48268e-4,-1.44247e-5,0.0129167,2.76347e-4,1.59016e-5,6.58893e-4,cluster_3,outgroup,NA
SAMEA2661334,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__2-sc-2016851,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2427808,0.0487598,23559447,6.81451,0.0279236,-0.0515703,-0.00245094,0.00138934,4.3622e-4,2.12335e-4,0.0138575,-2.16644e-4,-1.07245e-4,9.30857e-4,cluster_3,outgroup,NA
SAMEA2661400,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__19-sc-2016929,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2428645,0.0487766,23558978,5.87668,0.027797,-0.0520333,-3.62359e-4,5.1921e-4,5.8493e-5,3.34884e-4,0.0106478,-2.65302e-4,1.69323e-4,9.84646e-5,cluster_3,outgroup,NA
SAMEA2661367,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__35-sc-2016884,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2431888,0.0488417,23559376,6.64481,0.0278445,-0.0526634,-7.65401e-4,0.00116164,2.81658e-4,4.14931e-4,0.0118597,1.69123e-4,1.13841e-4,5.08861e-4,cluster_3,outgroup,NA
SAMEA2661370,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__38-sc-2016887,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2432119,0.0488464,23559949,6.12859,0.027948,-0.0542089,-0.00184019,0.00138818,5.14497e-4,1.86737e-4,0.0135458,2.64145e-4,-1.10497e-4,1.66468e-4,cluster_3,outgroup,NA
SAMEA2661357,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__25-sc-2016874,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2435218,0.048908600000000003,23559900,6.55683,0.0280234,-0.0540091,-0.0017878,0.00123875,7.91905e-4,0.00114233,0.0147828,-2.16656e-4,2.95075e-4,1.77074e-4,cluster_3,outgroup,NA
SAMEA2661346,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__14-sc-2016863,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2435333,0.0489109,23559340,6.15679,0.028017,-0.0550332,-0.00159948,7.94189e-4,4.61529e-4,-1.04946e-4,0.0159806,-4.08719e-4,-3.31169e-4,9.52466e-4,cluster_3,outgroup,NA
SAMEA2661326,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__30-sc-2016843,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2446535,0.0491359,23559652,6.29978,0.0277071,-0.0477895,-3.67321e-4,4.52992e-4,9.99958e-7,4.73368e-4,-0.0012028,2.94653e-5,7.3034e-4,-6.51914e-5,cluster_3,outgroup,NA
SAMEA2661345,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__13-sc-2016862,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2452141,0.0492485,23559621,5.78233,0.0280725,-0.0559258,-0.00127416,0.00168147,2.38804e-4,-5.1377e-5,0.0165364,-4.31856e-4,2.89937e-5,8.29006e-4,cluster_3,outgroup,NA
SAMEA2661369,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__37-sc-2016886,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2459389,0.049394,23559464,6.36597,0.0279708,-0.0547838,-5.07625e-4,0.00110643,6.16959e-4,0.00116264,0.0152859,-1.7324e-5,-6.99251e-5,-4.81706e-4,cluster_3,outgroup,NA
SAMEA2661410,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__8-sc-2016939,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2476558,0.0497389,23558975,5.49362,0.027525,-0.0446074,0.00173352,-1.75193e-4,4.87617e-4,7.50711e-4,-0.0100384,-2.44868e-4,1.69863e-4,-4.65329e-4,cluster_3,outgroup,NA
SAMEA2661338,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__6-sc-2016855,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2484939,0.0499072,23559511,6.15805,0.028031,-0.0543187,-0.00160501,7.95383e-4,3.05166e-4,4.18535e-4,0.0145583,1.12362e-4,1.04374e-4,4.13238e-4,cluster_3,outgroup,NA
SAMEA2661352,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__20-sc-2016869,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2487260,0.0499538,23559965,5.99357,0.0279311,-0.054403,-0.00170061,5.272e-4,4.16341e-4,-4.7258e-5,0.0134932,2.70585e-4,1.36672e-4,-3.93814e-4,cluster_3,outgroup,NA
SAMEA2661353,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__21-sc-2016870,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2495037,0.05011,23559328,6.23361,0.0280523,-0.0539573,-0.00208488,0.0014652,4.45633e-4,8.66795e-4,0.0156846,-4.72199e-4,2.88202e-5,-2.6737e-4,cluster_3,outgroup,NA
SAMEA2661344,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__12-sc-2016861,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2495641,0.0501221,23559459,5.80178,0.0279551,-0.0542247,-0.00165225,0.00103083,6.87801e-4,1.48845e-4,0.0160866,-5.28922e-4,3.9451e-4,5.5917e-4,cluster_3,outgroup,NA
SAMEA2661331,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__35-sc-2016848,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2498595,0.0501814,23559084,6.04356,0.027771,-0.0485183,-5.12525e-4,0.00170861,2.86858e-4,7.59137e-4,-4.6204e-4,2.36673e-4,1.15269e-4,-8.36057e-4,cluster_3,outgroup,NA
SAMEA2661404,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__2-sc-2016933,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2510106,0.0504126,23558865,5.33714,0.0279369,-0.0508074,-0.00122718,0.0022186,3.82952e-4,-1.22442e-4,0.0125679,1.70129e-4,2.58228e-4,7.06763e-4,cluster_3,outgroup,NA
SAMEA2661415,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__1-sc-2016944,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2514879,0.0505085,23554480,6.72144,0.0254314,0.117866,-0.104344,0.0049126,8.72113e-5,4.15375e-5,0.0240329,-1.46075e-4,0.00147082,-5.21748e-4,cluster_1,outgroup,NA
SAMEA2661448,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__24-sc-2016977,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2516012,0.0505312,23558761,6.12873,0.0278678,-0.0523156,-0.00192378,0.00133344,1.47959e-4,7.77869e-4,0.0109335,-2.07615e-4,-3.65351e-4,2.1273e-4,cluster_3,outgroup,NA
SAMEA2661333,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__1-sc-2016850,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2530393,0.0508201,23559313,6.01983,0.0279783,-0.053708,-0.00255212,0.00142797,2.39376e-4,6.50929e-4,0.0143161,-2.9588e-4,1.85606e-4,2.95006e-4,cluster_3,outgroup,NA
SAMEA2661299,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__3-sc-2016816,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2562133,0.0514575,23558571,5.94444,0.0278669,-0.0513045,-4.92669e-4,2.28464e-4,1.31302e-4,-4.36917e-4,0.00824493,-1.17434e-4,-4.00099e-4,-1.94208e-4,cluster_3,outgroup,NA
SAMEA2661405,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__3-sc-2016934,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2565324,0.0515216,23559653,5.76526,0.0279498,-0.0508622,-0.00121382,0.00113119,7.43923e-4,5.55618e-4,0.00950064,-6.79643e-5,2.10268e-4,4.53947e-4,cluster_3,outgroup,NA
SAMEA2661336,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__4-sc-2016853,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2569342,0.0516023,23559066,5.63862,0.0278786,-0.0528772,-0.00166167,4.14615e-4,1.59357e-4,0.00124142,0.0125626,1.80242e-4,2.26767e-4,2.33273e-4,cluster_3,outgroup,NA
SAMEA2661303,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__7-sc-2016820,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2570679,0.0516292,23558341,6.67272,0.0277809,-0.0463041,-2.4949e-4,4.61777e-4,5.22828e-5,-7.15446e-5,-0.0038298,-3.36581e-4,6.2564e-4,-7.68668e-4,cluster_3,outgroup,NA
SAMEA2661340,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__8-sc-2016857,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2578994,0.0517962,23559416,5.40103,0.028041,-0.0555041,-0.0027019,0.00221849,5.83151e-4,5.34277e-4,0.0182796,-4.32883e-4,3.59863e-4,5.61159e-4,cluster_3,outgroup,NA
SAMEA2661301,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__5-sc-2016818,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2581924,0.051855,23558724,5.95666,0.0278929,-0.051112,-5.51424e-4,8.19503e-4,2.91402e-4,8.47874e-4,0.00777583,-1.36774e-4,1.29559e-4,8.24443e-5,cluster_3,outgroup,NA
SAMEA2661360,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__28-sc-2016877,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2584489,0.0519065,23559982,7.15446,0.0278747,-0.0500515,-0.00172329,6.4419e-4,5.25988e-4,0.00136236,0.00725605,-1.03161e-4,-3.23268e-5,2.07119e-4,cluster_3,outgroup,NA
SAMEA2661330,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__34-sc-2016847,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2585992,0.0519367,23558668,5.92156,0.0277938,-0.0484242,-4.14319e-4,0.0010275,3.35263e-4,7.04006e-4,0.00260417,-1.28078e-4,8.04611e-5,-4.44098e-4,cluster_3,outgroup,NA
SAMEA2661327,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__31-sc-2016844,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2586807,0.0519531,23558906,5.94967,0.0276862,-0.0459163,3.26116e-4,7.68207e-4,5.20672e-4,-1.57995e-4,-0.00312954,-3.19852e-4,-2.27495e-4,7.48843e-5,cluster_3,outgroup,NA
SAMEA2661337,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__5-sc-2016854,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2595659,0.0521309,23559446,5.6032,0.0279995,-0.0553012,-0.00137867,0.00186867,3.86575e-4,2.05221e-4,0.0175582,-4.37599e-4,-6.11755e-5,-9.00273e-7,cluster_3,outgroup,NA
SAMEA2661343,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__11-sc-2016860,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2598161,0.0521811,23559324,6.33579,0.0281316,-0.0551259,-0.00224283,0.00145301,1.81675e-4,0.001071,0.0179378,4.11081e-5,2.82039e-4,5.66192e-4,cluster_3,outgroup,NA
SAMEA2661402,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__21-sc-2016931,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2601159,0.0522413,23559113,5.27574,0.0279724,-0.053787,-0.00222538,2.19192e-4,4.18773e-5,3.81761e-4,0.0137955,-6.22631e-5,8.1315e-5,7.19129e-4,cluster_3,outgroup,NA
SAMEA2661407,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__5-sc-2016936,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2601798,0.0522542,23559285,5.69625,0.0280909,-0.0557548,-0.00220414,0.00136215,6.58643e-4,0.00142753,0.0167256,1.58863e-5,-1.07721e-4,1.52031e-4,cluster_3,outgroup,NA
SAMEA2661302,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__6-sc-2016819,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2605573,0.05233,23559383,6.17107,0.0277274,-0.0455902,2.16275e-4,5.93798e-4,2.77474e-4,7.10273e-5,-0.00486427,5.46116e-5,1.1032e-4,-2.97851e-4,cluster_3,outgroup,NA
SAMEA2661298,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__2-sc-2016815,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2611129,0.0524416,23558576,5.8244,0.0278259,-0.0507779,-4.5968e-4,0.00126967,1.99268e-5,2.88325e-4,0.0033424,-1.05454e-4,2.93038e-4,3.68535e-4,cluster_3,outgroup,NA
SAMEA2661300,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__4-sc-2016817,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2615084,0.052521,23558531,5.8132,0.0278902,-0.0514782,-0.00137385,0.00102475,2.58023e-4,0.00205978,0.00941299,-1.35819e-4,2.08432e-4,4.17764e-4,cluster_3,outgroup,NA
SAMEA2661368,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__36-sc-2016885,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2623452,0.0526891,23559668,6.32253,0.0280498,-0.0549029,-0.00129592,3.16317e-4,1.7778e-4,1.92438e-4,0.0138096,-5.20755e-4,2.67052e-4,4.04915e-4,cluster_3,outgroup,NA
SAMEA2661332,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__36-sc-2016849,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2624305,0.0527062,23559502,5.28531,0.0277641,-0.0500912,-0.00105969,4.20368e-4,4.43511e-4,6.65356e-4,0.00212754,1.05845e-4,-3.76503e-4,4.19526e-5,cluster_3,outgroup,NA
SAMEA2661356,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__24-sc-2016873,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2625688,0.052734,23559217,5.49722,0.0280579,-0.0555103,-0.00108338,0.00158668,4.48802e-4,2.08328e-4,0.0168648,2.69718e-5,7.53988e-5,2.83337e-4,cluster_3,outgroup,NA
SAMEA2661348,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__16-sc-2016865,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2630030,0.0528212,23559318,5.49484,0.0280497,-0.0549286,-0.00120771,0.00153029,6.42506e-5,2.52511e-4,0.015642,-5.30881e-5,-1.99539e-4,6.35861e-4,cluster_3,outgroup,NA
SAMEA2661401,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__20-sc-2016930,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2634888,0.0529187,23559009,5.21951,0.0280398,-0.0541956,-0.00239805,0.00107437,-6.76674e-5,-2.7351e-4,0.0164679,1.14809e-4,1.24681e-4,6.68203e-5,cluster_3,outgroup,NA
SAMEA2661361,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__29-sc-2016878,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2637563,0.0529725,23559216,5.57474,0.0280018,-0.054787,-0.00135592,0.00168717,7.30922e-4,6.90114e-4,0.0157169,-1.09617e-4,-1.77667e-5,9.62093e-4,cluster_3,outgroup,NA
SAMEA2661364,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__32-sc-2016881,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2637572,0.0529726,23558686,5.5197,0.0279893,-0.054065,-0.00226821,0.00169421,3.43093e-4,2.85786e-4,0.0141758,-2.02116e-4,-5.72731e-5,2.14774e-4,cluster_3,outgroup,NA
SAMEA2661424,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__10-sc-2016953,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2642890,0.0530794,23553780,6.47774,0.0256381,0.119345,-0.105297,0.00653961,-3.94026e-4,-0.00158078,0.0287564,-4.85144e-4,3.56371e-5,4.08887e-4,cluster_1,outgroup,NA
SAMEA2661335,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__3-sc-2016852,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2643403,0.0530898,23559535,5.57407,0.0280751,-0.0543269,-0.0028897,0.00155055,4.68452e-4,2.81338e-4,0.0171446,-2.45862e-4,5.76354e-5,6.48081e-4,cluster_3,outgroup,NA
SAMEA2661403,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__1-sc-2016932,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2644810,0.053118,23559191,5.43465,0.0279226,-0.0506752,-6.85212e-4,2.09136e-5,-6.47392e-4,-6.53842e-4,0.00792071,-0.00043295300000000003,3.45221e-4,4.64648e-4,cluster_3,outgroup,NA
SAMEA2661328,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__32-sc-2016845,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2645207,0.053126,23559290,5.69894,0.0278653,-0.0506447,-8.2185e-4,8.44393e-4,5.36156e-4,9.74844e-4,0.00723658,1.89339e-4,-1.08066e-4,3.21875e-4,cluster_3,outgroup,NA
SAMEA2661447,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__22-sc-2016976,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2651696,0.0532563,23558626,5.71587,0.0278638,-0.0539385,-0.00163481,8.71819e-4,0.00107979,0.00191698,0.0153518,-4.49942e-4,4.09193e-5,3.9827e-4,cluster_3,outgroup,NA
SAMEA2661311,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__15-sc-2016828,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2654444,0.0533115,23558696,5.73673,0.0277538,-0.0461068,-1.08971e-4,8.72661e-4,2.02427e-4,3.31831e-4,-0.00325652,6.37913e-5,1.51234e-4,-4.14311e-4,cluster_3,outgroup,NA
SAMEA2661425,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__11-sc-2016954,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2656877,0.0533604,23553775,6.48951,0.0255834,0.11767,-0.103389,0.00563943,-9.19479e-4,-0.00202311,0.0271198,-1.56697e-4,-6.47723e-7,-5.12878e-5,cluster_1,outgroup,NA
SAMEA2661417,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__3-sc-2016946,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2669181,0.0536075,23553804,6.51705,0.0255624,0.119887,-0.106352,0.0075861,-7.74689e-4,-0.00152724,0.0319614,2.82759e-4,7.79233e-4,2.36638e-4,cluster_1,outgroup,NA
