BioSample,SampleName1,SampleName2,BioProject,Organism,sex,Submitter_Id,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
SAMEA2661381,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Chitimba-sc-2016910,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1476192,0.0296476,16262789,11.778,0.0224546,0.0835679,0.0821485,-0.00459387,-0.00316157,-0.00618119,-0.196359,8.84724e-4,-5.65221e-4,0.00190576,cluster_2,ingroup,NA
SAMEA1877400,Massoko littoral,Malawi catchment,PRJEB1254,Astatotilapia_spp,missing,Massoko_Yellow_1-sc-2012-12-14T14:26:14Z-1512683,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1528963,0.0307075,23563401,14.3702,0.0275831,-0.0464982,9.44136e-4,0.0013946,-2.68074e-4,-7.02063e-4,-0.00720952,-2.88695e-4,-4.87711e-4,-2.48985e-4,cluster_3,outgroup,NA
SAMEA2661386,A. calliptera,Indian ocean catchments,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Lake_Chidya-sc-2016915,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1531937,0.0307672,16262801,14.9136,0.0204609,0.109396,0.175448,-0.253502,-0.0448068,-0.104763,-0.0397207,-0.00288647,-0.00624023,0.0157557,cluster_1,ingroup,NA
SAMEA2661295,NA,NA,PRJEB1254,Astatotilapia_calliptera,missing,A__calliptera_Salima_female_offspring-sc-2016626,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1537412,0.0308772,16262030,12.374,0.0224993,0.125281,0.235919,0.196035,0.0136724,0.0274023,0.110319,5.65708e-4,0.00120133,-0.00131667,cluster_1,exclude,1
SAMEA1877507,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_Yellow_2-sc-2012-12-14T14:26:43Z-1512707,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1538280,0.0308946,23563661,15.9239,0.0275178,-0.0472184,5.37479e-5,0.00120282,-5.53894e-4,-8.5575e-4,-0.00779136,3.46022e-4,4.25908e-4,9.5472e-6,cluster_3,outgroup,NA
SAMEA2661291,NA,NA,PRJEB1254,Astatotilapia_calliptera,missing,A__calliptera_Salima_male_offspring_1-sc-2016622,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1540736,0.0309439,16261604,11.8676,0.022602,0.125676,0.23757,0.20158,0.0140335,0.0268396,0.115878,0.00126767,0.00165675,-1.85197e-4,cluster_1,exclude,1
SAMEA1904327,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Chizumulu_-sc-2013-01-28T12:01:17Z-1530724,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1550724,0.0311445,16266518,11.6211,0.0219181,0.0816725,0.0844795,-0.00990893,-0.00239358,-0.00495439,-0.170112,-1.54497e-4,-0.00139249,-2.85175e-4,cluster_2,ingroup,NA
SAMEA1877447,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_Yellow_2-sc-2012-12-14T14:26:15Z-1512684,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1583950,0.0318118,23563656,15.0502,0.0274106,-0.0434122,0.00061972800000000005,-7.52438e-5,-6.63608e-4,-0.00136657,-0.0126046,2.07752e-4,5.46617e-4,-4.72034e-4,cluster_3,outgroup,NA
SAMEA2661293,NA,NA,PRJEB1254,Astatotilapia_calliptera,missing,A__calliptera_Salima_male_offspring_2-sc-2016624,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1587745,0.0318881,16261322,10.9674,0.0225481,0.125162,0.236504,0.202672,0.0141722,0.0265028,0.115361,2.6958e-4,0.00205717,-5.80505e-4,cluster_1,exclude,1
SAMEA2661391,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Bua-sc-2016920,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1590476,0.0319429,16264312,16.7176,0.0221917,0.100288,0.145525,0.0475742,-2.21204e-4,-0.00303053,-0.10265,8.1699e-4,-0.00298811,0.00424945,cluster_2,ingroup,NA
SAMEA1877442,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_Yellow_3-sc-2012-12-14T14:26:22Z-1512689,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1598911,0.0321123,23563400,12.1126,0.0273426,-0.045735,0.00220018,3.11895e-4,-6.47752e-5,-6.09049e-4,-0.00878373,-1.68049e-5,-7.29302e-5,-2.69855e-5,cluster_3,outgroup,NA
SAMEA1877407,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_Yellow_4-sc-2012-12-14T14:26:28Z-1512694,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1604889,0.0322324,23563731,14.3662,0.0273664,-0.046705000000000003,-6.23598e-4,6.12463e-4,-8.65316e-5,-7.72542e-4,-0.00326915,1.90542e-4,3.00038e-4,-1.58051e-4,cluster_3,outgroup,NA
SAMEA1877404,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_blue_6-sc-2012-12-14T14:26:21Z-1512688,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1617190,0.0324794,23563095,14.186,0.0277446,-0.0522406,-1.65946e-4,0.0020641,-1.30688e-4,-0.00113863,0.0100781,-1.91453e-4,1.06395e-4,2.35694e-4,cluster_3,outgroup,NA
SAMEA1877464,Massoko benthic,Lake Malawi populations,PRJEB1254,Astatotilapia_spp,missing,Massoko_blue_1-sc-2012-12-14T14:26:09Z-1512680,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1627844,0.0326934,23563157,14.1545,0.0277188,-0.0531548,-4.7137e-4,0.00117504,1.35463e-4,-4.18051e-4,0.0113942,-1.78407e-4,1.63876e-4,-7.33466e-5,cluster_3,outgroup,NA
SAMEA1877494,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_blue_2-sc-2012-12-14T14:26:12Z-1512681,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1632936,0.0327957,23563545,15.4425,0.0278947,-0.0549231,-0.00107909,0.00228335,-1.44451e-4,-0.00163091,0.0155048,-3.09173e-4,1.8192e-5,3.69671e-4,cluster_3,outgroup,NA
SAMEA1877402,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_Yellow_1-sc-2012-12-14T14:26:42Z-1512706,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1698568,0.0341138,23562502,10.2864,0.0273882,-0.0468019,2.7823e-4,2.2879e-5,-6.91979e-5,-3.89912e-4,-0.00248529,3.53873e-4,2.21176e-4,-6.01971e-4,cluster_3,outgroup,NA
