sample,breed,BioProject,BioSample,Organism,sex,Continent,Country,Locality,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
../compPopGen_ms/SRA/cleaned-metadata-mk/Anas_poecilorhyncha_sample_metadata.csv:P289124,NA,PRJNA599025,SAMN13737509,Anas_poecilorhyncha,male,NA,NA,NA,GCF_015476345.1,Anas_platyrhynchos,51535486,0,761291,0.0147722,26534249,6.32756,-0.292562,0.0386827,-0.00229707,-0.0405663,-0.208147,0.167761,0.177415,0.221912,-0.531559,-0.223157,cluster_1,outgroup,NA
../compPopGen_ms/SRA/cleaned-metadata-mk/Anas_poecilorhyncha_sample_metadata.csv:Q538949,NA,PRJNA599025,SAMN13737514,Anas_poecilorhyncha,male,NA,NA,NA,GCF_015476345.1,Anas_platyrhynchos,51535486,0,1270510,0.0246531,26528539,5.26713,-0.337195,-0.0210542,-0.00608223,0.180842,0.895463,0.0948592,0.0340693,-0.07861,-0.0750155,0.0266538,cluster_1,outgroup,NA
../compPopGen_ms/SRA/cleaned-metadata-mk/Anas_poecilorhyncha_sample_metadata.csv:Q538932,NA,PRJNA599025,SAMN13737513,Anas_poecilorhyncha,female,NA,NA,NA,GCF_015476345.1,Anas_platyrhynchos,51535486,0,1962359,0.0380778,26524625,4.27384,-0.249652,0.0659924,0.0177324,-0.0318015,-0.154885,0.15552,0.173287,-0.238963,-0.0156642,-0.0647285,cluster_1,outgroup,NA
../compPopGen_ms/SRA/cleaned-metadata-mk/Anas_poecilorhyncha_sample_metadata.csv:P288913,NA,PRJNA599025,SAMN13737508,Anas_poecilorhyncha,female,NA,NA,NA,GCF_015476345.1,Anas_platyrhynchos,51535486,0,1980559,0.038431,26523698,4.22398,-0.272335,0.0308082,9.16614e-4,-0.0245914,-0.104146,-0.0406638,0.0251399,0.0310426,0.421528,0.302388,cluster_1,outgroup,NA
../compPopGen_ms/SRA/cleaned-metadata-mk/Anas_poecilorhyncha_sample_metadata.csv:P288663,NA,PRJNA599025,SAMN13737505,Anas_poecilorhyncha,male,NA,NA,NA,GCF_015476345.1,Anas_platyrhynchos,51535486,0,2062366,0.0400184,26525267,4.30337,-0.258197,0.0292895,9.20357e-4,-0.00953703,-0.035926,-0.0615072,-0.0395786,0.12862,0.0364312,-0.0336657,cluster_1,outgroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:B,Mallard,PRJNA450892,SAMN08952581,Anas_platyrhynchos,male,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,2113538,0.0410113,45551141,12.2081,0.089782,0.176989,0.0778915,0.0118863,0.00903105,-0.00122156,-0.0152743,0.0116925,-0.012401,0.0376555,cluster_5,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata-mk/Anas_poecilorhyncha_sample_metadata.csv:P289334,NA,PRJNA599025,SAMN13737511,Anas_poecilorhyncha,female,NA,NA,NA,GCF_015476345.1,Anas_platyrhynchos,51535486,0,2153560,0.0417879,26521196,4.00777,-0.297554,0.00153532,-0.0174199,-0.0215055,-0.113525,-0.464737,-0.657598,-0.309055,-0.28886,-0.0375631,cluster_1,outgroup,NA
../compPopGen_ms/SRA/cleaned-metadata-mk/Anas_poecilorhyncha_sample_metadata.csv:P288866,NA,PRJNA599025,SAMN13737506,Anas_poecilorhyncha,female,NA,NA,NA,GCF_015476345.1,Anas_platyrhynchos,51535486,0,2178105,0.0422642,26524737,4.16967,-0.212325,0.034445,0.00628803,-0.024694,-0.0522416,-0.056205,-0.0598719,0.0237505,0.0725439,0.0895016,cluster_1,outgroup,NA
../compPopGen_ms/SRA/cleaned-metadata-mk/Anas_poecilorhyncha_sample_metadata.csv:P288911,NA,PRJNA599025,SAMN13737507,Anas_poecilorhyncha,male,NA,NA,NA,GCF_015476345.1,Anas_platyrhynchos,51535486,0,2245845,0.0435786,26522856,4.16559,-0.279826,0.0263863,0.0122894,-0.0126961,-0.134386,0.0165578,0.12276,-0.201322,0.43068,0.163114,cluster_1,outgroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:C,Mallard,PRJNA450892,SAMN08952582,Anas_platyrhynchos,male,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,2268504,0.0440183,45551172,12.8201,0.0735651,0.138005,0.051203,0.00488718,0.0112258,-0.00951288,0.00360025,0.0104591,-0.0187803,0.0304516,cluster_5,ingroup,NA
