BioProject,BioSample,Organism,sex,Submitter_Id,Location,State,Country,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA612146,SAMN14363364,Hippocampus_subelongatus,missing,Hsl_3,Perth,NA,Austrilia,GCF_001891065.1,Hippocampus_comes,176537074,0,641265,0.00363247,15719410,12.2021,-0.00706952,0.00755528,-0.0120531,-2.0238e-4,0.0396051,0.00333871,0.0752533,-0.0415304,-0.00510257,-0.00687622,cluster_6,outgroup,NA
PRJNA612146,SAMN14363369,Hippocampus_subelongatus,missing,Hsl_8,Perth,NA,Austrilia,GCF_001891065.1,Hippocampus_comes,176537074,0,648646,0.00367428,15717822,12.0388,-0.00631894,0.0069477,-0.0117202,-0.00127811,0.0395772,0.00356597,0.0767555,-0.0420319,-0.00635753,-0.00806214,cluster_6,outgroup,NA
PRJNA612146,SAMN14363117,Hippocampus_barbouri,missing,Hbb_5,Xiamen,NA,China,GCF_001891065.1,Hippocampus_comes,176537074,0,649530,0.00367928,13660701,19.3357,-0.00999381,0.0105964,-0.0169229,8.09062e-4,0.061135,0.00573366,0.150317,-0.0898157,-0.00938244,0.00759546,cluster_6,outgroup,NA
PRJNA612146,SAMN14363155,Hippocampus_comes,missing,Hcm_14,Banjarmasin,NA,Malaysia,GCF_001891065.1,Hippocampus_comes,176537074,0,673435,0.00381469,7818584,6.67355,-0.00657246,0.0070205,-0.00967524,-0.00173299,0.0309546,0.00184617,0.0558605,-0.0304046,-0.00377802,-0.00369873,cluster_6,ingroup,NA
PRJNA612146,SAMN14363153,Hippocampus_comes,missing,Hcm_12,Banjarmasin,NA,Malaysia,GCF_001891065.1,Hippocampus_comes,176537074,0,682312,0.00386498,7818973,6.57829,-0.00657421,0.00706119,-0.00970788,-0.00176793,0.0309021,0.00161926,0.0558774,-0.030322000000000002,-0.00366533,-0.00359408,cluster_6,ingroup,NA
PRJNA612146,SAMN14363366,Hippocampus_subelongatus,missing,Hsl_5,Perth,NA,Austrilia,GCF_001891065.1,Hippocampus_comes,176537074,0,683444,0.00387139,15718330,11.2219,-0.00704382,0.00739097,-0.0119095,-6.57439e-4,0.0395951,0.00335793,0.0764577,-0.0419865,-0.00553568,-0.00756593,cluster_6,outgroup,NA
PRJNA612146,SAMN14363149,Hippocampus_comes,missing,Hcm_8,Banjarmasin,NA,Malaysia,GCF_001891065.1,Hippocampus_comes,176537074,0,701419,0.00397321,7817639,6.09948,-0.0064912,0.00705174,-0.00965008,-0.00176059,0.0309059,0.00183773,0.0556365,-0.0303415,-0.00376559,-0.00367023,cluster_6,ingroup,NA
PRJNA612146,SAMN14363150,Hippocampus_comes,missing,Hcm_9,Banjarmasin,NA,Malaysia,GCF_001891065.1,Hippocampus_comes,176537074,0,710326,0.00402366,7819098,6.14135,-0.00652682,0.00694811,-0.00973836,-0.00187964,0.0305996,0.00178245,0.0556021,-0.0297998,-0.00444172,-0.00357409,cluster_6,ingroup,NA
PRJNA612146,SAMN14363372,Hippocampus_subelongatus,missing,Hsl_11,Perth,NA,Austrilia,GCF_001891065.1,Hippocampus_comes,176537074,0,717046,0.00406173,15715380,10.5492,-0.00728612,0.00760099,-0.0120863,-3.43775e-4,0.0394484,0.00322415,0.0748986,-0.0411906,-0.00492009,-0.00657097,cluster_6,outgroup,NA
PRJNA612146,SAMN14363375,Hippocampus_subelongatus,missing,Hsl_14,Perth,NA,Austrilia,GCF_001891065.1,Hippocampus_comes,176537074,0,728057,0.0041241,15713616,9.81452,-0.00651736,0.00703639,-0.011631,-0.00106094,0.0392073,0.00339268,0.0757588,-0.0413199,-0.00608011,-0.00763725,cluster_6,outgroup,NA
PRJNA612146,SAMN14363143,Hippocampus_comes,missing,Hcm_1,Banjarmasin,NA,Malaysia,GCF_001891065.1,Hippocampus_comes,176537074,0,730884,0.00414012,7818652,6.31434,-0.00650198,0.00695084,-0.0096658,-0.0017942,0.0309149,0.00179588,0.0559826,-0.0304034,-0.00374739,-0.00375751,cluster_6,ingroup,NA
PRJNA612146,SAMN14363371,Hippocampus_subelongatus,missing,Hsl_10,Perth,NA,Austrilia,GCF_001891065.1,Hippocampus_comes,176537074,0,737146,0.00417559,15712598,10.269,-0.00711648,0.00742148,-0.0119349,-4.02582e-4,0.0391167,0.00334773,0.0746258,-0.0409237,-0.00504107,-0.00676439,cluster_6,outgroup,NA
PRJNA612146,SAMN14363365,Hippocampus_subelongatus,missing,Hsl_4,Perth,NA,Austrilia,GCF_001891065.1,Hippocampus_comes,176537074,0,781270,0.00442553,15713562,10.0689,-0.00669178,0.00722792,-0.0118069,-9.28142e-4,0.039494,0.00344477,0.0759067,-0.0416355,-0.00573293,-0.00746888,cluster_6,outgroup,NA
PRJNA612146,SAMN14363128,Hippocampus_barbouri,missing,Hbb_16,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes,176537074,0,846548,0.0047953,13648775,11.4387,-0.00994645,0.0104555,-0.016562,8.49655e-4,0.0597335,0.0055542,0.145754,-0.0870555,-0.00897472,0.00731357,cluster_6,outgroup,NA
PRJNA612146,SAMN14363129,Hippocampus_barbouri,missing,Hbb_17,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes,176537074,0,854527,0.0048405,13646201,11.5608,-0.00992825,0.0104645,-0.0166202,8.67422e-4,0.0597436,0.00552359,0.14594,-0.087092,-0.00893238,0.00723527,cluster_6,outgroup,NA
PRJNA612146,SAMN14363367,Hippocampus_subelongatus,missing,Hsl_6,Perth,NA,Austrilia,GCF_001891065.1,Hippocampus_comes,176537074,0,861365,0.00487923,15708529,8.70121,-0.00726918,0.0075416,-0.0119561,-2.77241e-4,0.0390259,0.00326821,0.0740048,-0.0405624,-0.00478281,-0.00678464,cluster_6,outgroup,NA
PRJNA612146,SAMN14363363,Hippocampus_subelongatus,missing,Hsl_1,Perth,NA,Austrilia,GCF_001891065.1,Hippocampus_comes,176537074,0,869582,0.00492578,15707941,8.85446,-0.00715774,0.00739182,-0.0120089,-5.12227e-4,0.0394705,0.00327733,0.0755986,-0.0414858,-0.00516261,-0.00691676,cluster_6,outgroup,NA
PRJNA612146,SAMN14363131,Hippocampus_barbouri,missing,Hbb_19,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes,176537074,0,889015,0.00503585,13647801,10.8359,-0.0100548,0.0106453,-0.0167788,8.89065e-4,0.0605598,0.00556492,0.148495,-0.0886959,-0.0091152,0.00741756,cluster_6,outgroup,NA
PRJNA612146,SAMN14363132,Hippocampus_barbouri,missing,Hbb_20,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes,176537074,0,897304,0.00508281,13649967,11.5751,-0.010148,0.0105853,-0.0169773,9.60197e-4,0.0610638,0.0056366,0.149938,-0.0896166,-0.00922657,0.0076395,cluster_6,outgroup,NA
