BioProject,BioSample,Organism,sex,Submitter_Id,Ecotype,Site,Site_Type,Year,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA431202,SAMN08465485,Athene_cunicularia,male,BO15-107,A_urban_2014,A,urban,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,424860,0.00523915,23956825,16.2785,-0.00804065,0.0149216,0.103334,-0.136231,0.0278672,0.0402257,-0.196915,0.168252,0.0707664,0.0206841,cluster_2,ingroup,NA
PRJNA431202,SAMN08465507,Athene_cunicularia,male,BO15-082,B_urban_2013,B,urban,2013,GCA_003259725.1,Athene_cunicularia,81093328,0,425330,0.00524494,23956489,18.9535,-0.00969421,0.186521,-0.126478,-0.00820634,0.052783,-0.0321926,0.212657,0.296474,0.0321184,0.00054718500000000005,cluster_3,ingroup,9
PRJNA431202,SAMN08465490,Athene_cunicularia,male,BO15-112,A_urban_2014,A,urban,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,426073,0.00525411,23956343,15.8599,-0.00834879,0.0166031,0.131465,-0.1782,0.0449363,-0.359436,0.142279,-0.113122,0.0638602,0.00730393,cluster_2,exclude,6
PRJNA431202,SAMN08465567,Athene_cunicularia,male,BO15-234,B_rural_2015,B,rural,2015,GCA_003259725.1,Athene_cunicularia,81093328,0,431504,0.00532108,23957536,15.8958,-0.00933821,0.189918,-0.0340114,0.00361857,0.0017469,0.00911565,-0.0358508,-0.040986,0.021847,0.0275686,cluster_3,ingroup,NA
PRJNA431202,SAMN08465517,Athene_cunicularia,male,BO15-094,B_urban_2014,B,urban,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,431786,0.00532456,23957270,16.5408,-0.0109661,0.206133,-0.0679551,0.00405516,0.018443,-0.00568921,0.0345943,0.0537863,0.0146585,0.0729452,cluster_3,ingroup,NA
PRJNA431202,SAMN08465491,Athene_cunicularia,female,BO15-113,A_urban_2014,A,urban,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,438605,0.00540864,23956591,17.4907,-0.0086793,-0.0765862,-0.032134,-0.104447,0.0330353,-0.0577086,-0.0105493,-0.0191086,0.0580473,-0.0256577,cluster_5,ingroup,NA
PRJNA431202,SAMN08465535,Athene_cunicularia,male,BO15-022,C1_urban_2012,C1,urban,2012,GCA_003259725.1,Athene_cunicularia,81093328,0,438961,0.00541303,23964534,19.8176,-0.00918869,0.00694732,0.127025,0.199234,0.200827,0.00485568,-0.0170443,0.0229983,0.0896115,-0.115247,cluster_2,exclude,11
PRJNA431202,SAMN08465563,Athene_cunicularia,female,BO15-230,B_rural_2015,B,rural,2015,GCA_003259725.1,Athene_cunicularia,81093328,0,440649,0.00543385,23957835,16.7012,-0.00723886,-0.0468737,-0.0989359,-0.00998029,-0.00640974,7.88767e-4,-0.0392279,-0.0581997,-0.0695248,-0.054152,cluster_5,ingroup,12
PRJNA431202,SAMN08465495,Athene_cunicularia,male,BO15-116,A_urban_2014,A,urban,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,441801,0.00544806,23956698,14.4631,-0.00829011,0.0144976,0.118638,-0.176148,0.0564436,0.0843503,-0.0687101,0.0759163,0.0803386,5.49946e-4,cluster_2,ingroup,NA
PRJNA431202,SAMN08465564,Athene_cunicularia,missing,BO15-231,B_rural_2015,B,rural,2015,GCA_003259725.1,Athene_cunicularia,81093328,0,445270,0.00549083,23957955,16.085,-0.00880701,-0.0128896,-0.108844,-0.0192386,-0.00761615,-0.0112715,-0.032294,-0.044097,-0.076385,-0.0725482,cluster_2,exclude,12
