BioProject,BioSample,Organism,sex,Country,Continent,Submitter_Id,Population,Sample,Locality,Organism.x,Organism.y,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJEB7359,SAMEA3175132,Ficedula_speculigera,male,Morocco,Africa,FSP08-023,FSP08,023,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,835854,0.00704236,22494377,17.4924,0.0512814,-0.0334611,-0.206458,-0.0117286,-0.0059774,-0.00318486,0.00170505,-0.00145726,-0.0066976,-0.0338952,cluster_1,outgroup,NA
PRJEB7359,SAMEA3174143,Ficedula_semitorquata,male,Bulgaria,Europe,FST_37,FST,37,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,840215,0.00707911,21319944,16.5163,-2.67328e-4,-0.209698,0.0531467,-0.0129102,-0.00127508,-7.76245e-4,-0.00255596,0.0755968,-0.0826259,-0.0264501,cluster_8,outgroup,NA
PRJEB7359,SAMEA3174147,Ficedula_semitorquata,male,Bulgaria,Europe,FST_5,FST,5,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,858522,0.00723335,21317988,16.6079,-2.57996e-4,-0.216184,0.0552649,-0.0143859,-0.00852069,-0.0156833,0.510035,-0.395206,0.104938,0.00618393,cluster_8,outgroup,NA
PRJEB7359,SAMEA3175116,Ficedula_speculigera,male,Morocco,Africa,FSP08-001,FSP08,001,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,875023,0.00737238,22493572,17.8444,0.0515278,-0.0330391,-0.203702,-0.0165883,-0.00327856,-0.00185446,-0.00615736,-1.52749e-4,0.00427756,4.48722e-4,cluster_1,outgroup,NA
PRJEB7359,SAMEA3175124,Ficedula_speculigera,male,Morocco,Africa,FSP08-014,FSP08,014,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,880534,0.00741881,22493996,20.5368,0.0515433,-0.0336372,-0.207093,-0.0183484,-0.0020903,-0.00111026,8.46497e-4,-0.00268332,0.00366537,-0.0272951,cluster_1,outgroup,NA
PRJEB7359,SAMEA3175123,Ficedula_speculigera,female,Morocco,Africa,FSP08-012,FSP08,012,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,883897,0.00744714,22493156,19.4831,0.0524662,-0.0334491,-0.208353,-0.0143162,-0.00281112,0.00367793,3.1985e-4,-1.91812e-4,-0.00165704,0.0266911,cluster_1,outgroup,NA
PRJEB7359,SAMEA3175119,Ficedula_speculigera,male,Morocco,Africa,FSP08-007,FSP08,007,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,912397,0.00768727,22494288,15.8878,0.0506978,-0.0328677,-0.203683,-0.0146775,-0.00447561,-0.0027479,-0.00198437,-0.00529593,-7.72231e-4,-0.024301,cluster_1,outgroup,NA
PRJEB7359,SAMEA3174132,Ficedula_semitorquata,male,Bulgaria,Europe,FST_1,FST,1,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,927816,0.00781718,21319643,15.9661,-3.22255e-4,-0.217644,0.0563488,-0.024871,-0.00442781,-0.0093846,-0.470066,-0.45586,0.068609,0.0181022,cluster_8,outgroup,NA
PRJEB7359,SAMEA3175130,Ficedula_speculigera,male,Morocco,Africa,FSP08-021,FSP08,021,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,929149,0.00782841,22493780,18.2146,0.0511588,-0.0328331,-0.205957,-0.0154486,-0.00454507,-0.00203489,0.0014917,-0.0014218,-0.00124238,0.00972989,cluster_1,outgroup,NA
PRJEB7359,SAMEA3175131,Ficedula_speculigera,male,Morocco,Africa,FSP08-022,FSP08,022,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,972664,0.00819504,22491325,18.3074,0.0512798,-0.0327958,-0.205851,-0.0145975,-0.00551813,-4.07511e-4,-4.98395e-4,-0.00215313,0.00555133,0.00322118,cluster_1,outgroup,NA
PRJEB7359,SAMEA3174134,Ficedula_semitorquata,male,Bulgaria,Europe,FST_21,FST,21,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,998938,0.0084164,21320355,15.5565,-1.22232e-4,-0.209729,0.0527208,-0.0123977,-0.00233893,-0.00402738,-0.00375814,0.0590221,-0.159801,-0.112792,cluster_8,outgroup,NA
PRJEB7359,SAMEA3175134,Ficedula_speculigera,male,Morocco,Africa,FSP08-025,FSP08,025,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1003166,0.00845203,22491747,16.8553,0.0504946,-0.0326901,-0.202355,-0.0158298,-0.00285012,-0.00350893,-0.00139131,-0.00264493,-5.56752e-4,-0.0244802,cluster_1,outgroup,NA
