BioProject,BioSample,Organism,sex,Locality,Province,Sample Name,Population,Continent,Country,Submitter_ID,Latitude,Longitude,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA304164,SAMN04296370,Parus_major,male,"Wytham Woods, Oxford",NA,NA,NA,Europe,United Kingdom,TL38215,51.77,-1.34,GCF_001522545.3,Parus_major,49993475,0,562883,0.0112591,49989669,7.3547,-0.0921532,-0.00778207,-2.12084e-4,3.26358e-4,0.00172269,-6.69946e-4,9.72787e-4,7.60852e-4,8.27509e-5,0.00169861,cluster_2,ingroup,NA
PRJNA304164,SAMN04296371,Parus_major,female,"Wytham Woods, Oxford",NA,NA,NA,Europe,United Kingdom,TL38187,51.77,-1.34,GCF_001522545.3,Parus_major,49993475,0,569167,0.0113848,49988978,8.33193,-0.0928776,-0.00711044,-0.00244456,4.59905e-4,-5.20142e-4,6.6711e-4,0.00229936,-0.00266508,9.87732e-4,-3.01215e-4,cluster_2,ingroup,NA
PRJNA304164,SAMN04296364,Parus_major,male,Font Roja,NA,NA,NA,Europe,Spain,1235,38.39,-0.32,GCF_001522545.3,Parus_major,49993475,0,575748,0.0115165,49989707,7.95085,-0.0917056,-0.00743646,7.12722e-4,0.00229327,0.00103293,2.93361e-4,-0.00115815,0.00130159,-9.93534e-5,0.00248106,cluster_2,ingroup,NA
PRJNA304164,SAMN04296366,Parus_major,male,"Wytham Woods, Oxford",NA,NA,NA,Europe,United Kingdom,TL38228,51.77,-1.34,GCF_001522545.3,Parus_major,49993475,0,587966,0.0117609,49989518,8.01217,-0.0928146,-0.00748564,-0.00142966,4.34874e-4,0.00132171,-4.56118e-5,9.73167e-6,0.00116302,-9.1184e-4,3.27894e-4,cluster_2,ingroup,NA
PRJNA304164,SAMN04296372,Parus_major,male,"Wytham Woods, Oxford",NA,NA,NA,Europe,United Kingdom,TL39629,51.77,-1.34,GCF_001522545.3,Parus_major,49993475,0,610570,0.012213,49989646,6.93665,-0.0926325,-0.00707971,-0.00129469,0.00140723,4.4193e-4,3.98472e-4,-4.62536e-4,4.20546e-4,2.07295e-4,2.92851e-4,cluster_2,ingroup,NA
PRJNA304164,SAMN04296349,Parus_major,male,Cambridge,NA,NA,NA,Europe,United Kingdom,477,52.24,-0.14,GCF_001522545.3,Parus_major,49993475,0,676081,0.0135234,49989305,7.63548,-0.092249,-0.00659737,-0.00110023,0.00257057,2.51591e-4,8.21776e-4,-6.1287e-5,5.01354e-4,4.25235e-4,0.00137585,cluster_2,ingroup,NA
PRJNA304164,SAMN04296353,Parus_major,male,Tartu,NA,NA,NA,Europe,Estonia,770,58.07,25.05,GCF_001522545.3,Parus_major,49993475,0,804544,0.016093,49988920,6.34535,-0.0925055,-0.00787002,-6.61516e-4,0.00188086,0.00192213,-7.74946e-4,-0.00288032,0.00119079,2.59978e-4,0.00136509,cluster_2,ingroup,NA
PRJNA304164,SAMN04296357,Parus_major,male,La Rouviere,NA,NA,NA,Europe,France,906,43.4,3.4,GCF_001522545.3,Parus_major,49993475,0,804735,0.0160968,49989008,6.48363,-0.0924945,-0.00750893,-0.00161503,0.00256084,6.84473e-4,-1.48977e-5,-0.00145342,0.00132053,-0.00205063,8.9567e-5,cluster_2,ingroup,NA
PRJNA304164,SAMN04296363,Parus_major,male,Mariola,NA,NA,NA,Europe,Spain,1280,38.44,-0.33,GCF_001522545.3,Parus_major,49993475,0,858288,0.017168,49988766,6.371,-0.092114,-0.00706321,-3.60477e-4,0.00111315,-1.19312e-4,0.00102465,-0.00174705,9.21387e-4,7.84261e-4,3.95544e-4,cluster_2,ingroup,NA
PRJNA304164,SAMN04296348,Parus_major,male,Antwerp,NA,NA,NA,Europe,Belgium,973,51.16,4.29,GCF_001522545.3,Parus_major,49993475,0,865109,0.0173044,49989321,8.61718,-0.0919966,-0.00747605,3.50148e-4,1.72362e-4,2.56622e-5,-0.00104764,8.85956e-4,-3.50976e-4,4.66058e-4,-1.91565e-4,cluster_2,ingroup,NA
