BioProject,BioSample,Organism,Submitter_Id,sex,Locality,Country,Longitude,Latitude,Continent,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA255814,SAMN06619722,Passer_montanus,Pmontanus_1_Naxos_2,male,"GiardinaNaxos",Italy,"~ 15° 16' 12.""E","~ 37° 49'08.91"" N",Europe,GCA_001700915.1,Passer_domesticus,95014342,0,608832,0.00640779,32326577,12.5081,-0.31107,-0.0158635,-0.00517559,0.134519,0.627827,0.587079,-0.303373,0.0705098,0.0346342,-0.143396,cluster_3,outgroup,NA
PRJEB27649,SAMEA4785068,Passer_hispaniolensis,CSV01,male,Cape Verde,Cape Verde,"23°32'44.9"" W","15°08'07.5"" N",Africa,GCA_001700915.1,Passer_domesticus,95014342,0,614917,0.00647183,37217952,25.791,0.0224332,-0.105866,0.075812,4.1223e-4,-4.00545e-5,-4.07232e-4,5.61076e-4,8.14222e-4,-0.00113796,-2.20282e-4,cluster_1,outgroup,NA
PRJEB27649,SAMEA4785059,Passer_hispaniolensis,CSP17_151116,undetermined,Tenerife,Canary Islands,"16°33'28"" W","28°02'06"" N",Africa,GCA_001700915.1,Passer_domesticus,95014342,0,623974,0.00656716,37217977,26.3574,0.0215651,-0.0759879,0.0533719,-8.07563e-4,0.00351159,7.9052e-4,0.00227961,0.00185473,3.87774e-5,0.0030193,cluster_1,exclude,4
PRJEB27649,SAMEA4785061,Passer_hispaniolensis,CSP22_151116,male,Tenerife,Canary Islands,"16°33'28"" W","28°02'06"" N",Africa,GCA_001700915.1,Passer_domesticus,95014342,0,637144,0.00670577,37216798,21.8018,0.0215164,-0.0753408,0.0503334,-8.18515e-4,0.00237648,7.58303e-4,0.00141244,0.00165723,2.50535e-4,0.00202635,cluster_1,outgroup,NA
PRJEB27649,SAMEA4785063,Passer_hispaniolensis,CSP36_151116,male,Tenerife,Canary Islands,"16°33'28"" W","28°02'06"" N",Africa,GCA_001700915.1,Passer_domesticus,95014342,0,637162,0.00670596,37216658,21.8842,0.0213701,-0.0737812,0.0478343,-6.82421e-5,0.00282758,0.00110981,0.00108532,4.67374e-4,-8.92737e-4,0.00403656,cluster_1,outgroup,NA
PRJEB27649,SAMEA4785082,Passer_domesticus,FR046,male,Sales,France,"5°57'40"" E","45°52'27"" N",Europe,GCA_001700915.1,Passer_domesticus,95014342,0,652916,0.00687176,58584482,26.0201,0.0175233,0.0542439,-0.0844485,-7.62204e-4,0.00126191,-2.34116e-4,7.35148e-4,-0.00107074,6.31933e-4,0.00187168,cluster_4,ingroup,NA
PRJEB27649,SAMEA4785084,Passer_domesticus,FR049,male,Sales,France,"5°57'40"" E","45°52'27"" N",Europe,GCA_001700915.1,Passer_domesticus,95014342,0,654460,0.00688801,58584237,23.5346,0.0175487,0.0524124,-0.0945411,-0.0011119,6.58242e-4,-3.76933e-4,2.61109e-4,-7.21145e-4,0.00202282,6.16149e-4,cluster_4,ingroup,NA
PRJEB27649,SAMEA4785088,Passer_domesticus,FR063,male,Sales,France,"5°57'40"" E","45°52'27"" N",Europe,GCA_001700915.1,Passer_domesticus,95014342,0,659565,0.00694174,58584356,25.6968,0.0173958,0.0534662,-0.0908396,-6.82161e-5,0.00100984,-2.79076e-4,0.00207257,-0.00138467,0.00188299,7.05172e-4,cluster_4,ingroup,NA
PRJEB27649,SAMEA4785089,Passer_domesticus,FR064,male,Sales,France,"5°57'40"" E","45°52'27"" N",Europe,GCA_001700915.1,Passer_domesticus,95014342,0,673821,0.00709178,58583246,21.0159,0.0174701,0.0526118,-0.0878191,-6.90649e-4,2.11334e-4,-3.17605e-4,7.30188e-4,-2.57423e-4,0.00216101,6.80663e-4,cluster_4,ingroup,NA
PRJEB22939,SAMEA104363400,Passer_italiae,NA,male,Malta,Italy,NA,NA,Europe,GCA_001700915.1,Passer_domesticus,95014342,0,695491,0.00731985,46668164,15.3392,0.0209066,-0.0461556,0.00323653,0.00119957,-0.00120636,-2.49991e-4,-0.0011168,9.35596e-4,1.52139e-4,-8.51114e-4,cluster_2,outgroup,NA
