BioProject,BioSample,Organism,sex,Submitter_ID,Locality,Country,Continent,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA522329,SAMN10928619,Takifugu_rubripes,unknown,R21,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,449603,0.0187764,5786998,10.3409,-0.0409381,-0.137116,-0.0430849,-0.00112394,-0.00295271,-0.0085978,0.0227978,-1.15905e-4,0.0830083,0.233699,cluster_2,exclude,2
PRJNA522329,SAMN10928550,Takifugu_flavidus,unknown,F10,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,455186,0.0190095,7635912,8.3033,0.0025983,-0.0170479,0.338068,-0.158374,-0.203653,0.00403455,0.0161233,0.211651,-0.00616316,-0.00392523,cluster_1,exclude,1
PRJNA522329,SAMN10928603,Takifugu_rubripes,unknown,R03,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,455771,0.019034,5786831,9.20523,-0.0410692,-0.137534,-0.0428518,-0.00125877,0.00221122,0.00736338,-0.0172272,-0.00122901,-0.0664348,-0.192143,cluster_2,exclude,10
PRJNA522329,SAMN10928607,Takifugu_rubripes,unknown,R09,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,457858,0.0191211,5786822,10.4527,-0.0409688,-0.137199,-0.0432948,-4.22745e-4,0.0020235,0.00620627,-0.0128751,-1.55002e-4,-0.0585827,-0.161741,cluster_2,ingroup,6
PRJNA522329,SAMN10928549,Takifugu_flavidus,unknown,F08,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,485445,0.0202732,7635847,7.67035,0.00298627,-0.0171711,0.336528,-0.114929,0.870257,-0.00970756,0.00603636,-0.0796821,0.00832508,0.00468981,cluster_1,exclude,1
PRJNA522329,SAMN10928625,Takifugu_rubripes,unknown,R27,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,487700,0.0203674,5785493,8.55817,-0.0409592,-0.13667,-0.0427538,-0.0032979,-4.78631e-4,-0.00258108,0.0107802,-8.53177e-4,0.0387825,0.108447,cluster_2,ingroup,NA
PRJNA522329,SAMN10928605,Takifugu_rubripes,unknown,R07,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,493824,0.0206231,5786677,8.73508,-0.0410192,-0.136797,-0.0431193,-1.5088e-4,8.25614e-4,0.00208479,-0.00531678,-7.89544e-4,-0.0155782,-0.0447813,cluster_2,ingroup,NA
PRJNA522329,SAMN10928621,Takifugu_rubripes,unknown,R23,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,500765,0.020913,5785787,7.69903,-0.0410267,-0.136984,-0.0428063,-0.00109396,-0.00177417,-0.00385253,0.00783,4.6666e-4,0.0333255,0.0940299,cluster_2,ingroup,11
PRJNA522329,SAMN10928604,Takifugu_rubripes,unknown,R04,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,502330,0.0209784,5785865,7.43083,-0.0406648,-0.135693,-0.0423239,-4.93277e-4,2.19627e-4,0.00341423,-0.00904985,-7.30676e-4,-0.0343129,-0.0993524,cluster_2,ingroup,NA
PRJNA522329,SAMN10928616,Takifugu_rubripes,unknown,R18,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,503201,0.0210147,5786021,7.96847,-0.0411937,-0.137091,-0.0428505,-0.00255558,-2.9719e-4,-0.00307358,0.00548048,0.00104689,0.0214115,0.0630059,cluster_2,exclude,11
PRJNA522329,SAMN10928608,Takifugu_rubripes,unknown,R10,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,504111,0.0210528,5786371,8.27032,-0.0411086,-0.137517,-0.0432074,-7.95302e-4,0.00171467,0.00714709,-0.0146147,-3.66495e-4,-0.0631616,-0.175314,cluster_2,exclude,6
PRJNA522329,SAMN10928614,Takifugu_rubripes,unknown,R16,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,507529,0.0211955,5785772,8.23936,-0.0411343,-0.137583,-0.0432725,-0.00305565,0.00226103,0.00509588,-0.0178053,4.52175e-4,-0.0544728,-0.160598,cluster_2,exclude,8
PRJNA522329,SAMN10928622,Takifugu_rubripes,unknown,R24,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,519168,0.0216816,5786632,7.95675,-0.0410711,-0.13708,-0.0429647,-0.00234087,0.00214593,0.0059297,-0.0201597,-1.33484e-4,-0.0655784,-0.188603,cluster_2,exclude,8
PRJNA522329,SAMN10928610,Takifugu_rubripes,unknown,R12,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,541106,0.0225977,5785201,7.41996,-0.0409248,-0.136198,-0.0426136,-8.84649e-4,-0.00265349,-0.00509903,0.0114966,-9.00468e-4,0.0463209,0.133782,cluster_2,exclude,9
PRJNA522329,SAMN10928606,Takifugu_rubripes,unknown,R08,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,551829,0.0230456,5785677,7.00216,-0.0405495,-0.135422,-0.0421894,-0.00112446,-0.00361376,-0.00814111,0.022520600000000002,-3.49301e-5,0.0807302,0.233784,cluster_2,ingroup,NA
PRJNA522329,SAMN10928612,Takifugu_rubripes,unknown,R14,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,560116,0.0233916,5786601,7.18076,-0.0407886,-0.136098,-0.0419639,-9.19264e-4,9.42499e-4,0.00599902,-0.00886262,-0.00220135,-0.0505701,-0.139597,cluster_2,ingroup,4
PRJNA522329,SAMN10928617,Takifugu_rubripes,unknown,R19,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,563217,0.0235211,5785006,6.30638,-0.0412554,-0.13706,-0.0430334,-4.58804e-4,-0.00292406,-0.00836502,0.0194178,-0.00117408,0.0722027,0.2012,cluster_2,exclude,2
PRJNA522329,SAMN10928611,Takifugu_rubripes,unknown,R13,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,568733,0.0237515,5784898,6.28886,-0.0408017,-0.136346,-0.042454,-0.00123596,4.44428e-4,0.0047909,-0.0078771,-0.00255632,-0.0470701,-0.128527,cluster_2,exclude,4
PRJNA522329,SAMN10928602,Takifugu_rubripes,unknown,R02,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,574513,0.0239929,5784704,6.47459,-0.0409399,-0.136905,-0.0428539,-0.00235587,0.00123681,0.00455828,-0.0157299,2.33698e-4,-0.0562313,-0.160664,cluster_2,ingroup,NA
PRJNA522329,SAMN10928628,Takifugu_rubripes,unknown,R31,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,578902,0.0241762,5783580,6.63145,-0.0409854,-0.137183,-0.0430926,-0.00290797,-0.00177194,-0.00257648,0.0048262,0.00146093,0.0187731,0.0559734,cluster_2,exclude,11
PRJNA522329,SAMN10928558,Takifugu_alboplumbeus,unknown,N04,"Bohai Bay, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,627288,0.0261969,10495817,12.1684,0.229662,0.0328051,-0.0372411,-0.00240977,-0.00583276,-0.174383,0.0139884,0.0100838,0.0640851,-0.0912784,cluster_3,outgroup,NA
PRJNA522329,SAMN10928556,Takifugu_alboplumbeus,unknown,N02,"Bohai Bay, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,637578,0.0266266,10495668,11.8177,0.228803,0.0330228,-0.0370589,-0.00538667,-0.00153133,-0.155876,-0.013627,-0.0152403,0.0314996,-0.0311584,cluster_3,outgroup,NA
PRJNA522329,SAMN10928557,Takifugu_alboplumbeus,unknown,N03,"Bohai Bay, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,645960,0.0269767,10496184,16.5258,0.228764,0.0326064,-0.0374671,-2.12365e-4,-0.00233392,-0.0782591,-0.119022,0.0197895,0.0229929,-0.0113708,cluster_3,outgroup,NA
PRJNA522329,SAMN10928569,Takifugu_alboplumbeus,unknown,N24,"Bohai Bay, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,712722,0.0297648,10491899,10.1357,0.22876,0.0327526,-0.037447,-0.0112219,-0.0137027,-0.296272,0.223731,0.0192624,0.34286,-0.0866875,cluster_3,outgroup,NA
PRJNA522329,SAMN10928564,Takifugu_alboplumbeus,unknown,N17,"Bohai Bay, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,759562,0.0317209,10490718,11.1028,0.228399,0.0327158,-0.0367059,-5.69279e-4,0.00292043,-0.136743,0.0387039,-0.00443466,-0.0304492,0.00452855,cluster_3,outgroup,NA
PRJNA522329,SAMN10928561,Takifugu_alboplumbeus,unknown,N09,"Bohai Bay, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,767901,0.0320692,10489790,10.0634,0.228551,0.0323671,-0.0368137,-0.00112936,0.00412756,-0.109951,-0.097544,-0.0021214,0.249116,-0.0809751,cluster_3,outgroup,NA
PRJNA522329,SAMN10928562,Takifugu_alboplumbeus,unknown,N13,"Bohai Bay, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,790176,0.0329994,10490563,9.97532,0.227624,0.0322857,-0.0362754,0.00140975,-0.00354142,0.0137223,-0.0500821,0.00570883,0.292346,-0.0947768,cluster_3,outgroup,NA
PRJNA522329,SAMN10928563,Takifugu_alboplumbeus,unknown,N15,"Bohai Bay, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,794771,0.0331913,10489197,9.93855,0.227801,0.0322209,-0.0360599,-0.00820483,4.23325e-5,0.0871683,0.165816,-0.0208784,-0.318261,0.0800328,cluster_3,outgroup,NA
PRJNA522329,SAMN10928559,Takifugu_alboplumbeus,unknown,N07,"Bohai Bay, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,801174,0.0334587,10489179,11.1897,0.228284,0.0324391,-0.0364483,-0.00401707,0.0141423,0.0421583,0.0780481,-0.0160062,0.0542071,-0.0154167,cluster_3,outgroup,NA
PRJNA522329,SAMN10928570,Takifugu_alboplumbeus,unknown,N29,"Bohai Bay, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,809532,0.0338078,10488639,9.44612,0.228732,0.0322844,-0.0369984,0.00231174,0.00307308,0.00346475,0.105298,-0.013538,-0.0673626,0.0298414,cluster_3,outgroup,NA
PRJNA522329,SAMN10928565,Takifugu_alboplumbeus,unknown,N20,"Bohai Bay, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,823888,0.0344073,10488006,8.90106,0.227766,0.0327582,-0.0369815,0.00545647,0.00169764,-0.220708,-0.133468,0.00176607,-0.444995,0.183841,cluster_3,outgroup,NA
PRJNA522329,SAMN10928579,Takifugu_obscurus,unknown,OO16,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,839476,0.0350583,9285392,9.38813,-0.075738,0.122535,-0.0301597,-0.00196197,0.00147587,-4.86048e-4,-9.16736e-4,0.00216286,3.8954e-4,-0.00264431,cluster_5,outgroup,5
PRJNA522329,SAMN10928599,Takifugu_obscurus,unknown,OO39,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,849626,0.0354822,9285304,9.24501,-0.0754473,0.121594,-0.0295452,-0.00298132,6.44008e-4,0.00156163,0.00105513,0.00251082,-0.00526996,-0.00584189,cluster_5,outgroup,3
PRJNA522329,SAMN10928560,Takifugu_alboplumbeus,unknown,N08,"Bohai Bay, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,852263,0.0355923,10485834,8.78368,0.228129,0.0324748,-0.0363244,-0.0033165,-0.0125852,-0.0981007,0.36952,-0.091344,-0.432114,0.107106,cluster_3,outgroup,NA
PRJNA522329,SAMN10928568,Takifugu_alboplumbeus,unknown,N23,"Bohai Bay, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,852802,0.0356148,10486749,8.61172,0.226921,0.0320625,-0.0362891,-0.00131861,-0.00384579,-0.0603499,-0.372855,0.0623591,0.241723,-0.0813618,cluster_3,outgroup,NA
PRJNA522329,SAMN10928580,Takifugu_obscurus,unknown,OO17,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,856616,0.0357741,9283244,8.56996,-0.0760648,0.122459,-0.0299374,-0.00197204,0.00231303,-4.23661e-4,-4.42899e-5,0.00254703,7.98241e-4,-0.00380843,cluster_5,exclude,5
PRJNA522329,SAMN10928595,Takifugu_obscurus,unknown,OO34,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,880916,0.0367889,9283305,8.50286,-0.0750806,0.120614,-0.0294664,-0.00152495,8.49498e-4,-0.00167459,8.93815e-5,-0.00136253,0.0011699,-3.05312e-4,cluster_4,outgroup,NA
PRJNA522329,SAMN10928596,Takifugu_obscurus,unknown,OO36,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,882445,0.0368528,9282453,8.11186,-0.0752551,0.120504,-0.0295373,2.79913e-5,-0.00113887,-0.00081050200000000005,-7.60727e-4,-0.00242494,-5.72613e-5,0.00135265,cluster_4,outgroup,12
PRJNA522329,SAMN10928600,Takifugu_obscurus,unknown,OO40,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,882723,0.0368644,9282550,7.78147,-0.0756738,0.121666,-0.0295715,-3.29962e-4,0.00213927,-1.34089e-4,-0.00162739,0.00229235,5.80742e-4,-0.00516447,cluster_5,exclude,5
PRJNA522329,SAMN10928571,Takifugu_obscurus,unknown,OO06,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,890535,0.0371906,9283173,7.92611,-0.0752526,0.120965,-0.02955,-3.32682e-4,-0.00194551,-0.00290206,-2.75356e-4,-0.00151294,0.00168933,-2.62917e-4,cluster_4,outgroup,NA
PRJNA522329,SAMN10928588,Takifugu_obscurus,unknown,OO25,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,899637,0.0375708,9282949,7.96423,-0.0754837,0.121267,-0.029513,-0.00160886,0.00150899,0.00188493,-0.00203408,0.00152714,6.4179e-4,-1.69879e-4,cluster_5,exclude,5
PRJNA522329,SAMN10928576,Takifugu_obscurus,unknown,OO12,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,902329,0.0376832,9283206,7.94746,-0.0757683,0.121932,-0.0300446,-0.00109233,0.00198047,8.30596e-4,-7.69919e-4,-7.30925e-4,0.00198923,-0.00118532,cluster_5,exclude,5
PRJNA522329,SAMN10928584,Takifugu_obscurus,unknown,OO21,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,906379,0.0378523,9282380,7.84531,-0.0755322,0.121306,-0.0292402,-0.00161566,-0.00243935,9.00105e-4,0.00192568,-0.00165027,3.16469e-4,0.00337033,cluster_5,outgroup,NA
PRJNA522329,SAMN10928592,Takifugu_obscurus,unknown,OO30,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,915121,0.0382174,9282882,7.64528,-0.0755532,0.121747,-0.0296937,-0.00156173,1.09645e-4,0.00100907,3.73187e-4,0.00234992,-0.00486379,-0.00433574,cluster_5,exclude,3
PRJNA522329,SAMN10928589,Takifugu_obscurus,unknown,OO26,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,921378,0.0384787,9281695,7.79561,-0.0754164,0.121398,-0.0296409,-0.00194047,-8.5193e-4,0.00204311,0.0018068,-0.00193984,0.00209174,5.28983e-4,cluster_5,exclude,5
PRJNA522329,SAMN10928575,Takifugu_obscurus,unknown,OO10,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,923056,0.0385488,9282486,7.61218,-0.0749854,0.119701,-0.0290049,-7.73531e-4,-0.00244863,5.0632e-4,4.77012e-4,-8.12327e-6,0.00154256,0.00393381,cluster_4,outgroup,NA
PRJNA522329,SAMN10928573,Takifugu_obscurus,unknown,OO08,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,927442,0.038732,9281960,7.32059,-0.07503,0.120611,-0.0295549,7.37985e-5,5.81904e-4,-0.00116252,9.48681e-4,-0.00105073,0.00111644,-2.70772e-4,cluster_4,outgroup,NA
PRJNA522329,SAMN10928574,Takifugu_obscurus,unknown,OO09,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,929314,0.0388101,9282225,7.61003,-0.0750511,0.120151,-0.0292459,-7.01252e-4,-0.00184405,6.29e-4,-3.50663e-4,-0.00165086,3.91241e-4,2.75644e-4,cluster_4,outgroup,NA
PRJNA522329,SAMN10928566,Takifugu_alboplumbeus,unknown,N21,"Bohai Bay, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,929929,0.0388358,10483310,6.85106,0.227107,0.0321306,-0.0364934,0.00696865,-0.0013776,0.73736,0.415299,-0.00877595,0.177325,-0.0804601,cluster_3,outgroup,NA
PRJNA522329,SAMN10928591,Takifugu_obscurus,unknown,OO28,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,943543,0.0394044,9281458,7.03629,-0.075605,0.120505,-0.0301511,-0.00183155,-0.00130004,-0.00150271,-9.18534e-4,-5.30605e-4,-6.514e-4,0.00200167,cluster_4,exclude,12
PRJNA522329,SAMN10928597,Takifugu_obscurus,unknown,OO37,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,957515,0.0399879,9281032,6.98423,-0.0743859,0.11891,-0.0285918,0.0015986,9.13884e-4,4.14734e-4,-0.00198321,3.23651e-4,0.00213818,8.69957e-4,cluster_4,outgroup,NA
PRJNA522329,SAMN10928586,Takifugu_obscurus,unknown,OO23,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,960218,0.0401008,9280523,7.35742,-0.0751603,0.120492,-0.0296123,-5.01483e-4,5.37913e-4,-4.29881e-4,0.00141723,1.53791e-5,-7.38558e-4,-9.03545e-4,cluster_4,outgroup,NA
PRJNA522329,SAMN10928587,Takifugu_obscurus,unknown,OO24,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,964522,0.0402805,9280607,7.2287,-0.075485,0.120663,-0.0301877,-0.00222442,-5.55117e-4,-0.00238488,-0.00153614,-0.00135607,-3.36037e-4,0.00203475,cluster_4,exclude,12
PRJNA522329,SAMN10928572,Takifugu_obscurus,unknown,OO07,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,967614,0.0404096,9280920,7.45029,-0.0756201,0.121513,-0.0297602,-0.00307832,3.97057e-4,0.00185541,5.24541e-4,4.57108e-4,-0.0045756,-0.00464621,cluster_5,exclude,3
PRJNA522329,SAMN10928585,Takifugu_obscurus,unknown,OO22,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,975154,0.0407245,9280316,7.09059,-0.0755778,0.121119,-0.0298895,-7.80382e-4,-0.00102024,-1.61148e-4,0.00188076,-0.00174333,0.00236013,0.00104525,cluster_5,outgroup,7
PRJNA522329,SAMN10928593,Takifugu_obscurus,unknown,OO32,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,976990,0.0408012,9280540,6.86656,-0.0752025,0.120255,-0.0297266,-0.00121629,-5.45093e-5,-0.00112574,-0.00123075,1.97532e-4,-2.80322e-4,0.00174613,cluster_4,outgroup,NA
PRJNA522329,SAMN10928578,Takifugu_obscurus,unknown,OO15,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,994809,0.0415453,9279610,6.44422,-0.0754284,0.120859,-0.0298725,-0.00223525,-4.23133e-4,-1.57255e-4,2.98747e-5,0.00260297,-0.00341139,-0.00274874,cluster_4,outgroup,NA
PRJNA522329,SAMN10928598,Takifugu_obscurus,unknown,OO38,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,995844,0.0415886,9279511,6.73952,-0.0751518,0.120507,-0.0294725,-0.00144931,9.89829e-5,3.3262e-4,5.09555e-4,-0.00145782,-0.00212445,-0.00231908,cluster_4,exclude,3
PRJNA522329,SAMN10928582,Takifugu_obscurus,unknown,OO19,"Haian, Jiangsu",China,Asia,GCF_901000725.2,Takifugu_rubripes,23945136,0,996008,0.0415954,9277522,7.5181,-0.0757239,0.121103,-0.0298941,-6.2485e-4,-0.00168523,-4.00758e-4,0.00226038,-0.00263614,0.00103338,0.00234891,cluster_5,exclude,7
