BioProject,BioSample,Organism,sex,Submitter_ID,FAO_Fishing_Area,Country,Locality,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJEB14402,SAMEA4032517,Thunnus_albacares,missing,SOU003,"Atlantic, Southeast",South Africa,"Cape Town, 34° S, 18° E",GCA_900302625.1,Thunnus_albacares,41137503,0,1728552,0.0420189,41108439,5.91978,-0.0236938,-0.101153,0.0105829,0.027876,0.145416,0.0744168,-0.166416,-0.100752,-0.106271,-0.221052,cluster_3,ingroup,NA
PRJEB14402,SAMEA4032512,Thunnus_albacares,missing,OMA004,"Indian Ocean, Western",Oman,"Barka, local fish market",GCA_900302625.1,Thunnus_albacares,41137503,0,1736867,0.042221,41063251,12.3235,-0.0333837,0.373955,0.26287,0.116265,-0.186647,0.262668,-0.602341,0.0163218,-0.0595914,0.296982,cluster_2,ingroup,NA
PRJEB14402,SAMEA4032508,Thunnus_albacares,missing,JAP105,"Pacific, Northwest",Japan,near Okinawa Island,GCA_900302625.1,Thunnus_albacares,41137503,0,1762684,0.0428486,41108983,5.71538,-0.0173321,-0.125413,0.0698032,0.0151214,-0.0124462,0.031706,-0.0826257,-0.143749,0.0335884,0.0325873,cluster_3,ingroup,NA
PRJEB14402,SAMEA4032496,Thunnus_albacares,missing,IVO013,"Atlantic, Eastern Central",Ivory Coast,Abidjan,GCA_900302625.1,Thunnus_albacares,41137503,0,1769572,0.043016,41107555,6.55637,-0.0309752,0.08013,-0.289259,-0.232551,-0.187226,-0.019716,0.00806775,-0.207376,-0.256233,0.0615033,cluster_2,ingroup,NA
PRJEB14402,SAMEA4032509,Thunnus_albacares,missing,JAP106,"Pacific, Northwest",Japan,near Okinawa Island,GCA_900302625.1,Thunnus_albacares,41137503,0,1800374,0.0437648,41106143,5.70062,-0.021115,-0.140451,0.00903507,0.00608852,0.0913423,-0.0669681,-0.0150313,-0.00890618,0.0461666,0.0306209,cluster_3,ingroup,NA
PRJEB14402,SAMEA4032497,Thunnus_albacares,missing,IVO014,"Atlantic, Eastern Central",Ivory Coast,Abidjan,GCA_900302625.1,Thunnus_albacares,41137503,0,1807026,0.0439265,41091954,10.0521,-0.0298992,0.0562584,-0.40887,-0.393575,-0.383127,-0.139155,0.00621324,-0.226439,-0.259354,0.165615,cluster_2,ingroup,NA
PRJEB14402,SAMEA4032516,Thunnus_albacares,missing,SOU002,"Atlantic, Southeast",South Africa,"Cape Town, 34° S, 18° E",GCA_900302625.1,Thunnus_albacares,41137503,0,1879379,0.0456853,41106842,5.50346,-0.0252474,-0.0953771,-0.0133807,0.0205712,0.147443,0.0279569,-0.0148123,0.0283862,-0.0377136,-0.0342455,cluster_3,ingroup,NA
PRJEB14402,SAMEA4032487,Thunnus_albacares,missing,CAP252,"Atlantic, Eastern Central",Republic of Cabo Verde,Mindelo,GCA_900302625.1,Thunnus_albacares,41137503,0,1886232,0.0458519,41103183,5.75545,-0.0276175,0.0702102,-0.152734,0.0221951,0.117506,0.118316,-0.026228,0.134119,0.0200836,-0.193298,cluster_2,ingroup,NA
PRJEB14402,SAMEA4032522,Thunnus_albacares,missing,SOU012,"Atlantic, Southeast",South Africa,"Cape Town, 34° S, 18° E",GCA_900302625.1,Thunnus_albacares,41137503,0,1890010,0.0459437,41104623,5.58545,-0.0237182,-0.0540816,-0.0257473,-0.0775279,0.104839,-0.0737524,-0.0409741,-0.0120139,0.0494148,-0.0134271,cluster_3,ingroup,NA
PRJEB14402,SAMEA4032498,Thunnus_albacares,missing,IVO015,"Atlantic, Eastern Central",Ivory Coast,Abidjan,GCA_900302625.1,Thunnus_albacares,41137503,0,1921390,0.0467065,41103335,6.7858,-0.0234478,0.0604266,-0.0827267,0.101596,0.0381575,0.277258,0.393727,-0.079634,0.00336235,-0.0554429,cluster_2,ingroup,NA
