BioProject,BioSample,Organism,sex,Submitter_Id,Lake,Sampling_Year,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJEB38173,SAMEA6815746,Amphilophus_supercilius,missing,Apo_sup_d_ben_MO251,CL Apoyo,2007,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,292411,0.0171615,4318284,15.2464,-0.0757503,-0.0101934,-0.00432214,0.0048082,0.00420989,0.00802588,-0.0567629,0.00356048,-8.63805e-4,0.00208219,cluster_5,exclude,14
PRJEB38173,SAMEA6815689,Amphilophus_chancho,missing,Apo_cl3_d_ben_18034,CL Apoyo,2014,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,296994,0.0174305,4286370,20.7404,-0.0795003,-0.012742,-0.00616445,0.0101062,0.00602719,-0.028572,-0.163468,0.0053016,-0.00732098,-0.00957563,cluster_10,exclude,10
PRJEB38173,SAMEA6816094,Amphilophus_xiloaensis,missing,Xil_xil_d_ben_19501,CL Xiloá,2015,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,298560,0.0175224,4635136,17.8652,0.041253,-0.0907367,-0.0158622,0.0107203,-0.0373985,0.00225676,5.47124e-4,0.00685093,0.00381116,-8.14837e-4,cluster_1,exclude,2
PRJEB38173,SAMEA6815771,Amphilophus_zaliosus,missing,Apo_zal_d_lim_18413,CL Apoyo,2014,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,300400,0.0176304,4540057,21.4001,-0.0746115,-0.0109814,-0.00447727,6.02786e-5,0.00278079,-0.118067,0.0655796,-0.015815,3.9473e-4,0.0017797,cluster_5,outgroup,NA
PRJEB38173,SAMEA6816091,Amphilophus_xiloaensis,missing,Xil_xil_d_ben_17975,CL Xiloá,2015,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,301162,0.0176751,4635682,20.7931,0.041208,-0.0895554,-0.017052,0.00888486,-0.0343172,0.00579854,3.71498e-4,0.00860355,0.00203328,0.00626071,cluster_1,outgroup,NA
PRJEB38173,SAMEA6815688,Amphilophus_chancho,missing,Apo_cl3_d_ben_18011,CL Apoyo,2014,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,304915,0.0178954,4286682,20.6073,-0.0803965,-0.0125298,-0.00648363,0.00780338,0.00642864,-0.0362343,-0.177287,0.008259,-0.0083153,-0.00477137,cluster_10,exclude,10
PRJEB38173,SAMEA6815772,Amphilophus_zaliosus,missing,Apo_zal_d_lim_19349,CL Apoyo,2015,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,305790,0.0179467,4539576,18.5115,-0.0775197,-0.0129044,-0.00637131,9.40558e-4,0.00659029,-0.164352,0.104791,-0.0177031,0.00422172,0.00271693,cluster_10,exclude,11
PRJEB38173,SAMEA6815763,Amphilophus_zaliosus,missing,Apo_zal_d_lim_07678,CL Apoyo,2014,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,305987,0.0179583,4539540,18.7516,-0.0757095,-0.0113222,-0.00443189,-2.40932e-4,0.00415969,-0.141618,0.0847764,-0.014702,0.00523298,0.00306995,cluster_5,exclude,11
PRJEB38173,SAMEA6815732,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_18036,CL Apoyo,2014,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,306273,0.0179751,4875096,21.2096,-0.0746329,-0.0116076,-0.00345077,0.00634546,0.00409501,0.017187,-0.0201053,2.51439e-4,6.90622e-4,-9.74927e-4,cluster_5,exclude,10
PRJEB38173,SAMEA6815724,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_12440,CL Apoyo,2010,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,307683,0.0180578,4875640,23.0535,-0.0752281,-0.0103061,-0.00436391,0.00644166,0.00447774,0.0197482,-0.00745627,-0.00113114,0.00316095,0.00174285,cluster_5,exclude,10
PRJEB38173,SAMEA6816062,Amphilophus_viridis,missing,Xil_vir_d_ben_13016,CL Xiloá,2010,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,307787,0.0180639,5512725,24.4041,0.0395345,-0.0637976,-0.00895259,0.00196708,-0.030144,0.00101599,0.00180253,-0.0166722,0.00598041,-0.0054274,cluster_8,outgroup,NA
PRJEB38173,SAMEA6815747,Amphilophus_supercilius,missing,Apo_sup_d_ben_MO252,CL Apoyo,2007,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,308629,0.0181133,4318293,15.3319,-0.0761474,-0.0107204,-0.00359125,0.00666912,0.00251553,0.0164729,-0.0534955,0.00774927,-3.03873e-4,-0.00533308,cluster_5,outgroup,NA
PRJEB38173,SAMEA6815743,Amphilophus_supercilius,missing,Apo_sup_d_ben_MO164,CL Apoyo,2007,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,308831,0.0181252,4318590,15.1793,-0.0749744,-0.0102936,-0.00624308,0.00787737,0.0053668,0.0137171,-0.0511871,0.00676142,3.75123e-4,-1.07775e-4,cluster_5,outgroup,NA
PRJEB38173,SAMEA6815660,Amphilophus_astorquii,missing,Apo_cl2_d_ben_07674,CL Apoyo,2014,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,310496,0.0182229,5174233,19.3285,-0.0705709,-0.00702156,-1.90736e-4,0.00108127,-2.99644e-4,-0.00421761,-0.0181993,0.00978891,0.00235767,-0.0020687,cluster_5,outgroup,NA
