BioProject,BioSample,Organism,sex,Country,Continent,lat_lon,Submitter_Id,Collection_date,Location,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJEB27858,SAMEA4799792,Hypoplectrus_gummigutta,missing,Panama,North America,9.3775 N 82.3039 E,18449,2004-07-03,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,0,0,4688479,40.3095,0.0590243,-0.00784728,0.0597866,-0.0573686,-0.475291,-0.0752368,-0.434989,0.337224,-0.263614,0.189609,cluster_8,outgroup,NA
PRJEB27858,SAMEA4799755,Hypoplectrus_puella,missing,Panama,North America,9.3681 N 82.2928 E,27678,2013-04-12,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,73443,0.00317692,16615565,277.563,0.00963488,0.270268,0.14293,-0.702433,-0.430341,0.191754,0.259775,-0.0556848,0.281078,-0.0644351,cluster_2,ingroup,NA
PRJEB27858,SAMEA4799706,Hypoplectrus_nigricans,missing,Panama,North America,NA,16_21-30,2016,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,307577,0.0133049,16103727,70.2621,-0.274259,0.0645929,-0.0888764,0.0145938,-0.10791,0.0474075,-0.0409156,0.1205,-0.181353,0.102131,cluster_1,outgroup,NA
PRJEB27858,SAMEA4799789,Hypoplectrus_unicolor,missing,Panama,North America,9.3328 N 82.2547 E,18448,2004-06-28,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,332943,0.0144021,16580123,22.2442,0.0671571,0.113604,-0.160522,0.0478646,0.0454538,-0.105095,-0.0984051,0.00139124,0.17277,-0.105016,cluster_3,outgroup,NA
PRJEB27858,SAMEA4799787,Hypoplectrus_unicolor,missing,Panama,North America,9.3328 N 82.2547 E,18446,2004-06-29,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,333292,0.0144172,16580398,22.3729,0.0591689,0.0868803,-0.101369,0.0495245,0.00655281,-0.0993573,-0.0497304,-0.0335658,0.122094,0.0473725,cluster_3,outgroup,NA
PRJEB27858,SAMEA4799763,Hypoplectrus_unicolor,missing,Belize,North America,16.8008 N 88.0789 E,20120,2005-08-11,Carrie Bow Cay,GCA_900610375.1,Hypoplectrus_puella,23117652,0,338948,0.0146619,16582726,25.3515,0.0675652,-0.0554564,0.0105848,0.0616795,-0.104941,0.13578,-0.133296,-0.174426,-0.00679807,-0.172669,cluster_5,outgroup,NA
PRJEB27858,SAMEA4799784,Hypoplectrus_unicolor,missing,Panama,North America,9.3328 N 82.2547 E,18441,2004-06-25,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,341945,0.0147915,16579787,21.4394,0.057846,0.0949098,-0.105168,0.0359559,0.0104391,-0.0712653,-0.0850574,-0.0356998,0.138302,0.034497,cluster_3,outgroup,NA
PRJEB27858,SAMEA4799782,Hypoplectrus_unicolor,missing,Panama,North America,9.3328 N 82.2547 E,18439,2004-06-25,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,342936,0.0148344,16579811,20.2039,0.0579848,0.109485,-0.141235,3.64233e-4,0.063222,-0.100265,-0.0596571,-0.0190902,0.210027,-0.00371089,cluster_3,outgroup,NA
PRJEB27858,SAMEA4799744,Hypoplectrus_puella,missing,Panama,North America,10.2392 N 83.1731 E,18421,2004-05-12,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,354629,0.0153402,16611774,19.0715,0.0124917,0.108966,0.0912265,-0.0619347,0.117042,-0.0729489,-0.0709935,-0.0323148,-0.0867233,-0.0094299,cluster_7,ingroup,NA
PRJEB27858,SAMEA4799700,Hypoplectrus_nigricans,missing,Honduras,North America,15.9558 N 83.2931 E,20605,2006-06-04,Cayos Becerros,GCA_900610375.1,Hypoplectrus_puella,23117652,0,356237,0.0154097,16103789,19.0404,0.0134097,-0.0611548,0.0591412,0.044528,-0.0539079,-0.113478,0.0852541,0.0770698,-0.0477727,-0.103116,cluster_4,outgroup,NA
PRJEB27858,SAMEA4799756,Hypoplectrus_unicolor,missing,Belize,North America,16.7653 N 88.1442 E,18163,2004-07-25,Carrie Bow Cay,GCA_900610375.1,Hypoplectrus_puella,23117652,0,356434,0.0154183,16582069,20.0034,0.0517899,-0.0200471,-0.0974519,-0.00491299,-0.071835,0.210593,0.00643685,-0.187166,-0.217479,-0.131772,cluster_8,outgroup,NA
PRJEB27858,SAMEA4799791,Hypoplectrus_unicolor,missing,Panama,North America,9.3481 N 82.2633 E,18454,2004-06-30,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,358281,0.0154982,16579637,19.4315,0.0532661,0.109917,-0.235383,0.0130741,0.032016,-0.0595268,-0.0115051,0.0111778,0.0490059,-0.0459951,cluster_3,outgroup,NA
PRJEB27858,SAMEA4799694,Hypoplectrus_nigricans,missing,Honduras,North America,15.9558 N 83.2931 E,20599,2006-06-04,Cayos Becerros,GCA_900610375.1,Hypoplectrus_puella,23117652,0,359237,0.0155395,16103519,20.2124,0.0126529,-0.0414753,0.0616018,0.0412186,-0.059709,-0.147882,0.128591,0.0781377,-0.0474191,-0.180067,cluster_4,outgroup,NA
PRJEB27858,SAMEA4799745,Hypoplectrus_puella,missing,Panama,North America,9.3775 N 82.3039 E,18422,2004-05-12,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,359261,0.0155405,16611444,19.2231,0.0139032,0.13636,0.0887372,-0.0912454,0.1187,-0.0551593,-0.0514429,-0.0941752,-0.0816476,-0.0256779,cluster_7,ingroup,NA
