Organism,BioProject,BioSample,sex,Submitter_Id,Locality,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
Clupea_pallasii,PRJNA642736,SAMN15398036,unknown,Pacific30_Vancouver_Pacific_rg3,Canada:Vancouver,GCF_900700415.1,Clupea_harengus,55155261,0,1759701,0.0319045,20045399,17.8895,-0.36299,0.00366848,0.00341957,-2.18886e-4,0.00122694,-9.52547e-4,-2.53058e-4,-3.00429e-4,0.00259993,7.60289e-4,cluster_3,outgroup,NA
Clupea_pallasii,PRJNA642736,SAMN15398036,unknown,Pacific30_Vancouver_Pacific_rg2,Canada:Vancouver,GCF_900700415.1,Clupea_harengus,55155261,0,1759701,0.0319045,20045399,17.8895,-0.36299,0.00366848,0.00341957,-2.18886e-4,0.00122694,-9.52547e-4,-2.53058e-4,-3.00429e-4,0.00259993,7.60289e-4,cluster_3,outgroup,NA
Clupea_harengus,PRJNA642736,SAMN15398055,unknown,Gavle98_Gavle_Baltic_Autumn_rg1,Baltic Sea: Gavle,GCF_900700415.1,Clupea_harengus,55155261,0,2247246,0.040744,43537142,39.4512,0.0854292,-0.180976,-0.0533983,0.0568554,-0.0206308,0.0177922,-0.05473,-0.0282431,-0.0380009,-0.00830491,cluster_5,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398059,unknown,Fehmarn44_Fehmarn_Baltic_Autumn_rg1,Baltic Sea: Fehmarn,GCF_900700415.1,Clupea_harengus,55155261,0,2264943,0.0410649,43519900,24.7493,0.0856241,-0.181065,-0.0485036,0.0530178,-0.00357948,0.0149958,-0.0719294,-0.0341287,-0.0316158,0.00378566,cluster_5,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398056,unknown,Gavle100_Gavle_Baltic_Autumn_rg1,Baltic Sea: Gavle,GCF_900700415.1,Clupea_harengus,55155261,0,2276161,0.0412682,43537245,45.5317,0.0839236,-0.187391,-0.0449781,0.0580744,-0.0190033,0.0077051,-0.061252,-0.027243,-0.0187458,-0.0275375,cluster_5,ingroup,NA
Clupea_harengus,PRJNA356817,SAMN06127788,female,ABPF,Sweden:Hästskär,GCF_900700415.1,Clupea_harengus,55155261,0,2283972,0.0414099,43542780,46.7178,0.0821137,-0.16938,-0.0607343,0.0446019,-0.0116434,0.00510478,-0.0321756,-0.0268885,-0.0309577,-0.0056279,cluster_5,ingroup,NA
Clupea_harengus,PRJNA356817,SAMN06127787,male,ABPM,Sweden:Hästskär,GCF_900700415.1,Clupea_harengus,55155261,0,2355841,0.0427129,43544132,50.8734,0.082624,-0.185469,-0.0476532,0.0555972,0.00202117,0.0193271,-0.0273847,-0.0259827,-0.02588,-0.0113124,cluster_5,ingroup,NA
Clupea_harengus,PRJNA356817,SAMN06127780,female,AAPF,Norway:Bergen,GCF_900700415.1,Clupea_harengus,55155261,0,2394630,0.0434162,43542540,49.2318,0.0844936,-0.158579,-0.0459838,0.0276547,-0.0114052,0.0198573,-0.0259251,-0.0245996,0.00696816,-0.0311169,cluster_5,ingroup,NA
Clupea_harengus,PRJNA356817,SAMN06127779,male,AAPM,Norway:Bergen,GCF_900700415.1,Clupea_harengus,55155261,0,2412700,0.0437438,43544358,47.1905,0.0860533,-0.168436,-0.0309632,0.0430254,-0.0119518,0.00546307,-0.0226987,-0.0192791,-0.0061906,-0.0264076,cluster_5,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398058,unknown,Fehmarn6_Fehmarn_Baltic_Autumn_rg1,Baltic Sea: Fehmarn,GCF_900700415.1,Clupea_harengus,55155261,0,2687816,0.0487318,43524737,25.0381,0.0855983,-0.154252,-0.054613,0.0470393,-0.0112065,0.00214546,-0.0392783,-0.0288843,-0.0356072,-0.0104419,cluster_5,ingroup,NA
