BioSample,BioProject,Organism,sex,Strain,refGenome,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
SAMN18196693,PRJNA323498,Hirundo rustica,male,gutturalis,GCA_015227805.2,108225922,0,10858473,0.100332,108165226,5.73361,-0.0853236,0.0133891,0.0312146,0.0270825,0.00683948,0.0532867,0.0381662,0.0346069,-0.0291712,-0.00589025,cluster_1,ingroup,NA
SAMN18196703,PRJNA323498,Hirundo rustica,male,gutturalis,GCA_015227805.2,108225922,0,10864357,0.100386,108164451,5.08463,-0.0899384,0.00700867,0.0333665,0.0366815,-0.00312506,0.0348715,0.0235687,0.0304577,-0.0191363,0.00241335,cluster_1,ingroup,NA
SAMN18196796,PRJNA323498,Hirundo rustica,male,tytleri-gutturalis,GCA_015227805.2,108225922,0,10922507,0.100923,108165093,5.54773,-0.0194622,-0.00774155,-0.0720484,0.0175777,-0.024613,0.0635524,0.00601663,-0.00832245,-0.0444635,-7.23599e-4,cluster_3,ingroup,NA
SAMN18196788,PRJNA323498,Hirundo rustica,male,tytleri-gutturalis,GCA_015227805.2,108225922,0,11030166,0.101918,108163949,5.16132,-0.0348325,-0.00410312,-0.0441889,0.0150547,-0.0360579,0.0567311,6.7473e-4,0.03188,-0.00418745,0.0223864,cluster_3,ingroup,NA
SAMN18196787,PRJNA323498,Hirundo rustica,female,tytleri-gutturalis,GCA_015227805.2,108225922,0,11071212,0.102297,108169386,5.51054,-0.0543713,0.00401941,-0.0142854,-6.92771e-5,-0.00634672,-0.0490921,-0.010774,-0.0140006,0.0137519,0.0157391,cluster_3,ingroup,NA
SAMN18196755,PRJNA323498,Hirundo rustica,female,rustica,GCA_015227805.2,108225922,0,11090154,0.102472,108167182,4.59702,0.0846491,-0.0302885,0.0387198,-0.125141,0.0277318,-0.0601267,-0.0830661,-0.144603,-0.0962565,0.0608203,cluster_2,ingroup,NA
SAMN18196772,PRJNA323498,Hirundo rustica,male,tytleri-gutturalis,GCA_015227805.2,108225922,0,11227479,0.103741,108165695,5.04759,-0.00231478,-8.32323e-4,-0.103246,0.00174069,-0.0490316,0.0813617,-0.0141177,-0.020205999999999998,-0.0241868,0.0687367,cluster_3,ingroup,NA
SAMN18196675,PRJNA323498,Hirundo rustica,male,gutturalis,GCA_015227805.2,108225922,0,11261464,0.104055,108167874,5.56625,-0.119815,0.0116504,0.0825959,0.035173,0.037966,0.0465612,0.0492563,0.0149404,0.0034463,0.0107641,cluster_1,ingroup,NA
SAMN18196790,PRJNA323498,Hirundo rustica,male,tytleri-gutturalis,GCA_015227805.2,108225922,0,11280404,0.10423,108167430,5.74921,-0.00911764,-0.00599848,-0.0927278,0.0198421,-0.0602551,0.0678634,0.0162971,0.035906,-0.016752,0.0537949,cluster_3,ingroup,NA
SAMN18196708,PRJNA323498,Hirundo rustica,female,rustica-gutturalis,GCA_015227805.2,108225922,0,11293543,0.104352,108169352,5.00041,-0.0473243,0.00289539,0.0724517,-0.0326723,0.0347929,-0.063044,-0.0281747,-0.0454106,0.0173337,-0.0128656,cluster_3,ingroup,NA
SAMN18196807,PRJNA323498,Hirundo rustica,female,tytleri,GCA_015227805.2,108225922,0,11334535,0.10473,108166704,4.6475,-2.15306e-4,-0.00178707,-0.125668,-0.0159176,-0.0730503,-0.0551046,-0.0827948,-0.0252714,0.0691543,0.0113793,cluster_3,ingroup,NA
SAMN18196756,PRJNA323498,Hirundo rustica,male,rustica,GCA_015227805.2,108225922,0,11355403,0.104923,108165172,5.00381,0.0882327,-0.0265242,0.0406302,-0.0777878,0.00193698,0.0748647,-0.0075913,-0.0337461,-0.0478142,0.0652204,cluster_2,ingroup,NA
SAMN18196764,PRJNA323498,Hirundo rustica,female,rustica,GCA_015227805.2,108225922,0,11356239,0.104931,108166126,4.79195,0.125399,-0.0263387,0.0302752,-0.0745139,0.0157873,-0.175146,0.100077,0.041909,-0.0639856,-0.069617,cluster_5,ingroup,NA
SAMN18196773,PRJNA323498,Hirundo rustica,male,tytleri-gutturalis,GCA_015227805.2,108225922,0,11374753,0.105102,108163317,5.18126,-0.0411502,0.00321818,-0.034329,0.0179358,-0.0201602,0.0542134,-6.22976e-4,0.0129539,-2.26214e-4,0.0164532,cluster_3,ingroup,NA
SAMN18196762,PRJNA323498,Hirundo rustica,female,rustica,GCA_015227805.2,108225922,0,11394036,0.10528,108171698,5.65093,0.119378,-0.0251081,0.0287228,-0.0269246,0.0083351,-0.111666,0.0865966,-0.00403077,-0.031029,0.0115936,cluster_5,ingroup,NA
SAMN18196765,PRJNA323498,Hirundo rustica,male,rustica,GCA_015227805.2,108225922,0,11444778,0.105749,108167195,5.23079,0.125123,-0.0292272,0.0294187,-0.0340638,0.0068457,0.0277348,0.113665,0.104286,-0.0219815,-0.00825191,cluster_5,ingroup,NA
SAMN18196791,PRJNA323498,Hirundo rustica,female,tytleri-gutturalis,GCA_015227805.2,108225922,0,11458355,0.105874,108169593,5.42987,-0.035462,6.06896e-4,-0.0470994,0.00222496,-0.0466731,-0.0671625,-0.0331587,-0.0209064,0.0198716,0.0238578,cluster_3,ingroup,NA
SAMN18196763,PRJNA323498,Hirundo rustica,male,rustica,GCA_015227805.2,108225922,0,11478039,0.106056,108169653,5.65854,0.120286,-0.033689,0.0286932,-0.0177559,-0.0163264,0.00531091,0.111444,0.0705599,-0.0512696,-0.0142922,cluster_5,ingroup,NA
SAMN18196674,PRJNA323498,Hirundo rustica,male,gutturalis,GCA_015227805.2,108225922,0,11538099,0.106611,108164682,5.81926,-0.12091,0.0132552,0.0779011,0.0401988,0.00808606,0.0329149,0.0457124,0.0408867,0.00501838,-0.0166441,cluster_1,ingroup,NA
SAMN18196812,PRJNA323498,Hirundo rustica,male,tytleri,GCA_015227805.2,108225922,0,11565958,0.106869,108166381,4.9175,0.00251676,-0.00878399,-0.11355,0.00593038,-0.0667042,0.0638478,-0.0252388,0.0123174,0.00807151,0.0105281,cluster_3,ingroup,NA
SAMN18196686,PRJNA323498,Hirundo rustica,male,gutturalis,GCA_015227805.2,108225922,0,11584567,0.107041,108162655,5.04273,-0.0675832,0.00941733,0.0635346,0.0151012,0.0237976,0.0402172,0.0352006,0.0249273,-0.00933748,0.00167224,cluster_1,ingroup,NA
SAMN18196757,PRJNA323498,Hirundo rustica,male,rustica,GCA_015227805.2,108225922,0,11635134,0.107508,108164733,4.61385,0.0913671,-0.0219052,0.0421639,-0.0856369,0.00811089,0.0993579,-0.0175402,-0.0153932,-0.0476902,0.10684,cluster_2,ingroup,NA
SAMN18196716,PRJNA323498,Hirundo rustica,female,rustica-gutturalis,GCA_015227805.2,108225922,0,11643781,0.107588,108166359,4.84428,-0.0862809,0.00797286,0.0562092,-0.008023,0.0278495,-0.0631845,0.00237131,-0.0210498,0.023149,-0.0223052,cluster_1,ingroup,NA
SAMN18196786,PRJNA323498,Hirundo rustica,female,tytleri-gutturalis,GCA_015227805.2,108225922,0,11660373,0.107741,108164514,4.71649,-0.0503998,0.00468047,-0.0421431,-0.00176033,-0.0442822,-0.0548809,-0.0125568,-0.00850948,-0.0400618,-0.0197318,cluster_3,ingroup,NA
SAMN18196706,PRJNA323498,Hirundo rustica,female,rustica-gutturalis,GCA_015227805.2,108225922,0,11662500,0.107761,108166943,4.63334,0.0468103,-0.0144337,0.116953,-0.194938,0.0649483,-0.0217072,-0.228087,-0.0716396,0.0914823,-0.0519666,cluster_2,ingroup,NA
SAMN18196797,PRJNA323498,Hirundo rustica,male,transitiva,GCA_015227805.2,108225922,0,11681263,0.107934,108167934,5.44553,0.162004,-0.0493814,0.0750186,0.383264,-0.0112597,0.124912,0.0539313,-0.409221,0.129164,-0.0997037,cluster_5,ingroup,NA
SAMN18196785,PRJNA323498,Hirundo rustica,male,tytleri-gutturalis,GCA_015227805.2,108225922,0,11754649,0.108612,108167600,5.1897,-0.0233314,0.00162467,-0.069061,0.00909655,-0.0512661,0.069803,0.0108015,0.0203286,-0.0294952,0.0332938,cluster_3,ingroup,NA
SAMN18196810,PRJNA323498,Hirundo rustica,female,tytleri,GCA_015227805.2,108225922,0,11770631,0.10876,108166925,4.98478,-0.00578538,-0.0101772,-0.303903,0.041678,0.620458,-0.05434,0.0249538,-0.0135268,0.0090946,-0.0230037,cluster_3,ingroup,NA
SAMN18196702,PRJNA323498,Hirundo rustica,male,gutturalis,GCA_015227805.2,108225922,0,11878233,0.109754,108161546,4.69288,-0.0961891,0.00473541,0.0411256,0.0316719,0.00389924,0.046423,0.0380469,0.0228469,-0.0257658,0.0145342,cluster_1,ingroup,NA
SAMN18196804,PRJNA323498,Hirundo rustica,female,transitiva,GCA_015227805.2,108225922,0,11923076,0.110168,108170706,4.99286,0.165834,-0.0359152,0.0733984,0.350991,0.0263638,-0.210023,-0.319912,0.366059,-0.0667671,0.107623,cluster_5,ingroup,NA
SAMN18196766,PRJNA323498,Hirundo rustica,male,rustica,GCA_015227805.2,108225922,0,11986515,0.110755,108168178,5.00728,0.122,-0.0291362,0.0271282,-0.0242135,0.00293963,0.030251,0.131954,0.0774403,-0.0540869,-0.0274097,cluster_5,ingroup,NA
SAMN18196783,PRJNA323498,Hirundo rustica,female,tytleri-gutturalis,GCA_015227805.2,108225922,0,11988257,0.110771,108169460,5.53131,-0.0149551,-0.00639518,-0.0845911,-0.012513,-0.04969,-0.047503,-0.0358416,-0.00911374,0.0288784,0.0277707,cluster_3,ingroup,NA
SAMN18196753,PRJNA323498,Hirundo rustica,male,rustica,GCA_015227805.2,108225922,0,12105013,0.111849,108163026,4.36873,0.0885701,-0.0323832,0.028246,-0.0909528,0.0372936,0.0757049,-0.0052654,0.0066846,-0.107073,0.069426,cluster_2,ingroup,NA
SAMN18196692,PRJNA323498,Hirundo rustica,male,gutturalis,GCA_015227805.2,108225922,0,12141894,0.11219,108161451,4.60215,-0.0860869,0.00647314,0.0180127,0.0187712,-0.0061798,0.0514825,0.0409365,0.0153232,-0.0300213,-0.00191458,cluster_1,ingroup,NA
SAMN18196731,PRJNA323498,Hirundo rustica,female,rustica-tytleri,GCA_015227805.2,108225922,0,12144444,0.112214,108167481,4.81197,0.00660153,-0.00309837,-0.133973,-0.0270595,-0.0505428,-0.0832567,-0.0624799,-0.0429456,0.0216183,0.010239,cluster_3,ingroup,NA
SAMN18196760,PRJNA323498,Hirundo rustica,male,rustica,GCA_015227805.2,108225922,0,12146877,0.112236,108165005,5.01709,0.115088,-0.0331821,0.0534784,-0.052625,0.00583437,0.0981962,0.0663576,-0.0098338,-0.0898272,0.00110735,cluster_5,ingroup,NA
SAMN18196770,PRJNA323498,Hirundo rustica,male,tytleri-gutturalis,GCA_015227805.2,108225922,0,12150295,0.112268,108167323,5.04303,-0.00930504,-0.00924513,-0.0815189,0.00204806,-0.0468957,0.0788472,0.014897,0.0226093,0.00743115,0.00815199,cluster_3,ingroup,NA
SAMN18196695,PRJNA323498,Hirundo rustica,male,gutturalis,GCA_015227805.2,108225922,0,12252319,0.113211,108164963,5.15962,-0.097554,0.00375044,0.0286653,0.0392955,0.0142419,0.0516355,0.040564,0.0136578,-0.00277302,-6.20391e-4,cluster_1,ingroup,NA
SAMN18196684,PRJNA323498,Hirundo rustica,female,gutturalis,GCA_015227805.2,108225922,0,12346469,0.114081,108165422,4.64393,-0.109258,0.0177044,0.0749991,0.021555,0.0162205,-0.0539791,0.0155051,-0.0148425,-0.0165625,-0.022747,cluster_1,ingroup,NA
SAMN18196683,PRJNA323498,Hirundo rustica,male,gutturalis,GCA_015227805.2,108225922,0,12415070,0.114714,108164139,5.00226,-0.107544,0.0130479,0.0816531,0.0283788,0.0195903,0.0359025,0.0457374,0.03875,-0.0135391,4.20425e-4,cluster_1,ingroup,NA
SAMN18196732,PRJNA323498,Hirundo rustica,male,rustica-tytleri,GCA_015227805.2,108225922,0,12439284,0.114938,108160953,4.36027,0.0845245,-0.0285436,-0.033674,-0.0281064,0.00669459,0.0740897,0.0646882,0.071464,-0.100505,0.052366,cluster_2,ingroup,NA
SAMN18196726,PRJNA323498,Hirundo rustica,male,rustica-gutturalis,GCA_015227805.2,108225922,0,12460357,0.115133,108168727,6.10668,0.0598998,-0.0226011,0.0906502,-0.0996876,0.041826,0.107226,-0.0937296,0.00269269,0.0372678,-0.00740039,cluster_2,ingroup,NA
SAMN18196780,PRJNA323498,Hirundo rustica,female,tytleri-gutturalis,GCA_015227805.2,108225922,0,12471042,0.115232,108168912,5.12914,-0.0359054,0.00134314,-0.0593744,-0.0109709,-0.0559291,-0.062843,-0.0220979,-0.0775379,0.010736,0.00449756,cluster_3,ingroup,NA
SAMN18196710,PRJNA323498,Hirundo rustica,female,rustica-gutturalis,GCA_015227805.2,108225922,0,12482090,0.115334,108167110,4.62496,-0.0460666,0.00147182,0.0875926,-0.00373854,0.0320253,-0.0580431,-0.0267504,-0.0234001,0.0116513,-0.00469252,cluster_3,ingroup,NA
SAMN18196701,PRJNA323498,Hirundo rustica,female,gutturalis,GCA_015227805.2,108225922,0,12495411,0.115457,108160584,4.20638,-0.100252,0.0138598,0.0472251,0.0233706,0.0071011,-0.0906805,0.0147993,-0.0128237,0.0163251,-0.0105823,cluster_1,ingroup,NA
SAMN18196673,PRJNA323498,Hirundo rustica,female,gutturalis,GCA_015227805.2,108225922,0,12537999,0.11585,108165632,4.51953,-0.0876845,0.0120254,0.014892,0.0130335,-0.00868349,-0.0733378,2.73812e-4,-0.0133719,0.0200401,-0.0216517,cluster_1,ingroup,NA
SAMN18196722,PRJNA323498,Hirundo rustica,male,rustica-gutturalis,GCA_015227805.2,108225922,0,12551882,0.115979,108165245,4.778,0.0438997,-0.0145046,0.108691,-0.116537,0.0469864,0.144471,-0.138585,-0.00540401,-0.00823603,0.00115495,cluster_2,ingroup,NA
SAMN18196688,PRJNA323498,Hirundo rustica,male,gutturalis,GCA_015227805.2,108225922,0,12631020,0.11671,108163274,4.81367,-0.0840181,0.0042209,0.0557156,0.0346335,0.0201487,0.0480715,0.0336186,0.0229185,-0.0138869,0.00308894,cluster_1,ingroup,NA
SAMN18196806,PRJNA323498,Hirundo rustica,female,tytleri,GCA_015227805.2,108225922,0,12680313,0.117165,108165842,4.57687,-8.51958e-5,-0.00583633,-0.107956,-0.0500092,-0.0875991,-0.0730936,-0.0937688,-0.0562757,0.0214524,0.00791953,cluster_3,ingroup,NA
SAMN18196782,PRJNA323498,Hirundo rustica,female,tytleri-gutturalis,GCA_015227805.2,108225922,0,12799889,0.11827,108156419,4.73764,-0.0214086,-0.00501137,-0.0844269,-0.0100028,-0.0411812,-0.0651911,-0.0406958,-0.0547972,-0.00554025,0.0161605,cluster_3,ingroup,NA
SAMN18196748,PRJNA323498,Hirundo rustica,male,rustica,GCA_015227805.2,108225922,0,12844967,0.118687,108164471,4.2829,0.101588,-0.0282675,-0.00216494,-0.049407,0.00732681,0.0631133,0.100948,0.0434322,-0.0305732,0.00468836,cluster_5,ingroup,NA
SAMN18196779,PRJNA323498,Hirundo rustica,male,tytleri-gutturalis,GCA_015227805.2,108225922,0,12868012,0.1189,108165641,5.04695,-0.0205143,-0.00516604,-0.0693613,0.00857171,-0.0382615,0.0649866,-0.00277164,0.00683565,-0.039171,0.0277112,cluster_3,ingroup,NA
SAMN18196745,PRJNA323498,Hirundo rustica,female,rustica,GCA_015227805.2,108225922,0,12918650,0.119367,108167480,4.48251,0.109684,-0.0272628,0.0147301,-0.0742069,-0.0192399,-0.118966,0.0885581,-0.00469517,0.0246282,-0.0530772,cluster_5,ingroup,NA
