BioSample,BioProject,Organism,sex,Strain,refGenome,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
SAMN18196738,PRJNA323498,Hirundo rustica,female,rustica-tytleri,GCA_015227805.2,108225922,0,13842162,0.127901,108164764,4.05153,0.0107836,-0.00710108,-0.121441,-0.0272023,-0.0492376,-0.0684106,-0.0433294,-0.0585242,-0.0179714,-0.017862,cluster_3,ingroup,NA
SAMN18196811,PRJNA323498,Hirundo rustica,male,tytleri,GCA_015227805.2,108225922,0,13861814,0.128082,108164782,4.29692,6.91003e-4,-0.0113523,-0.10896,0.00765354,-0.0609487,0.0785568,-9.37724e-4,0.00752755,-0.0141754,0.0616288,cluster_3,ingroup,NA
SAMN18196729,PRJNA323498,Hirundo rustica,male,rustica-tytleri,GCA_015227805.2,108225922,0,13885319,0.128299,108164702,4.49775,0.00472546,-0.00923405,-0.111837,-0.00703785,-0.0938332,0.0859604,-0.0404046,0.00215984,-0.0265589,0.088071,cluster_3,ingroup,NA
SAMN18196672,PRJNA323498,Hirundo rustica,female,gutturalis,GCA_015227805.2,108225922,0,13907643,0.128506,108158210,4.13935,-0.0791543,0.010668,0.00228199,0.00600975,0.0051902,-0.0626179,-0.00416513,-0.0163702,0.00747194,0.0135996,cluster_1,ingroup,NA
SAMN18196725,PRJNA323498,Hirundo rustica,male,rustica-gutturalis,GCA_015227805.2,108225922,0,13940162,0.128806,108166225,4.33271,0.0488702,-0.0125559,0.0919447,-0.109677,0.0548196,0.110194,-0.106273,-0.00610076,0.0120948,0.0251045,cluster_2,ingroup,NA
SAMN18196697,PRJNA323498,Hirundo rustica,male,gutturalis,GCA_015227805.2,108225922,0,13982601,0.129198,108163634,4.606,-0.106981,0.00959734,0.0437602,0.0388594,-0.00825752,0.0584222,0.0388897,0.0128297,-0.0100342,-0.0090565,cluster_1,ingroup,NA
SAMN18196736,PRJNA323498,Hirundo rustica,male,rustica-tytleri,GCA_015227805.2,108225922,0,13983717,0.129209,108163125,4.13301,-0.00205277,-0.00857799,-0.10307,0.00741534,-0.0641471,0.0738551,-0.00594553,-0.0247621,-0.0232729,0.0744055,cluster_3,ingroup,NA
SAMN18196747,PRJNA323498,Hirundo rustica,male,rustica,GCA_015227805.2,108225922,0,14068225,0.129989,108164488,4.17201,0.107184,-0.0300247,0.0114713,-0.0249743,-0.0104233,0.0535727,0.188068,0.00371901,-0.0726426,-0.0375924,cluster_5,ingroup,NA
SAMN18196741,PRJNA323498,Hirundo rustica,male,rustica-tytleri,GCA_015227805.2,108225922,0,14131570,0.130575,108164815,4.38666,0.0947173,-0.0266918,-0.00428863,-0.0371903,0.00594336,0.056762,0.097388,0.0251185,-0.0126216,0.0526143,cluster_2,ingroup,NA
SAMN18196730,PRJNA323498,Hirundo rustica,female,rustica-tytleri,GCA_015227805.2,108225922,0,14134843,0.130605,108165069,3.99491,-0.00119309,-0.006611,-0.148632,-0.026201,-0.0902877,-0.0607185,-0.0595054,-0.0960026,-0.0307266,0.0153023,cluster_3,ingroup,NA
SAMN18196752,PRJNA323498,Hirundo rustica,male,rustica,GCA_015227805.2,108225922,0,14200612,0.131213,108165083,4.86685,0.0676461,-0.0255747,0.104169,-0.12323,0.0756539,0.141852,-0.14958,-0.0131399,0.0474918,-0.00415409,cluster_2,ingroup,NA
SAMN18196775,PRJNA323498,Hirundo rustica,male,tytleri-gutturalis,GCA_015227805.2,108225922,0,14308199,0.132207,108163376,4.16291,-0.017626,-2.53993e-4,-0.0884254,0.0112517,-0.0665255,0.100659,0.0288352,-0.00480464,-0.0739637,0.074061,cluster_3,ingroup,NA
SAMN18196682,PRJNA323498,Hirundo rustica,male,gutturalis,GCA_015227805.2,108225922,0,14450547,0.133522,108166350,4.67099,-0.111985,0.0104749,0.067403,0.0527297,0.0215316,0.0460273,0.0380187,0.0369685,0.00925193,-0.0094264,cluster_1,ingroup,NA
SAMN18196768,PRJNA323498,Hirundo rustica,male,tytleri-gutturalis,GCA_015227805.2,108225922,0,14566792,0.134596,108164857,4.77771,-0.071764,0.00402663,0.00749872,0.0311227,-0.0143164,0.0579068,0.0352298,0.0410633,-0.0200064,-0.00648293,cluster_1,ingroup,NA
SAMN18196694,PRJNA323498,Hirundo rustica,female,gutturalis,GCA_015227805.2,108225922,0,14603180,0.134932,108162000,4.30394,-0.102221,0.0110178,0.0315684,0.0205989,-0.0245772,-0.074468,0.0339172,0.00123628,-7.67165e-4,-0.00590475,cluster_1,ingroup,NA
SAMN18196777,PRJNA323498,Hirundo rustica,male,tytleri-gutturalis,GCA_015227805.2,108225922,0,14951745,0.138153,108165631,4.31644,-0.0157342,-0.00907071,-0.0992014,0.0108875,-0.0497569,0.0699345,0.00578063,-0.00715629,-0.0622291,0.0592561,cluster_3,ingroup,NA
SAMN18196696,PRJNA323498,Hirundo rustica,female,gutturalis,GCA_015227805.2,108225922,0,14959807,0.138228,108168319,4.43729,-0.0938646,0.0156641,0.0397113,0.00217886,-0.0168397,-0.0882926,0.00985471,-0.0140718,0.00758233,-0.00720111,cluster_1,ingroup,NA
SAMN18196759,PRJNA323498,Hirundo rustica,female,rustica,GCA_015227805.2,108225922,0,15069205,0.139238,108166144,3.92258,0.123709,-0.0268317,0.0209271,-0.0267111,-0.0199409,-0.17552,0.138342,-0.0135199,0.0121076,-0.00756365,cluster_5,ingroup,NA
SAMN18196750,PRJNA323498,Hirundo rustica,male,rustica,GCA_015227805.2,108225922,0,15204963,0.140493,108163602,3.79759,0.0915784,-0.0232982,-0.0143039,-0.0253498,-0.0274897,0.0813728,0.125782,0.0472754,-0.12593,0.109193,cluster_2,ingroup,NA
SAMN18196746,PRJNA323498,Hirundo rustica,female,rustica,GCA_015227805.2,108225922,0,15395276,0.142251,108167391,3.8391,0.123867,-0.0301676,0.0172448,-0.0582957,-0.0520698,-0.165847,0.106783,0.0209278,0.00333443,-0.00712937,cluster_5,ingroup,NA
SAMN18196678,PRJNA323498,Hirundo rustica,female,gutturalis,GCA_015227805.2,108225922,0,15979711,0.147651,108168836,4.03381,-0.122155,0.0201659,0.0788131,0.0417327,0.00988847,-0.0707031,0.00541885,-0.0014935,0.0202843,-0.0169078,cluster_1,ingroup,NA
SAMN18196776,PRJNA323498,Hirundo rustica,male,tytleri-gutturalis,GCA_015227805.2,108225922,0,16261231,0.150253,108162130,3.65005,-0.0164283,-0.00703897,-0.0880823,0.0128109,-0.078012,0.108565,0.0237357,0.0435324,-0.00683056,0.109473,cluster_3,ingroup,NA
SAMN18196778,PRJNA323498,Hirundo rustica,male,tytleri-gutturalis,GCA_015227805.2,108225922,0,16416713,0.151689,108166485,3.98232,-0.0134254,-0.00404592,-0.115453,-0.00141436,-0.0331187,0.0854185,-0.00505499,0.039945,-0.0231779,0.0949988,cluster_3,ingroup,NA
SAMN18196728,PRJNA323498,Hirundo rustica,male,rustica-tytleri,GCA_015227805.2,108225922,0,16613023,0.153503,108163523,3.5765,0.0149323,-0.00974962,-0.122463,0.00653036,-0.0656525,0.0813088,-0.0317731,-0.0120057,-0.0336461,0.102737,cluster_3,ingroup,NA
SAMN18196744,PRJNA323498,Hirundo rustica,male,rustica,GCA_015227805.2,108225922,0,18027000,0.166568,108165086,3.4384,0.129007,-0.0368281,0.0176991,-0.0586313,0.00418213,0.0975281,0.388269,0.245368,-0.0385469,-0.280962,cluster_5,ingroup,NA
SAMN18196749,PRJNA323498,Hirundo rustica,female,rustica,GCA_015227805.2,108225922,0,18469427,0.170656,108163400,3.12653,0.105799,-0.0213896,-0.0122084,-0.0783757,-0.00838857,-0.223592,0.218358,-0.0660325,0.519991,0.367548,cluster_5,ingroup,NA
SAMN18196784,PRJNA323498,Hirundo rustica,female,tytleri-gutturalis,GCA_015227805.2,108225922,0,22717154,0.209905,108165480,2.73662,-0.00477132,-9.52554e-4,-0.154634,-0.0513431,-0.0860396,-0.127088,-0.164596,-0.149688,-0.379759,-0.55456,cluster_3,exclude,NA
SAMN18196689,PRJNA323498,Hirundo rustica,female,gutturalis,GCA_015227805.2,108225922,0,25203772,0.232881,108169752,2.55015,-0.118204,0.0165411,0.0908738,0.0491247,0.0354129,-0.094307,0.0338606,-0.0153451,-0.00423769,-0.0751796,cluster_1,exclude,NA
SAMN18196805,PRJNA323498,Hirundo rustica,male,tytleri,GCA_015227805.2,108225922,0,26233981,0.2424,108165660,2.3781,-0.00151695,-0.00974512,-0.161664,-0.0262087,-0.0946632,0.179083,-0.0843574,0.313921,0.620534,-0.498015,cluster_3,exclude,NA
SAMN18196742,PRJNA323498,Hirundo rustica,female,rustica-tytleri,GCA_015227805.2,108225922,0,33363207,0.308274,108163945,1.61608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
SAMN18196751,PRJNA323498,Hirundo rustica,female,rustica,GCA_015227805.2,108225922,0,41316569,0.381762,108166849,1.27292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
