BioSample,SampleType
SAMN13737509,outgroup
SAMN13737514,outgroup
SAMN13737513,outgroup
SAMN13737508,outgroup
SAMN13737505,outgroup
SAMN08952581,ingroup
SAMN13737511,outgroup
SAMN13737506,outgroup
SAMN13737507,outgroup
SAMN08952582,ingroup
SAMN13737512,outgroup
SAMN08952576,ingroup
SAMN08952551,ingroup
SAMN08952572,ingroup
SAMN08952567,ingroup
SAMN13737510,outgroup
SAMN08952546,ingroup
SAMN08952550,ingroup
SAMN08952578,ingroup
SAMN08952565,ingroup
SAMN08952563,ingroup
SAMN08952580,ingroup
SAMN08952559,ingroup
SAMN08952568,ingroup
SAMN08952552,ingroup
SAMN08952574,exclude
SAMN08952583,ingroup
SAMN08952558,ingroup
SAMN08952557,ingroup
SAMN08952569,ingroup
SAMN08952575,ingroup
SAMN08952579,ingroup
SAMN08952560,exclude
SAMN08952548,ingroup
SAMN08952545,ingroup
SAMN08952544,ingroup
SAMN08952571,ingroup
SAMN08952547,ingroup
SAMN08952573,ingroup
SAMN08952566,ingroup
SAMN08952577,ingroup
SAMN08952564,ingroup
SAMN08952556,exclude
SAMN08952555,ingroup
SAMN08952549,ingroup
SAMN08952554,ingroup
SAMN08952553,ingroup
SAMN08952561,ingroup
SAMN08952562,ingroup
SAMN08952570,ingroup
