BioProject,BioSample,Organism,sex,Submitter_Id,Country,Continent,Locality,lat_lon,Ecotype,refGenome,refSpecies
PRJDB2614,SAMD00013064,Gasterosteus_aculeatus,missing,SAMD00013064,Japan,Asia,Japan: Akkeshi,"43.069444 N\, 144.886837 E",marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB2614,SAMD00013068,Gasterosteus_aculeatus,missing,SAMD00013068,Japan,Asia,Japan: Akkeshi,"43.069444 N\, 144.886837 E",marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB2614,SAMD00013057,Gasterosteus_aculeatus,missing,SAMD00013057,Japan,Asia,Japan: Akkeshi,"43.099569 N\, 144.881902 E",marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB2614,SAMD00013056,Gasterosteus_aculeatus,missing,SAMD00013056,Japan,Asia,Japan: Akkeshi,"43.099569 N\, 144.881902 E",marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056765,Gasterosteus_aculeatus,missing,SAMD00056765,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056767,Gasterosteus_aculeatus,missing,SAMD00056767,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056772,Gasterosteus_aculeatus,missing,SAMD00056772,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056774,Gasterosteus_aculeatus,missing,SAMD00056774,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056779,Gasterosteus_aculeatus,missing,SAMD00056779,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056780,Gasterosteus_aculeatus,missing,SAMD00056780,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056784,Gasterosteus_aculeatus,female,SAMD00056784,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,stream,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056786,Gasterosteus_aculeatus,female,SAMD00056786,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,stream,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056794,Gasterosteus_aculeatus,male,SAMD00056794,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,stream,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056795,Gasterosteus_aculeatus,male,SAMD00056795,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,stream,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056797,Gasterosteus_aculeatus,male,SAMD00056797,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,stream,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056766,Gasterosteus_aculeatus,missing,SAMD00056766,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056770,Gasterosteus_aculeatus,missing,SAMD00056770,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056773,Gasterosteus_aculeatus,missing,SAMD00056773,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056775,Gasterosteus_aculeatus,missing,SAMD00056775,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056777,Gasterosteus_aculeatus,missing,SAMD00056777,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
