BioProject,BioSample,Organism,sex,Submitter_Id,Lake,Sampling_Year,refGenome,refSpecies
PRJEB38173,SAMEA6815880,Amphilophus_labiatus,missing,Man_lab_d_lip_02582,GL Managua,2013,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815881,Amphilophus_labiatus,missing,Man_lab_d_lip_02583,GL Managua,2013,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815882,Amphilophus_labiatus,missing,Man_lab_d_lip_05002,GL Managua,2005,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815883,Amphilophus_labiatus,missing,Man_lab_d_lip_05249,GL Managua,2005,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815884,Amphilophus_labiatus,missing,Man_lab_d_lip_05251,GL Managua,2005,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815885,Amphilophus_labiatus,missing,Man_lab_d_lip_05335,GL Managua,2005,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815886,Amphilophus_labiatus,missing,Man_lab_d_lip_05598,GL Managua,2005,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815887,Amphilophus_labiatus,missing,Man_lab_d_lip_05600,GL Managua,2005,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815888,Amphilophus_labiatus,missing,Man_lab_d_lip_05816,GL Managua,2005,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815889,Amphilophus_labiatus,missing,Man_lab_d_lip_05819,GL Managua,2005,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815890,Amphilophus_labiatus,missing,Man_lab_d_lip_05825,GL Managua,2005,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815891,Amphilophus_labiatus,missing,Man_lab_d_lip_13345,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815892,Amphilophus_labiatus,missing,Man_lab_d_lip_13346,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815893,Amphilophus_labiatus,missing,Man_lab_d_lip_13348,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815894,Amphilophus_labiatus,missing,Man_lab_d_lip_13351,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815895,Amphilophus_labiatus,missing,Man_lab_d_lip_13356,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815896,Amphilophus_labiatus,missing,Man_lab_d_lip_13357,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815897,Amphilophus_labiatus,missing,Man_lab_d_lip_13360,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815898,Amphilophus_labiatus,missing,Man_lab_d_lip_13933,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815899,Amphilophus_labiatus,missing,Man_lab_d_lip_13936,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815900,Amphilophus_labiatus,missing,Man_lab_d_lip_14027,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815901,Amphilophus_labiatus,missing,Man_lab_d_lip_14598,GL Managua,2012,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815902,Amphilophus_labiatus,missing,Man_lab_g_lip_13361,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815968,Amphilophus_labiatus,missing,Nic_lab_d_lip_02515,GL Nicaragua,2013,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815970,Amphilophus_labiatus,missing,Nic_lab_d_lip_02518,GL Nicaragua,2013,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815971,Amphilophus_labiatus,missing,Nic_lab_d_lip_02535,GL Nicaragua,2013,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815972,Amphilophus_labiatus,missing,Nic_lab_d_lip_03680,GL Nicaragua,2003,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815973,Amphilophus_labiatus,missing,Nic_lab_d_lip_03681,GL Nicaragua,2003,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815974,Amphilophus_labiatus,missing,Nic_lab_d_lip_05757,GL Nicaragua,2005,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815975,Amphilophus_labiatus,missing,Nic_lab_d_lip_12607,GL Nicaragua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815976,Amphilophus_labiatus,missing,Nic_lab_d_lip_14001,GL Nicaragua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815977,Amphilophus_labiatus,missing,Nic_lab_d_lip_14003,GL Nicaragua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815978,Amphilophus_labiatus,missing,Nic_lab_d_lip_14005,GL Nicaragua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815979,Amphilophus_labiatus,missing,Nic_lab_d_lip_19553,GL Nicaragua,2015,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815980,Amphilophus_labiatus,missing,Nic_lab_g_lip_02520,GL Nicaragua,2013,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815981,Amphilophus_labiatus,missing,Nic_lab_g_lip_02521,GL Nicaragua,2013,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815983,Amphilophus_labiatus,missing,Nic_lab_g_lip_02572,GL Nicaragua,2013,GCA_013435755.1,Amphilophus_citrinellus
