BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMEA3166420,CZC_461398_450,GCF_000247815.1,ERR692054,Ficedula_albicollis,PRJEB7359
SAMEA3166421,CZC_48837_450,GCF_000247815.1,ERR692055,Ficedula_albicollis,PRJEB7359
SAMEA3166422,CZC_73077_450,GCF_000247815.1,ERR692056,Ficedula_albicollis,PRJEB7359
SAMEA3166423,CZC_82259_450,GCF_000247815.1,ERR692057,Ficedula_albicollis,PRJEB7359
SAMEA3166425,CZC_82348_450,GCF_000247815.1,ERR692059,Ficedula_albicollis,PRJEB7359
SAMEA3166426,CZC_82352_450,GCF_000247815.1,ERR692060,Ficedula_albicollis,PRJEB7359
SAMEA3166427,CZC_82355_450,GCF_000247815.1,ERR692061,Ficedula_albicollis,PRJEB7359
SAMEA3166428,CZC_82356_450,GCF_000247815.1,ERR692062,Ficedula_albicollis,PRJEB7359
SAMEA3166429,CZC_83353_450,GCF_000247815.1,ERR692063,Ficedula_albicollis,PRJEB7359
SAMEA3166430,CZC_83359_450,GCF_000247815.1,ERR692064,Ficedula_albicollis,PRJEB7359
SAMEA3166431,CZC_91319_450,GCF_000247815.1,ERR692065,Ficedula_albicollis,PRJEB7359
SAMEA3166432,CZC_91360_450,GCF_000247815.1,ERR692066,Ficedula_albicollis,PRJEB7359
SAMEA2785397,OC_HB9_450,GCF_000247815.1,ERR637377,Ficedula_albicollis,PRJEB7359
SAMEA3166415,CZC_382648_450,GCF_000247815.1,ERR692049,Ficedula_albicollis,PRJEB7359
SAMEA2785566,I_G13-2_450,GCF_000247815.1,ERR637513,Ficedula_albicollis,PRJEB7359
SAMEA3166416,CZC_382761_450,GCF_000247815.1,ERR692050,Ficedula_albicollis,PRJEB7359
SAMEA2785573,I_LZ-1_450,GCF_000247815.1,ERR637520,Ficedula_albicollis,PRJEB7359
SAMEA3166424,CZC_82317_450,GCF_000247815.1,ERR692058,Ficedula_albicollis,PRJEB7359
SAMEA3868732,library_SAMEA3868732,GCF_000247815.1,ERR1254817,Ficedula_albicollis,PRJEB12616
