BioProject,BioSample,Organism,Submitter_Id,sex,Locality,Country,Longitude,Latitude,Continent,refGenome,refSpecies
PRJEB27649,SAMEA4785070,Passer_italiae,Crotone498,male,Crotone,Italy,"17°06'59.4"" E","39°04'31.7"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785071,Passer_italiae,Crotone500,male,Crotone,Italy,"17°06'59.4"" E","39°04'31.7"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785072,Passer_italiae,Crotone501,male,Crotone,Italy,"17°06'59.4"" E","39°04'31.7"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785073,Passer_italiae,Crotone502,male,Crotone,Italy,"17°06'59.4"" E","39°04'31.7"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785074,Passer_italiae,Crotone505,male,Crotone,Italy,"17°06'59.4"" E","39°04'31.7"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785075,Passer_italiae,Crotone510,male,Crotone,Italy,"17°06'59.4"" E","39°04'31.7"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785076,Passer_italiae,Crotone512,male,Crotone,Italy,"17°06'59.4"" E","39°04'31.7"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785078,Passer_italiae,Crotone517,male,Crotone,Italy,"17°06'59.4"" E","39°04'31.7"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785079,Passer_italiae,Crotone518,male,Crotone,Italy,"17°06'59.4"" E","39°04'31.7"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785121,Passer_italiae,Rimini_100,male,Rimini,Italy,"12°33'59.9"" E","44°01'41.5"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785122,Passer_italiae,Rimini_103,male,Rimini,Italy,"12°33'59.9"" E","44°01'41.5"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785123,Passer_italiae,Rimini_104,male,Rimini,Italy,"12°33'59.9"" E","44°01'41.5"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785124,Passer_italiae,Rimini_110,male,Rimini,Italy,"12°33'59.9"" E","44°01'41.5"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785125,Passer_italiae,Rimini_112,male,Rimini,Italy,"12°33'59.9"" E","44°01'41.5"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785126,Passer_italiae,Rimini_85,male,Rimini,Italy,"12°33'59.9"" E","44°01'41.5"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785127,Passer_italiae,Rimini_88,male,Rimini,Italy,"12°33'59.9"" E","44°01'41.5"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785128,Passer_italiae,Rimini_91,male,Rimini,Italy,"12°33'59.9"" E","44°01'41.5"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785129,Passer_italiae,Rimini_93,male,Rimini,Italy,"12°33'59.9"" E","44°01'41.5"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785130,Passer_italiae,Rimini_94,male,Rimini,Italy,"12°33'59.9"" E","44°01'41.5"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785150,Passer_italiae,PO430,female,Lesina,Italy,"15°27'03"" E","41°51'30.84"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJEB27649,SAMEA4785077,Passer_italiae,Crotone514,male,Crotone,Italy,"17°06'59.4"" E","39°04'31.7"" N",Europe,GCA_001700915.1,Passer_domesticus
PRJNA255814,SAMN06619721,Passer_italiae,Pitaliae_30_Guglionesi_436,male,Guglionesi,Italy,"~ 14° 54' 50.""E","~ 41° 54'48.25"" N",Europe,GCA_001700915.1,Passer_domesticus
