BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMEA6815844,library_SAMEA6815844,GCA_013435755.1,ERR4189855,Amphilophus_spp,PRJEB38173
SAMEA6815845,library_SAMEA6815845,GCA_013435755.1,ERR4189856,Amphilophus_spp,PRJEB38173
SAMEA6815846,library_SAMEA6815846,GCA_013435755.1,ERR4189857,Amphilophus_spp,PRJEB38173
SAMEA6815847,library_SAMEA6815847,GCA_013435755.1,ERR4189858,Amphilophus_spp,PRJEB38173
SAMEA6815848,library_SAMEA6815848,GCA_013435755.1,ERR4189859,Amphilophus_spp,PRJEB38173
SAMEA6815849,library_SAMEA6815849,GCA_013435755.1,ERR4189860,Amphilophus_spp,PRJEB38173
SAMEA6815850,library_SAMEA6815850,GCA_013435755.1,ERR4189861,Amphilophus_spp,PRJEB38173
SAMEA6815851,library_SAMEA6815851,GCA_013435755.1,ERR4189862,Amphilophus_spp,PRJEB38173
SAMEA6815852,library_SAMEA6815852,GCA_013435755.1,ERR4189863,Amphilophus_spp,PRJEB38173
SAMEA6815853,library_SAMEA6815853,GCA_013435755.1,ERR4189864,Amphilophus_spp,PRJEB38173
SAMEA6815904,library_SAMEA6815904,GCA_013435755.1,ERR4189915,Amphilophus_spp,PRJEB38173
SAMEA6815905,library_SAMEA6815905,GCA_013435755.1,ERR4189916,Amphilophus_spp,PRJEB38173
SAMEA6815906,library_SAMEA6815906,GCA_013435755.1,ERR4189917,Amphilophus_spp,PRJEB38173
SAMEA6815908,library_SAMEA6815908,GCA_013435755.1,ERR4189919,Amphilophus_spp,PRJEB38173
SAMEA6815909,library_SAMEA6815909,GCA_013435755.1,ERR4189920,Amphilophus_spp,PRJEB38173
SAMEA6815910,library_SAMEA6815910,GCA_013435755.1,ERR4189921,Amphilophus_spp,PRJEB38173
SAMEA6815911,library_SAMEA6815911,GCA_013435755.1,ERR4189922,Amphilophus_spp,PRJEB38173
SAMEA6815912,library_SAMEA6815912,GCA_013435755.1,ERR4189923,Amphilophus_spp,PRJEB38173
SAMEA6815913,library_SAMEA6815913,GCA_013435755.1,ERR4189924,Amphilophus_spp,PRJEB38173
SAMEA6815914,library_SAMEA6815914,GCA_013435755.1,ERR4189925,Amphilophus_spp,PRJEB38173
SAMEA6815916,library_SAMEA6815916,GCA_013435755.1,ERR4189927,Amphilophus_spp,PRJEB38173
SAMEA6815918,library_SAMEA6815918,GCA_013435755.1,ERR4189929,Amphilophus_spp,PRJEB38173
SAMEA6815920,library_SAMEA6815920,GCA_013435755.1,ERR4189931,Amphilophus_spp,PRJEB38173
SAMEA6815921,library_SAMEA6815921,GCA_013435755.1,ERR4189932,Amphilophus_spp,PRJEB38173
SAMEA6815922,library_SAMEA6815922,GCA_013435755.1,ERR4189933,Amphilophus_spp,PRJEB38173
SAMEA6815923,library_SAMEA6815923,GCA_013435755.1,ERR4189934,Amphilophus_spp,PRJEB38173
SAMEA6815924,library_SAMEA6815924,GCA_013435755.1,ERR4189935,Amphilophus_spp,PRJEB38173
SAMEA6815925,library_SAMEA6815925,GCA_013435755.1,ERR4189936,Amphilophus_spp,PRJEB38173
SAMEA6815926,library_SAMEA6815926,GCA_013435755.1,ERR4189937,Amphilophus_spp,PRJEB38173
SAMEA6815927,library_SAMEA6815927,GCA_013435755.1,ERR4189938,Amphilophus_spp,PRJEB38173
SAMEA6815928,library_SAMEA6815928,GCA_013435755.1,ERR4189939,Amphilophus_spp,PRJEB38173
SAMEA6815929,library_SAMEA6815929,GCA_013435755.1,ERR4189940,Amphilophus_spp,PRJEB38173
SAMEA6815930,library_SAMEA6815930,GCA_013435755.1,ERR4189941,Amphilophus_spp,PRJEB38173
SAMEA6815931,library_SAMEA6815931,GCA_013435755.1,ERR4189942,Amphilophus_spp,PRJEB38173
SAMEA6815932,library_SAMEA6815932,GCA_013435755.1,ERR4189943,Amphilophus_spp,PRJEB38173
SAMEA6815934,library_SAMEA6815934,GCA_013435755.1,ERR4189945,Amphilophus_spp,PRJEB38173
SAMEA6815935,library_SAMEA6815935,GCA_013435755.1,ERR4189946,Amphilophus_spp,PRJEB38173
SAMEA6815936,library_SAMEA6815936,GCA_013435755.1,ERR4189947,Amphilophus_spp,PRJEB38173
SAMEA6815937,library_SAMEA6815937,GCA_013435755.1,ERR4189948,Amphilophus_spp,PRJEB38173
SAMEA6815938,library_SAMEA6815938,GCA_013435755.1,ERR4189949,Amphilophus_spp,PRJEB38173
SAMEA6815939,library_SAMEA6815939,GCA_013435755.1,ERR4189950,Amphilophus_spp,PRJEB38173
SAMEA6815940,library_SAMEA6815940,GCA_013435755.1,ERR4189951,Amphilophus_spp,PRJEB38173
SAMEA6815941,library_SAMEA6815941,GCA_013435755.1,ERR4189952,Amphilophus_spp,PRJEB38173
SAMEA6815942,library_SAMEA6815942,GCA_013435755.1,ERR4189953,Amphilophus_spp,PRJEB38173
SAMEA6815943,library_SAMEA6815943,GCA_013435755.1,ERR4189954,Amphilophus_spp,PRJEB38173
SAMEA6815992,library_SAMEA6815992,GCA_013435755.1,ERR4190003,Amphilophus_spp,PRJEB38173
SAMEA6815993,library_SAMEA6815993,GCA_013435755.1,ERR4190004,Amphilophus_spp,PRJEB38173
SAMEA6815994,library_SAMEA6815994,GCA_013435755.1,ERR4190005,Amphilophus_spp,PRJEB38173
SAMEA6815995,library_SAMEA6815995,GCA_013435755.1,ERR4190006,Amphilophus_spp,PRJEB38173
SAMEA6815996,library_SAMEA6815996,GCA_013435755.1,ERR4190007,Amphilophus_spp,PRJEB38173
SAMEA6815997,library_SAMEA6815997,GCA_013435755.1,ERR4190008,Amphilophus_spp,PRJEB38173
SAMEA6815998,library_SAMEA6815998,GCA_013435755.1,ERR4190009,Amphilophus_spp,PRJEB38173
