BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN09786093,MNG7,GCF_000239415.1,SRR7662451,Haplochromis_burtoni,PRJNA485198
SAMN09786092,MNG6,GCF_000239415.1,SRR7662452,Haplochromis_burtoni,PRJNA485198
SAMN09786085,LKG5,GCF_000239415.1,SRR7662453,Haplochromis_burtoni,PRJNA485198
SAMN09786086,MNF3,GCF_000239415.1,SRR7662456,Haplochromis_burtoni,PRJNA485198
SAMN09786089,MNG2,GCF_000239415.1,SRR7662457,Haplochromis_burtoni,PRJNA485198
SAMN09786088,MNF7,GCF_000239415.1,SRR7662458,Haplochromis_burtoni,PRJNA485198
SAMN09786091,MNG5,GCF_000239415.1,SRR7662459,Haplochromis_burtoni,PRJNA485198
SAMN09786090,MNG3,GCF_000239415.1,SRR7662460,Haplochromis_burtoni,PRJNA485198
SAMN09786153,MFF4,GCF_000239415.1,SRR7662461,Haplochromis_burtoni,PRJNA485198
SAMN09786152,MFF3,GCF_000239415.1,SRR7662462,Haplochromis_burtoni,PRJNA485198
SAMN09786081,LKG1,GCF_000239415.1,SRR7662463,Haplochromis_burtoni,PRJNA485198
SAMN09786150,MFE9,GCF_000239415.1,SRR7662464,Haplochromis_burtoni,PRJNA485198
SAMN09786149,MFE8,GCF_000239415.1,SRR7662465,Haplochromis_burtoni,PRJNA485198
SAMN09786148,MFE6,GCF_000239415.1,SRR7662466,Haplochromis_burtoni,PRJNA485198
SAMN09786145,MFE1,GCF_000239415.1,SRR7662469,Haplochromis_burtoni,PRJNA485198
SAMN09786144,MFD9,GCF_000239415.1,SRR7662470,Haplochromis_burtoni,PRJNA485198
SAMN09786202,KZB9,GCF_000239415.1,SRR7662471,Haplochromis_burtoni,PRJNA485198
SAMN09786196,KZA9,GCF_000239415.1,SRR7662473,Haplochromis_burtoni,PRJNA485198
SAMN09786197,KZB2,GCF_000239415.1,SRR7662474,Haplochromis_burtoni,PRJNA485198
SAMN09786194,KZA3,GCF_000239415.1,SRR7662475,Haplochromis_burtoni,PRJNA485198
SAMN09786195,KZA5,GCF_000239415.1,SRR7662476,Haplochromis_burtoni,PRJNA485198
SAMN09786200,KZB6,GCF_000239415.1,SRR7662477,Haplochromis_burtoni,PRJNA485198
SAMN09786201,KZB8,GCF_000239415.1,SRR7662478,Haplochromis_burtoni,PRJNA485198
SAMN09786198,KZB3,GCF_000239415.1,SRR7662479,Haplochromis_burtoni,PRJNA485198
SAMN09786199,KZB5,GCF_000239415.1,SRR7662480,Haplochromis_burtoni,PRJNA485198
SAMN09786156,MFF7,GCF_000239415.1,SRR7662481,Haplochromis_burtoni,PRJNA485198
SAMN09786157,MFF9,GCF_000239415.1,SRR7662482,Haplochromis_burtoni,PRJNA485198
SAMN09786154,MFF5,GCF_000239415.1,SRR7662483,Haplochromis_burtoni,PRJNA485198
SAMN09786155,MFF6,GCF_000239415.1,SRR7662484,Haplochromis_burtoni,PRJNA485198
SAMN09786160,MJF5,GCF_000239415.1,SRR7662485,Haplochromis_burtoni,PRJNA485198
SAMN09786161,MJF6,GCF_000239415.1,SRR7662486,Haplochromis_burtoni,PRJNA485198
SAMN09786158,MJF3,GCF_000239415.1,SRR7662487,Haplochromis_burtoni,PRJNA485198
SAMN09786159,MJF4,GCF_000239415.1,SRR7662488,Haplochromis_burtoni,PRJNA485198
SAMN09786162,MJF9,GCF_000239415.1,SRR7662489,Haplochromis_burtoni,PRJNA485198
SAMN09786163,MJG2,GCF_000239415.1,SRR7662490,Haplochromis_burtoni,PRJNA485198
SAMN09786142,MFD5,GCF_000239415.1,SRR7662491,Haplochromis_burtoni,PRJNA485198
SAMN09786134,MFC1,GCF_000239415.1,SRR7662493,Haplochromis_burtoni,PRJNA485198
SAMN09786136,MFC3,GCF_000239415.1,SRR7662495,Haplochromis_burtoni,PRJNA485198
SAMN09786137,MFC4,GCF_000239415.1,SRR7662496,Haplochromis_burtoni,PRJNA485198
