BioSample,refGenome
SAMN08952547,GCF_015476345.1
SAMN08952580,GCF_015476345.1
SAMN08952548,GCF_015476345.1
SAMN08952549,GCF_015476345.1
SAMN08952550,GCF_015476345.1
SAMN08952551,GCF_015476345.1
SAMN08952552,GCF_015476345.1
SAMN08952553,GCF_015476345.1
SAMN08952554,GCF_015476345.1
SAMN08952555,GCF_015476345.1
SAMN08952556,GCF_015476345.1
SAMN08952557,GCF_015476345.1
SAMN08952558,GCF_015476345.1
SAMN08952559,GCF_015476345.1
SAMN08952560,GCF_015476345.1
SAMN08952561,GCF_015476345.1
SAMN08952562,GCF_015476345.1
SAMN08952563,GCF_015476345.1
SAMN08952564,GCF_015476345.1
SAMN08952565,GCF_015476345.1
SAMN08952566,GCF_015476345.1
SAMN08952544,GCF_015476345.1
SAMN08952567,GCF_015476345.1
SAMN08952568,GCF_015476345.1
SAMN08952545,GCF_015476345.1
SAMN08952569,GCF_015476345.1
SAMN08952570,GCF_015476345.1
SAMN08952571,GCF_015476345.1
SAMN08952572,GCF_015476345.1
SAMN08952573,GCF_015476345.1
SAMN08952574,GCF_015476345.1
SAMN08952575,GCF_015476345.1
SAMN08952576,GCF_015476345.1
SAMN08952546,GCF_015476345.1
SAMN08952577,GCF_015476345.1
SAMN08952578,GCF_015476345.1
SAMN08952579,GCF_015476345.1
SAMN08952581,GCF_015476345.1
SAMN08952582,GCF_015476345.1
SAMN08952583,GCF_015476345.1
