BioSample,refGenome
SAMD00010024,GCF_902500615.1
SAMN09469364,GCF_902500615.1
SAMN09469374,GCF_902500615.1
SAMN09469358,GCF_902500615.1
SAMN09469357,GCF_902500615.1
SAMN09469356,GCF_902500615.1
SAMN09469376,GCF_902500615.1
SAMN09469359,GCF_902500615.1
SAMN09469373,GCF_902500615.1
SAMN09469354,GCF_902500615.1
SAMN09469371,GCF_902500615.1
SAMN09469363,GCF_902500615.1
SAMN09469349,GCF_902500615.1
SAMN09469372,GCF_902500615.1
SAMN09469351,GCF_902500615.1
SAMN09469350,GCF_902500615.1
SAMN09469352,GCF_902500615.1
SAMN09469353,GCF_902500615.1
SAMN09469369,GCF_902500615.1
SAMN09469370,GCF_902500615.1
SAMN09469365,GCF_902500615.1
SAMN09469362,GCF_902500615.1
SAMN09469361,GCF_902500615.1
SAMN09469377,GCF_902500615.1
SAMN09469367,GCF_902500615.1
SAMN09469368,GCF_902500615.1
SAMN09469366,GCF_902500615.1
SAMN09469348,GCF_902500615.1
SAMN09469375,GCF_902500615.1
SAMN09469355,GCF_902500615.1
SAMN09469360,GCF_902500615.1
